title, author, publisher, date_published, ratings, pages, isbn, language, genres
Profitable Candlestick Trading,Stephen W. Bigalow,John Wiley & Sons,Feb 23| 2011,3.5,384,9781118005804,English,Business & Economics / Finance / General
The Candlestick Course,Steve Nison,John Wiley & Sons,Apr 28| 2004,4.5,240,9780471464884,English,Business & Economics / E-Commerce / Online Trading
Encyclopedia of Candlestick Charts,Thomas N. Bulkowski,John Wiley & Sons,Jun 14| 2012,3.4,960,9781118428696,English,Business & Economics / Finance / General
Binary Options: Strategies for Directional and Volatility Trading,Alex Nekritin,John Wiley & Sons,Dec 6| 2012,3.5,288,9781118417775,English,Business & Economics / Finance / General
Mastering Private Equity: Transformation via Venture Capital| Minority Investments and Buyouts,Claudia Zeisberger,John Wiley & Sons,Jul 7| 2017,0,368,9781119327981,English,Business & Economics / Corporate Finance / Private Equity
Harmonic Elliott Wave,Ian Copsey,John Wiley & Sons,Jun 3| 2011,5.0,224,9780470828731,English,Business & Economics / Finance / General
National Defense Budgeting and Financial Management: Policy & Practice,Philip J. Candreva,IAP,May 1| 2017,0,487,9781681238722,English,Business & Economics / Budgeting
The New Wealth Management,Harold Evensky,John Wiley & Sons,Mar 29| 2011,4.0,480,9781118036914,English,Business & Economics / Finance / Wealth Management
Delivering Health Care in America: A Systems Approach: A Systems Approach| Edition 7,Leiyu Shi,Jones & Bartlett Learning,Oct 6| 2017,0,646,9781284152265,English,Business & Economics / Accounting / Financial
Evidence-Based Technical Analysis,David Aronson,John Wiley & Sons,Jul 11| 2011,3.0,544,9781118160589,English,Business & Economics / Finance / General
Financial Modeling and Valuation: A Practical Guide to Investment Banking and Private Equity,Paul Pignataro,John Wiley & Sons,Jun 18| 2013,3.5,432,9781118558690,English,Business & Economics / Finance / General
Financial Risk Manager Handbook: FRM Part I / Part II| Edition 6,Philippe Jorion,John Wiley & Sons,Dec 28| 2010,4.5,816,9781118017913,English,Business & Economics / Finance / General
Long-Term Secrets to Short-Term Trading,Larry Williams,John Wiley & Sons,Nov 1| 2011,4.4,320,9781118184684,English,Business & Economics / Finance / General
Economics and Cost Analysis for Operations and Project Managers,Dr. Mahmoud Al-Odeh,Rylan Books,Aug 2019,0,192,9781607978657,English,Business & Economics / Accounting / General
Financial Accounting Theory and Analysis: Text and Cases| 12th Edition: Text and Cases| Edition 12,Richard G. Schroeder,Wiley Global Education,Nov 18| 2016,0,606,9781119299349,English,Business & Economics / Accounting / General
Global Macro Trading,Greg Gliner,John Wiley & Sons,May 20| 2014,5.0,368,9781118417140,English,Business & Economics / Finance / General
Trading Options Greeks,Dan Passarelli,John Wiley & Sons,Aug 22| 2012,4.0,368,9781118238615,English,Business & Economics / Finance / General
Mastering Private Equity Set,Claudia Zeisberger,John Wiley & Sons,Jul 6| 2017,5.0,350,9781119431169,English,Business & Economics / Corporate Finance / Private Equity
Mastering Elliott Wave Principle,Constance Brown,John Wiley & Sons,Mar 15| 2012,4.5,176,9781118235157,English,Business & Economics / Finance / General
Survey of Accounting,Paul D. Kimmel,Wiley Global Education,Nov 16| 2016,0,800,9781119306474,English,Business & Economics / Accounting / General
Intermediate Accounting| 16th Edition: Edition 16,Donald E. Kieso,Wiley Global Education,Apr 6| 2016,4.4,1552,9781119175148,English,Business & Economics / Accounting / General
Financial Statement Analysis: A Practitioner's Guide| Edition 4,Martin S. Fridson,John Wiley & Sons,Jun 1| 2011,4.2,400,9781118064207,English,Business & Economics / Finance / General
Corporate and Project Finance Modeling: Theory and Practice,Edward Bodmer,John Wiley & Sons,Oct 10| 2014,4.5,624,9781118854457,English,Business & Economics / Finance / General
Sultz & Young's Health Care USA: Understanding Its Organization and Delivery: Understanding Its Organization and Delivery| Edition 9,Kristina M. Young,Jones & Bartlett Learning,Feb 8| 2017,4.0,422,9781284142082,English,Business & Economics / Accounting / Financial
17 Proven Currency Trading Strategies| + Website: How to Profit in the Forex Market,Mario Singh,John Wiley & Sons,Dec 31| 2012,4.8,272,9781118385524,English,Business & Economics / Finance / General
Accounting: An Introduction| 6/E,Peter Atrill,Pearson Higher Education AU,Aug 28| 2014,3.8,537,9781486009664,English,Business & Economics / Accounting / General
Understanding Bitcoin: Cryptography| Engineering and Economics,Pedro Franco,John Wiley & Sons,Oct 21| 2014,4.6,288,9781119019145,English,Business & Economics / Finance / General
Financial Management: Principles and Applications: Edition 6,J William Petty,Pearson Higher Education AU,May 20| 2015,4.0,809,9781442551626,English,Business & Economics / Finance / General
Markets in Profile,James F. Dalton,John Wiley & Sons,Jan 11| 2011,0,224,9781118044643,English,Business & Economics / Finance / General
Entrepreneurial Finance: Strategy| Valuation| and Deal Structure,Janet Kiholm Smith,Stanford University Press,Mar 22| 2011,0,744,9780804777582,English,Business & Economics / Entrepreneurship
Harmonic Trading| Volume One: Profiting from the Natural Order of the Financial Markets,Scott M. Carney,FT Press,Apr 12| 2010,4.6,288,9780131384972,English,Business & Economics / E-Commerce / Online Trading
C# for Financial Markets,Daniel J. Duffy,John Wiley & Sons,Jan 14| 2013,0,856,9781118502839,English,Business & Economics / Finance / General
Supply Chain Finance and Blockchain Technology: The Case of Reverse Securitisation,Erik Hofmann,Springer,Aug 3| 2017,5.0,91,9783319623719,English,Business & Economics / Finance / Financial Engineering
