title, author, publisher, date_published, ratings, pages, isbn, language, genres
Taking What's Hers 2,Mia Black,Mahogany Publications,Jun 11| 2019,4.6,112,Flowing text, Original pages,Drama / American / African American,Fiction / African American / Contemporary Women
Letter To My Daughter,Maya Angelou,Hachette UK,Nov 4| 2010,4.4,192,9780748122356,English,Biography & Autobiography / General
Halaal Love Starts After Nikah: Each soul striving hard to fall in Halaal love which Al-Malik has made| unknown to them their names were woven in crate.,Dr. Taqiya Sultana,OrangeBooks Publication,May 1| 2020,5.0,412,Original pages,Fiction / African American / General,This content is DRM protected.
The Racketeer,John Grisham,Hachette UK,Oct 23| 2012,4.0,352,9781444768718,English,Fiction / African American / General
Cat and Mouse,James Patterson,Hachette UK,Jun 23| 2011,4.3,385,9780755387106,English,Fiction / African American / General
The Vanishing Half: Sunday Times Bestseller,Brit Bennett,Hachette UK,Jun 2| 2020,4.3,352,9780349701448,English,Fiction / African American / General
Go Set a Watchman: Harper Lee's sensational lost novel,Harper Lee,Random House,Jul 14| 2015,4.0,288,9781473535404,English,Fiction / African American / General
The Rage of Dragons,Evan Winter,Hachette UK,Feb 12| 2019,4.5,544,9780356512938,English,Fiction / African American / General
Seduced by a Thug: African American Urban Fiction,Solae Dehvine,Dehvine Publishing,Aug 24| 2018,4.7,97,9781524283520,English,Fiction / African American / General
The Nickel Boys: Winner of the Pulitzer Prize for Fiction 2020,Colson Whitehead,Hachette UK,Jul 16| 2019,4.2,224,9780708899403,English,Fiction / African American / General
Honor Thy Thug,Wahida Clark,Simon and Schuster,Apr 23| 2013,4.7,304,9781936399406,English,Fiction / African American / General
Murderville 3,Ashley & JaQuavis,Simon and Schuster,Sep 3| 2013,4.8,256,9781936399109,English,Fiction / African American / General
Love & Deception,Simone Majors,Mahogany Publications,100,4.6,Flowing text, Original pages,Web, Tablet, Phone, eReader,Fiction / African American / General,Fiction / African American / Urban
Hoes Be Winning,Ms.Bam,A.N.C. Media Publishing,103,4.6,Flowing text, Original pages,Web, Tablet, Phone, eReader,Fiction / African American / General,Fiction / African American / Urban
Tears of a Hustler Pt 3,Silk White,Good2go Publishing,2011,4.6,232,9780578084749,English,Fiction / African American / General
He Loves Me| He Loves You Not PT 3,Mychea,Good2go Publishing,Sep 23| 2014,4.7,222,9780996060950,English,Fiction / African American / General
Mary B. Morrison Bundle: Darius Jones| Never Again Once More| Soulmates Dissipate,Mary B. Morrison,Kensington Publishing Corp.,Jul 1| 2011,4.5,448,9780758275301,English,Fiction / African American / General
Getting It On The Down Low,Sophia Jenkins,Mahogany Publications,90,4.6,Flowing text, Original pages,Web, Tablet, Phone, eReader,Fiction / African American / General,Fiction / African American / Urban
Perfect Fit,Brenda Jackson,Kensington Publishing Corp.,Feb 1| 2011,4.7,304,9780758267733,English,Fiction / African American / General
Crackhead: A Novel,Lisa Lennox,Simon and Schuster,Mar 20| 2012,4.7,256,9781451661743,English,Fiction / African American / General
Something On The Side,Carl Weber,Kensington Publishing Corp.,Jan 28| 2011,4.5,400,9780758272508,English,Fiction / African American / General
Resurrecting Midnight,Eric Jerome Dickey,Penguin,Aug 25| 2009,4.8,544,9781101135570,English,Fiction / African American / General
Exposing Her Secrets,Kia Summers,Mahogany Publications,112,4.7,Flowing text, Original pages,Web, Tablet, Phone, eReader,Fiction / African American / Christian,Fiction / African American / Contemporary Women
Consequences,Skyy,Urban Books,Oct 24| 2011,4.8,400,9781599832302,English,Fiction / African American / General
Loved and Lost,Jayla King,Media Five Zero One,88,4.7,Flowing text, Google-generated PDF,Web, Tablet, Phone, eReader,Fiction / African American / Urban,Fiction / African American / Women
Started From The Top Now I'm Here,Midnite Love,Love Den Media Publishing,Oct 23| 2013,4.8,158,Flowing text, Original pages,Fiction / African American / Contemporary Women,Fiction / African American / General
I Still Want It,Derrick Jaxn,Derrick Jaxn,Jun 23| 2015,4.8,160,9781310456886,English,Fiction / African American / General
God Don't Like Ugly,Mary Monroe,Dafina,Jan 7| 2010,4.8,352,9780758259165,English,Fiction / African American / General
My Besties,Asia Hill,Good2go Publishing,Mar 27| 2016,4.7,210,9780990869450,English,Drama / American / African American
Indigo,Beverly Jenkins,NYLA,Aug 22| 2000,4.9,306,9781617508691,English,Fiction / African American / General
He's Got a Hold on Me,Dalanna Anitra,Black Eden Publications,Oct 27| 2017,4.8,146,9781977583826,English,Fiction / African American / General
Scandalous Acts,Kia Summer,Mahogany Publications,116,4.6,Flowing text, Original pages,Web, Tablet, Phone, eReader,Fiction / African American / Contemporary Women,Fiction / African American / General
The Billionaire Boss's Obsession 1 (BWWM Interracial Romance Short Stories),Viola Black,Viola Black,Sep 14| 2016,4.3,45,Flowing text, Google-generated PDF,Fiction / African American / General,Fiction / African American / Women
Invincible: A Novel,Styles P,One World,Jun 1| 2010,4.6,240,9780345522085,English,Fiction / African American / General
The Panty Ripper PT 2,Reality Way,Good2go Publishing,Feb 10| 2014,4.4,126,Original pages,Fiction / African American / Erotica,Fiction / African American / General
Counterfeit Dreams,Sasha Ravae,Black Eden Publications,May 20| 2015,4.5,203,9781507650882,English,Fiction / African American / General
Childhood Sweethearts,Jacob Spears,Good2go Publishing,Mar 27| 2016,4.7,150,9781943686742,English,Drama / American / African American
A Dollar Outta Fifteen Cent,Caroline McGill,Simon and Schuster,Jun 25| 2013,4.7,432,9781476734187,English,Fiction / African American / General
Naughty:,Brenda Hampton,Urban Books,Jan 10| 2013,4.7,288,9781622862030,English,Fiction / African American / General
Bad Girl Blvd - Part 1,Erica Hilton,Melodrama Publishing,Jan 7| 2014,4.5,252,9781620780343,English,Fiction / African American / General
The Billionaire's Seduction 1 (BWWM Interracial Romance Short Stories),Hattie Black,Hattie Black,Sep 16| 2016,4.3,40,Flowing text, Google-generated PDF,Fiction / African American / General,Fiction / African American / Women
The Blacker the Berry,Wallace Thurman,Courier Corporation,Mar 6| 2012,4.2,160,9780486120126,English,Fiction / African American / General
Boxed Set: Just One Night: (BWWM Interracial Romance),Tara Raine,Mahogany Publications,155,4.6,Flowing text, Original pages,Web, Tablet, Phone, eReader,Fiction / African American / General,Fiction / Romance / African American
Low Down and Dirty: A Novel,Vickie M. Stringer,Simon and Schuster,Mar 27| 2012,4.6,320,9781451660890,English,Fiction / African American / General
AdDICKted: The Sneak Peek,Solae Dehvine ,Dehvine Publishing ,Jul 3| 2017,4.5,32,9781524237035,English,Drama / American / African American
Thicker Than Water,Takerra Allen,Kensington Books,Feb 1| 2015,4.7,368,9781617736216,English,Fiction / African American / General
Uncle Tom's Children,Richard Wright,Harper Collins,Jun 16| 2009,4.7,336,9780061935275,English,Fiction / African American / General
In Love With Danger,Toya Banks,Mahogany Publications,100,4.5,Flowing text, Original pages,Web, Tablet, Phone, eReader,Fiction / African American / Contemporary Women,Fiction / African American / General
Tit For Tat,Ty Khea,Media Five Zero One,82,4.8,Flowing text, Google-generated PDF,Web, Tablet, Phone, eReader,Fiction / African American / Urban,Fiction / African American / Women
The Secrets They Kept,Rhonda Evans,Mahogany Publications,140,4.6,Flowing text, Original pages,Web, Tablet, Phone, eReader,Fiction / African American / Christian,Fiction / African American / General
