title, author, publisher, date_published, ratings, pages, isbn, language, genres
Hyperion,Dan Simmons,Hachette UK,Aug 5| 2010,4.4,480,9780575099968,English,Fiction / Alternative History
AJAYA - RISE OF KALI (Book 2),Anand Neelakantan,One Point Six Technology Pvt Ltd,Aug 27| 2015,4.5,530,9789381576045,English,Fiction / Alternative History
Fatherland,Robert Harris,Random House,May 31| 2012,4.6,560,9781448150274,English,Fiction / Alternative History
11.22.63: Enhanced Edition,Stephen King,Hachette UK,Jul 5| 2012,4.4,752,9781444727326,English,Fiction / Alternative History
Recursion: From the Bestselling Author of Dark Matter Comes an Exciting| Twisty Thriller,Blake Crouch,Pan Macmillan,Jun 13| 2019,4.6,352,9781509866694,English,Fiction / Alternative History
ARJUNA: Saga Of A Pandava Warrior-Prince,Anuja Chandramouli,One Point Six Technology Pvt Ltd,Dec 15| 2012,4.5,364,9789381576397,English,Fiction / Alternative History
Wolf Hall: Winner of the Man Booker Prize (The Wolf Hall Trilogy| Book 1),Hilary Mantel,HarperCollins UK,Apr 30| 2009,4.2,672,9780007322749,English,Fiction / Alternative History
The Falcon of Sparta: The bestselling author of the Emperor and Conqueror series' returns to the Ancient World,Conn Iggulden,Penguin UK,May 3| 2018,4.4,480,9781405921527,English,Fiction / Action & Adventure
Forrest Gump,Winston Groom,Random House,May 31| 2013,4.1,240,9781448169719,English,Fiction / Absurdist
Close Obsession (The Krinar Chronicles: Volume 2),Anna Zaires,Mozaika Publications,Sep 5| 2013,4.1,327,9780988391321,English,Body| Mind & Spirit / Supernatural
The Wisdom of Madness,C.J. Archer,C.J. Archer,Jun 5| 2018,4.8,250,Flowing text,Fiction / Alternative History,Fiction / Fantasy / Gaslamp
Temeraire (The Temeraire Series| Book 1),Naomi Novik,HarperCollins UK,Feb 20| 2009,4.2,352,9780007318551,English,Fiction / Alternative History
Replay,Ken Grimwood,Hachette UK,Feb 21| 2019,4.4,272,9781473226395,English,Fiction / Alternative History
Worldwar: In the Balance,Harry Turtledove,Hachette UK,Aug 30| 2012,4.5,672,9781444745009,English,Fiction / Alternative History
Cloak Games: Omnibus One,Jonathan Moeller,Azure Flame Media| LLC,Jun 2| 2016,4.7,750,Flowing text, Google-generated PDF,Fiction / Alternative History,Fiction / Fantasy / Dark Fantasy
Regal,Brian Rathbone,White Wolf Press| LLC,2013,4.4,298,9781301786039,English,Body| Mind & Spirit / Magick Studies
1636: The Ottoman Onslaught,Eric Flint,Baen Books,Jan 3| 2017,4.6,592,9781625795557,English,Fiction / Alternative History
Stone Cold Magic,Jayne Faith,Jayne Faith,Nov 10| 2017,4.5,320,9780997026054,English,Body| Mind & Spirit / Magick Studies
ANDHKAAR KAAL : BHARAT MEIN BRITISH SAMRAJYA,Shashi Tharoor,Vani Prakashan,Jan 26| 2018,4.4,416,9789387648043,Hindi,Fiction / Alternative History
Sharpe’s Tiger: The Siege of Seringapatam| 1799 (The Sharpe Series| Book 1),Bernard Cornwell,HarperCollins UK,Feb 25| 2010,4.5,400,9780007334537,English,Fiction / Action & Adventure
Agency: THE DYSTOPIAN SUNDAY TIMES TOP TEN BESTSELLER FROM THE AUTHOR OF THE PERIPHERAL,William Gibson,Penguin UK,Jan 23| 2020,4.2,416,9780241974568,English,Fiction / Alternative History
