title, author, publisher, date_published, ratings, pages, isbn, language, genres
Assassin’s Apprentice (The Farseer Trilogy| Book 1),Robin Hobb,HarperCollins UK,Sep 1| 2011,4.4,400,9780007374038,English,Fiction / Action & Adventure
Leaving Time: the impossible-to-forget story with a twist you won’t see coming by the number one bestselling author of A Spark of Light,Jodi Picoult,Hachette UK,Nov 4| 2014,4.3,416,9781444778182,English,Fiction / Animals
The Wallflower Wager (Girl meets Duke| Book 3),Tessa Dare,HarperCollins UK,Aug 13| 2019,4.4,384,9780008268275,English,Fiction / Animals
A Dog's Journey,W. Bruce Cameron,Pan Macmillan,Jan 17| 2013,4.5,352,9781447220091,English,Fiction / Animals
Watchers,Dean Koontz,Penguin,May 6| 2008,4.8,624,9781440639296,English,Fiction / Animals
The Travelling Cat Chronicles: The most uplifting book of the year,Hiro Arikawa,Random House,Nov 2| 2017,4.5,256,9781473541573,English,Fiction / Action & Adventure
The Tiger and the Wolf,Adrian Tchaikovsky,Pan Macmillan,Feb 11| 2016,4.5,550,9780230770072,English,Fiction / Action & Adventure
The Bees,DC Swain,Cambridge Town Press,May 29| 2015,4.6,24,9780473394240,English,Fiction / Animals
White Fang. Illustrated edition,Jack London,Strelbytskyy Multimedia Publishing,Jan 14| 2020,4.8,249,Flowing text, Google-generated PDF,Fiction / Action & Adventure,Fiction / Animals
Tears of the Giraffe,Alexander McCall Smith,Hachette UK,Oct 2| 2008,4.3,224,9780748110629,English,Fiction / Animals
The Oyster Thief,Sonia Faruqi,Simon and Schuster,Oct 2| 2018,5.0,304,9781681778419,English,Fiction / Animals
Alice’s Adventures in Wonderland (Collins Classics),Lewis Carroll,HarperCollins UK,Jun 3| 2010,4.2,320,9780007382484,English,Fiction / Action & Adventure
Murder in Cherry Hills,Paige Sleuth,Marla Bradeen,Aug 8| 2015,4.3,152,Flowing text, Google-generated PDF,Fiction / Animals,Fiction / Crime
One Good Dog: A Novel,Susan Wilson,St. Martin's Press,Mar 2| 2010,4.3,320,9781429959308,English,Fiction / Animals
The Homecoming of Samuel Lake,Jenny Wingfield,HarperCollins UK,Jul 7| 2011,4.4,336,9780007355037,English,Fiction / Animals
Tarka the Otter,Henry Williamson,Penguin UK,May 7| 2009,5.0,208,9780141924489,English,Fiction / Animals
The Bees,Laline Paull,HarperCollins UK,May 6| 2014,4.5,352,9780007557738,English,Fiction / Animals
Murder for Neptune's Trident,Victoria LK Williams,Sun| Sand & Stories Publishing  LLC,Jan 23| 2018,4.5,290,Flowing text, Google-generated PDF,Fiction / Animals,Fiction / Mystery & Detective / Amateur Sleuth
Blue Mars,Kim Stanley Robinson,HarperCollins UK,Apr 11| 2013,4.1,800,9780007402175,English,Fiction / Animals
BROWN BREECHES,Suzaan Shaikh,Shashwat Publication,Apr 1| 2020,4.9,92,9788194385844,English,Fiction / Animals
Sunshine at the Comfort Food Cafe (The Comfort Food Cafe| Book 4),Debbie Johnson,HarperCollins UK,Mar 8| 2018,4.7,400,9780008263744,English,Fiction / Animals
A Very Country Christmas: A Free Christmas Short Story (The Tippermere Series),Zara Stoneley,HarperCollins UK,Oct 29| 2015,4.4,74,9780008165970,English,Fiction / Animals
Texas K-9 Unit Christmas: An Anthology,Shirlee McCoy,Harlequin,Nov 1| 2013,4.7,224,9781460321966,English,Fiction / Animals
The Loneliest Cottage,Melissa Storm,Partridge & Pear Press,Sep 19| 2017,4.5,208,9781942771449,English,Fiction / Animals
Kisah Kupu-Kupu dan Kucing,Hesti Utari,Kyu Digital Books,Aug 12| 2020,4.9,8,Original pages,Fiction / Animals,This content is DRM protected.
Párpercesek: Majd mindjárt...,Dániel Gera,Daniel Art,Jul 22| 2019,4.6,3,Flowing text, Original pages,Fiction / Absurdist,Fiction / Animals
Breaking Free: A Novel,Lauraine Snelling,Hachette UK,Dec 21| 2008,4.7,300,9780446555098,English,Fiction / Animals
KERBAU YANG SUKA MEMBANTU,Gilar Gandana| M.Pd,Ksatria Siliwangi,Jun 14| 2020,4.9,12,9786237649151,Education / Early Childhood (incl. Preschool & Kindergarten),Family & Relationships / Activities
The Dark Enquiry (A Lady Julia Grey Novel| Book 5),Deanna Raybourn,HarperCollins UK,Feb 28| 2014,4.3,400,9781472046253,English,Fiction / Animals
Finding Jack: A Novel,Gareth Crocker,St. Martin's Press,Feb 15| 2011,4.9,304,9781429994798,English,Fiction / Action & Adventure
Seri Buku Toleransi: Kitu: Kucing Kecil Bersuara Ganjil,Sekar Sosronegoro,Buah Hati,Jul 20| 2017,4.9,32,9786027652934,Indonesian,Fiction / Animals
Murder| She Barked,Krista Davis,Penguin,Dec 3| 2013,4.4,304,9781101593066,English,Fiction / Animals
A Cosy Christmas in Cornwall: The most heartwarming and funny Christmas romance of the year!,Jane Linfoot,HarperCollins UK,Oct 19| 2019,4.2,464,9780008356309,English,Fiction / Animals
Fluke,James Herbert,Pan Macmillan,May 11| 2011,4.4,224,9781447203360,English,Fiction / Animals
Unleashed,David Rosenfelt,Minotaur Books,Jul 23| 2013,4.4,320,9781250024732,English,Fiction / Animals
Black Beauty (Collins Classics),Anna Sewell,HarperCollins UK,Jun 3| 2010,4.5,320,9780007382620,English,Fiction / Animals
On the Scent (The Psychic Detective| Book 1),Angela Campbell,HarperCollins UK,Jul 25| 2013,4.7,288,9780007543052,English,Fiction / Animals
Then Came You: The fun and exciting romance you need!,Jill Shalvis,Hachette UK,Jul 1| 2014,4.6,384,9781472217295,English,Fiction / Animals
The Dog Who Was There,Ron Marasco,Thomas Nelson,Jan 31| 2017,4.9,272,9780718083946,English,Fiction / Animals
Balthazar Jones and the Tower of London Zoo,Julia Stuart,HarperCollins UK,Mar 4| 2010,4.0,336,9780007356416,English,Fiction / Animals
A Boy and his Dog at the End of the World,C. A. Fletcher,Hachette UK,Apr 23| 2019,4.7,384,9780356510903,English,Fiction / Animals
