title, author, publisher, date_published, ratings, pages, isbn, language, genres
Digital Design and Computer Architecture: Edition 2,David Harris,Elsevier,Aug 24| 2012,4.1,712,9780123978165,English,Computers / Computer Engineering
Introduction to Naval Architecture: Edition 5,E. C. Tupper,Butterworth-Heinemann,Jan 9| 2013,4.3,496,9780080982724,English,Technology & Engineering / Marine & Naval
Reference Architecture for the Telecommunications Industry: Transformation of Strategy| Organization| Processes| Data| and Applications,Christian Czarnecki,Springer,Jan 26| 2017,0,253,9783319467573,English,Business & Economics / Business Mathematics
General-Purpose Graphics Processor Architectures,Tor M. Aamodt,Morgan & Claypool Publishers,May 21| 2018,0,140,9781627056182,English,Computers / Computer Science
Architectural and Operating System Support for Virtual Memory,Abhishek Bhattacharjee,Morgan & Claypool Publishers,Sep 29| 2017,0,175,9781627059336,English,Computers / Computer Engineering
Automotive Software Architectures: An Introduction,Miroslaw Staron,Springer,Jun 26| 2017,0,237,9783319586106,English,Computers / Data Processing
Living Architecture: Green Roofs and Walls,Graeme Hopkins,CSIRO PUBLISHING,May 16| 2011,0,296,9780643103085,English,Architecture / Design| Drafting| Drawing & Presentation
Landscape Architecture| Fifth Edition: A Manual of Environmental Planning and Design| Edition 5,Barry Starke,McGraw Hill Professional,Mar 4| 2013,5.0,432,9780071797641,English,Technology & Engineering / Manufacturing
The 8051/8052 Microcontroller: Architecture| Assembly Language| and Hardware Interfacing,Craig Steiner,Universal-Publishers,2005,3.0,332,9781581124590,English,Computers / Hardware / Mainframes & Minicomputers
5G NR: Architecture| Technology| Implementation| and Operation of 3GPP New Radio Standards,Sassan Ahmadi,Academic Press,Jun 15| 2019,4.4,960,9780128134023,English,Computers / Networking / General
Introduction to Naval Architecture: Formerly Muckle's Naval Architecture for Marine Engineers| Edition 4,E. C. Tupper,Elsevier,Oct 6| 2004,3.0,464,9780080478715,English,Technology & Engineering / Marine & Naval
Model-Based System Architecture,Tim Weilkiens,John Wiley & Sons,Oct 26| 2015,0,400,9781119052081,English,Computers / Software Development & Engineering / Systems Analysis & Design
Embedded Systems Architecture: A Comprehensive Guide for Engineers and Programmers| Edition 2,Tammy Noergaard,Newnes,Dec 31| 2012,2.0,672,9780123821973,English,Computers / Computer Engineering
Muckle's Naval Architecture: Edition 2,W. Muckle,Butterworth-Heinemann,Sep 24| 2013,1.0,472,9781483144733,English,Technology & Engineering / Marine & Naval
Architecture and Principles of Systems Engineering,Charles Dickerson,CRC Press,Apr 19| 2016,0,496,9781420072549,English,Computers / Information Technology
Computer Architecture Techniques for Power-Efficiency,Stefanos Kaxiras,Morgan & Claypool Publishers,Sep 8| 2008,0,207,9781598292091,English,Computers / Software Development & Engineering / Systems Analysis & Design
Space Architecture Education for Engineers and Architects: Designing and Planning Beyond Earth,Sandra Häuplik-Meusburger,Springer,Mar 30| 2016,0,320,9783319192796,English,Architecture / Interior Design / General
