title, author, publisher, date_published, ratings, pages, isbn, language, genres
Girl| Woman| Other: WINNER OF THE BOOKER PRIZE 2019,Bernardine Evaristo,Penguin UK,May 2| 2019,4.5,464,9780241985007,English,Fiction / African American / Women
The Tea Girl of Hummingbird Lane: A Novel,Lisa See,Simon and Schuster,Mar 21| 2017,4.4,384,9781501154843,English,Fiction / Asian American
Almond: A Novel,Won-pyung Sohn,HarperCollins,May 5| 2020,4.8,272,9780062961402,English,Fiction / Asian American
Sister Of My Heart,Chitra Divakaruni,Random House,Aug 17| 2010,4.2,352,9781409010135,English,Fiction / Asian American
On Earth We're Briefly Gorgeous,Ocean Vuong,Random House,Jun 20| 2019,4.1,256,9781473564473,English,Fiction / Asian American
China Rich Girlfriend: There's Rich| There's Filthy Rich| and Then There's China Rich...,Kevin Kwan,Atlantic Books,Jan 1| 2017,4.6,293,9781925575460,English,Fiction / Asian American
A Place for Us,Fatima Farheen Mirza,Random House,Jun 14| 2018,4.4,400,9781473552517,English,Fiction / Asian American
The Joy Luck Club,Amy Tan,Random House,Dec 26| 2008,4.1,384,9781407072852,English,Fiction / Asian American
The Girl Who Wrote in Silk,Kelli Estes,Sourcebooks| Inc.,Jul 7| 2015,4.3,400,9781492608349,English,Fiction / Asian American
Erotic Stories for Punjabi Widows: A Novel,Balli Kaur Jaswal,HarperCollins,Jun 13| 2017,4.0,320,9780062645135,English,Fiction / Asian American
Gusty Lovers and Cadavers,Anne R. Tan,Rusty Chicken Books,May 11| 2015,4.2,244,Flowing text,Fiction / Asian American,Fiction / Mystery & Detective / Amateur Sleuth
The Magic of Ordinary Days,Ann Howard Creel,Penguin,Jun 25| 2002,4.5,304,9781101126967,English,Fiction / Asian American
Interpreter of Maladies,Jhumpa Lahiri,HarperCollins UK,Mar 27| 2014,4.0,208,9780007381647,English,Fiction / Asian American
The Ghost Bride: A Novel,Yangsze Choo,Harper Collins,Aug 6| 2013,4.3,384,9780062227386,English,Fiction / Asian American
A Winter Night: English Translation of 'Poos ki Raat',Premchand,GENERAL PRESS,Sep 25| 2019,4.1,56,9788180320804,English,Biography & Autobiography / Editors| Journalists| Publishers
Before We Visit the Goddess: A Novel,Chitra Banerjee Divakaruni,Simon and Schuster,Apr 19| 2016,4.1,224,9781476792026,English,Fiction / Asian American
Mango Cake and Murder: A Funny Quick Read Culinary Mystery,Christy Murphy,Christy Murphy,162,4.4,Flowing text, Google-generated PDF,Web, Tablet, Phone, eReader,Fiction / Humorous / Black Humor,Fiction / Mystery & Detective / Amateur Sleuth
Little Gods: A Novel,Meng Jin,HarperCollins,Jan 14| 2020,3.8,320,9780062935977,English,Fiction / Asian American
Searching for Sylvie Lee,Jean Kwok,Hachette UK,Oct 17| 2019,4.0,336,9781529398267,English,Family & Relationships / General
The Last Story of Mina Lee: A REESE'S BOOK CLUB PICK,Nancy Jooyoun Kim,Hachette UK,Sep 1| 2020,5.0,352,9781472281609,English,Family & Relationships / Parenting / Motherhood
American Dervish: From the winner of the Pulitzer Prize,Ayad Akhtar,Hachette UK,Jan 26| 2012,4.0,288,9780297865469,English,Fiction / Asian American
The Sympathizer: Winner of the Pulitzer Prize for Fiction,Viet Thanh Nguyen,Hachette UK,Aug 20| 2015,4.5,384,9781472151384,English,Fiction / Asian American
In the Shadow of the Banyan: A Novel,Vaddey Ratner,Simon and Schuster,Aug 7| 2012,4.4,336,9781451657722,English,Fiction / Asian American
America Is in the Heart,Carlos Bulosan,Penguin,May 21| 2019,5.0,384,9780525505815,English,Fiction / Asian American
