title, author, publisher, date_published, ratings, pages, isbn, language, genres
The Remains of the Day,Kazuo Ishiguro,Faber & Faber,Jan 8| 2009,4.4,272,9780571249350,English,Fiction / Biographical
Wild Swans: Three Daughters of China,Jung Chang,HarperCollins UK,Oct 27| 2011,4.4,720,9780007379873,English,Biography & Autobiography / Cultural| Ethnic & Regional / Asian & Asian American
The Secret Wife: A captivating story of romance| passion and mystery,Gill Paul,HarperCollins UK,Aug 25| 2016,4.6,416,9780008102159,English,Fiction / Biographical
Paths of Glory,Jeffrey Archer,Pan Macmillan,Dec 11| 2009,4.4,400,9780230741928,English,Fiction / Action & Adventure
The Bell Jar,Sylvia Plath,Faber & Faber,Nov 20| 2008,4.3,240,9780571248209,English,Biography & Autobiography / Literary Figures
I| Claudius,Robert Graves,Penguin UK,Aug 3| 2006,4.5,416,9780141911748,English,Fiction / Biographical
MANDESHI MANASA,VYANKATESH MADGULKAR,MEHTA PUBLISHING HOUSE,Aug 1| 2016,4.9,128,9789386745675,Marathi,Fiction / Biographical
Queenie: British Book Awards Book of the Year,Candice Carty-Williams,Hachette UK,Apr 11| 2019,4.4,400,9781409180081,English,Family & Relationships / Dating
The Romanov Empress: A Novel of Tsarina Maria Feodorovna,C. W. Gortner,Ballantine Books,Jul 10| 2018,4.6,448,9780425286173,English,Fiction / Biographical
Memoirs and Misinformation: A novel,Jim Carrey,Knopf,Jul 7| 2020,4.5,272,9780525655985,English,Fiction / Biographical
The Accidental Empress: A Novel,Allison Pataki,Simon and Schuster,Feb 17| 2015,4.3,512,9781476790237,English,Fiction / Biographical
A Death in the Family,Karl Ove Knausgaard,Random House,Mar 1| 2012,4.1,496,9781446496992,English,Fiction / Biographical
BEDHUND,AVINASH HAMBIRRAO LONDHE,MEHTA PUBLISHING HOUSE,Jul 2| 2018,5.0,188,9789353170264,Marathi,Fiction / Biographical
The Book of Ebenezer le Page,G.B. Edwards,New York Review of Books,Mar 7| 2012,4.5,432,9781590176115,English,Fiction / Biographical
Auschwitz Lullaby: A Novel,Mario Escobar,Thomas Nelson,Aug 7| 2018,4.8,304,9780785219941,English,Fiction / Biographical
Gray,Pete Wentz,Simon and Schuster,Feb 19| 2013,4.8,240,9781416570363,English,Fiction / Biographical
America's First Daughter: A Novel,Stephanie Dray,HarperCollins,Mar 1| 2016,4.4,624,9780062347275,English,Fiction / Biographical
The Last Boleyn: A Novel,Karen Harper,Crown,Feb 28| 2006,4.5,592,9780307345387,English,Fiction / Biographical
The Other Einstein: A Novel,Marie Benedict,Sourcebooks| Inc.,Oct 18| 2016,4.0,336,9781492637264,English,Fiction / Biographical
Ich will doch bloß sterben| Papa: Leben mit einer schizophrenen Tochter,Michael Schofield,Kösel-Verlag,Mar 31| 2014,4.8,336,9783641125752,German,Biography & Autobiography / General
Daisy Jones and The Six: Winner of the Glass Bell Award for Fiction,Taylor Jenkins Reid,Random House,Mar 5| 2019,4.3,416,9781473559707,English,Fiction / Biographical
The Edge of Lost,Kristina McMorris,Kensington Books,Nov 24| 2015,4.4,352,9780758281197,English,Fiction / Biographical
Musashi: An Epic Novel of the Samurai Era,Eiji Yoshikawa,Vertical| Inc.,Aug 10| 2012,4.6,984,9781568364513,English,Fiction / Biographical
Vespasian 1-3: Tribune of Rome| Rome's Executioner| False God of Rome,Robert Fabbri,Atlantic Books Ltd,Jul 7| 2014,4.7,300,9781782395409,English,Fiction / Action & Adventure
The Sentiment in My Stone,Aazib Manzoor,BlueRose,Oct 1| 2020,5.0,320,9789389888782,English,Fiction / Biographical
EMINEM: The Real Fucking Story,Robin McGibbon,Goldmann Verlag,Dec 13| 2001,4.5,132,9783894806835,German,Biography & Autobiography / General
Dictator,Robert Harris,Random House,Oct 8| 2015,4.6,544,9781446409107,English,Fiction / Biographical
The Right Time,Danielle Steel,Pan Macmillan,Sep 7| 2017,4.5,400,9781509800346,English,Fiction / Biographical
Lovers at the Chameleon Club| Paris 1932: A Novel,Francine Prose,Harper Collins,Apr 22| 2014,4.1,464,9780062199133,English,Fiction / Biographical
The Sands of Ammon,Valerio Massimo Manfredi,Pan Macmillan,Feb 25| 2011,4.8,400,9780330538879,English,Fiction / Action & Adventure
Oltre l'orizzonte,Vito Favia,Youcanprint,Dec 30| 2015,4.5,280,9788891122575,Italian,Biography & Autobiography / General
Psychos: A White Girl Problems Book,Babe Walker,Simon and Schuster,Apr 29| 2014,4.6,288,9781476734163,English,Fiction / Biographical
Ich habe den Todesengel überlebt: Ein Mengele-Opfer erzählt,Eva Mozes Kor,cbj Verlag,Jan 9| 2012,4.4,224,9783641067014,German,Fiction / Biographical
Conversations with Beethoven,Sanford Friedman,New York Review of Books,Sep 2| 2014,5.0,304,9781590177884,English,Fiction / Alternative History
Slow Days| Fast Company: The World| The Flesh| and L.A.,Eve Babitz,New York Review of Books,Aug 30| 2016,5.0,184,9781681370095,English,Fiction / Biographical
What is the What,Dave Eggers,Penguin UK,Oct 27| 2011,4.3,560,9780141917412,English,Biography & Autobiography / General
The World As I Found It,Bruce Duffy,New York Review of Books,Dec 28| 2011,4.3,592,9781590175651,English,Fiction / Biographical
Coffee| Tea or Me?,Donald Bain,Penguin,Jun 3| 2003,4.1,320,9781101098943,English,Fiction / Biographical
Gewalt ist eine Lösung: Morgens Polizist| abends Hooligan - mein geheimes Doppelleben,Stefan Schubert,Riva Verlag,Feb 26| 2010,4.6,336,9783864130052,German,Fiction / Biographical
The Queen's Mistake,Diane Haeger,Penguin,Oct 6| 2009,4.2,416,9781101145388,English,Fiction / Biographical
The Endless Fiction,Shiwam Sharan,Shiwam Sharan,May 27| 2020,4.8,74,Original pages,Fiction / Biographical,This content is DRM protected.
Stone Cliff Series,Cathryn Fox,Cathryn Fox,Jan 13| 2015,4.5,266,9781928056096,English,Antiques & Collectibles / General
Der Mann| der wirklich liebte: Roman nach einer wahren Geschichte,Hera Lind,Diana Verlag,Apr 26| 2010,4.9,384,9783641043285,German,Fiction / Biographical
CESARET,Sezgin Irmak,BEKA SANAT,Dec 20| 2013,4.2,320,9786056444005,Turkish,Fiction / Biographical
