title, author, publisher, date_published, ratings, pages, isbn, language, genres
Love Comes Softly (Love Comes Softly Book #1),Janette Oke,Bethany House,Apr 1| 2003,4.6,240,9781441202314,English,Fiction / Christian / General
This Present Darkness: A Novel,Frank Peretti,Simon and Schuster,Feb 14| 2012,4.8,384,9781451673333,English,Fiction / Christian / General
Fireproof,Alex Kendrick,Thomas Nelson,Jul 11| 2011,4.7,320,9781418566722,English,Fiction / Christian / General
Among the Gods (Chronicles of the Kings Book #5),Lynn Austin,Bethany House,Jun 1| 2006,4.9,352,9781585584246,English,Fiction / Christian / General
The Apothecary's Daughter,Julie Klassen,Bethany House,Jan 1| 2009,4.4,416,9781441203564,English,Fiction / Christian / General
The Thief,Stephanie Landsem,Simon and Schuster,Feb 25| 2014,4.9,368,9781451689112,English,Fiction / Christian / General
The Doctor's Lady,Jody Hedlund,Baker Books,Sep 1| 2011,4.7,384,9781441233813,English,Fiction / Christian / General
Prophet (Books of the Infinite Book #1),R. J. Larson,Baker Books,Apr 1| 2012,4.4,352,9781441270023,English,Fiction / Christian / Fantasy
Cross Roads,Wm. Paul Young,Hachette UK,Nov 13| 2012,4.5,300,9781455516032,English,Fiction / Christian / General
In Harm's Way (Heroes of Quantico Book #3),Irene Hannon,Revell,Apr 1| 2010,4.7,334,9781441207494,English,Fiction / Christian / General
Short-Straw Bride (The Archer Brothers Book #1),Karen Witemeyer,Baker Books,Jun 1| 2012,4.8,368,9781441271150,English,Fiction / Christian / General
Hearts Awakening (Hearts Along the River Book #1),Delia Parr,Bethany House,Mar 1| 2010,4.4,352,9781441207609,English,Fiction / Christian / General
The Royal Wedding Collection: Once Upon A Prince| Princess Ever After| How to Catch a Prince,Rachel Hauck,Zondervan,Apr 21| 2015,5.0,882,9780310344049,English,Fiction / Christian / General
INFERNO,DAN BROWN,MEHTA PUBLISHING HOUSE,Sep 30| 2016,4.1,616,9789386175250,Marathi,Fiction / Christian / General
A Passion Most Pure (The Daughters of Boston Book #1),Julie Lessman,Baker Books,Jan 1| 2008,4.6,480,9781441200945,English,Fiction / Christian / General
The Widow of Larkspur Inn (The Gresham Chronicles Book #1),Lawana Blackwell,Bethany House,Jun 1| 2007,4.5,432,9781585584062,English,Fiction / Christian / General
The Bridge: A Novel,Karen Kingsbury,Simon and Schuster,Oct 23| 2012,4.6,272,9781451647020,English,Fiction / Christian / General
A Cast of Stones (The Staff and the Sword),Patrick W. Carr,Baker Books,Feb 1| 2013,4.0,432,9781441261021,English,Fiction / Christian / Fantasy
Courting Cate (The Courtships of Lancaster County Book #1),Leslie Gould,Baker Books,Nov 1| 2012,4.4,348,9781441260499,English,Fiction / Amish & Mennonite
A Change of Fortune (Ladies of Distinction Book #1),Jen Turano,Baker Books,Nov 1| 2012,4.5,320,9781441260505,English,Fiction / Christian / General
Waiting for Summer's Return,Kim Vogel Sawyer,Bethany House,Jun 1| 2006,4.5,352,9781585586530,English,Fiction / Christian / General
I Promise (Christy and Todd: College Years Book #3),Robin Jones Gunn,Baker Books,Jun 1| 2001,4.9,288,9781441233127,English,Fiction / Christian / General
Full Disclosure,Dee Henderson,Baker Books,Oct 2| 2012,4.4,480,9781441261175,English,Fiction / Christian / General
My Stubborn Heart,Becky Wade,Baker Books,May 1| 2012,4.5,358,9781441259837,English,Fiction / Christian / General
Cuarto de guerra: Prayer Is a Powerful Weapon,Chris Fabry,NavPress,Aug 25| 2015,4.9,464,9781496407351,Spanish,Fiction / Christian / General
Chasing the Sun (Land of the Lone Star Book #1),Tracie Peterson,Baker Books,Mar 1| 2012,4.4,352,9781441269997,English,Fiction / Christian / General
Beauty of the Beast #1 The Mystic Rose: Part B: A Vow Of Love And The Challenge,Kristie Lynn Higgins,Kristie Lynn Higgins,150,4.5,Flowing text,Web, Tablet, Phone, eReader,Fiction / Action & Adventure,Fiction / Christian / Classic & Allegory
O evangelho maltrapilho,Brennan Manning,Editora Mundo Cristão,Jan 1| 2013,4.8,196,9788573258240,Portuguese,Fiction / Christian / General
Swept Away (Trouble in Texas Book #1),Mary Connealy,Baker Books,Mar 1| 2013,4.5,320,9781441261106,English,Fiction / Christian / General
A Prayer for Owen Meany: A Novel,John Irving,Harper Collins,Mar 13| 2012,4.3,640,9780062204103,English,Fiction / Christian / General
Fancy Pants (Only In Gooding Book #1),Cathy Marie Hake,Bethany House,Sep 1| 2007,4.5,384,9781441202246,English,Fiction / Christian / General
Her Daughter's Dream,Francine Rivers,Tyndale House Publishers| Inc.,Oct 1| 2010,4.7,576,9781414346847,English,Fiction / Christian / General
Daughter of Joy (Brides of Culdee Creek Book #1),Kathleen Morgan,Baker Books,Sep 1| 2007,4.3,336,9781441217257,English,Fiction / Christian / General
An Uncertain Dream (Postcards From Pullman Book #3),Judith Miller,Bethany House,Jun 1| 2008,4.3,384,9781441202932,English,Fiction / Christian / General
An Unforgivable Secret (Amish Secrets #1),J.E.B. Spredemann,Blessed Publishing ,250,4.8,Flowing text, Google-generated PDF,Web, Tablet, Phone, eReader,Fiction / Christian / Romance,This content is DRM free.
A travessia,William P. Young,Editora Arqueiro,Nov 5| 2012,4.4,240,9788580411164,Portuguese,Fiction / Christian / General
Paper Roses (Texas Dreams Book #1),Amanda Cabot,Revell,Jan 1| 2009,4.4,384,9781441203649,English,Fiction / Christian / General
Angels Watching Over Me (Shenandoah Sisters Book #1),Michael Phillips,Bethany House,Jan 1| 2003,4.4,320,9781441211378,English,Fiction / Christian / General
The Mercy (The Rose Trilogy Book #3),Beverly Lewis,Baker Books,Sep 6| 2011,4.8,432,9781441233752,English,Fiction / Amish & Mennonite
An Untamed Land (Red River of the North Book #1),Lauraine Snelling,Baker Books,May 1| 2006,4.4,352,9781441203182,English,Fiction / Christian / General
The Captive Heart (The Daughters of Caleb Bender Book #2),Dale Cramer,Bethany House,Jan 1| 2012,4.8,352,9781441269942,English,Fiction / Amish & Mennonite
A Rush of Wings (A Rush of Wings Book #1),Kristen Heitzmann,Bethany House,Oct 1| 2010,4.5,382,9781585588053,English,Fiction / Christian / General
Crashing Into Jake,Sara Blackard,Sara Blackard,Oct 6| 2020,4.9,199,Flowing text, Google-generated PDF,Fiction / Christian / General,Fiction / Christian / Romance
A Bride in the Bargain,Deeanne Gist,Baker Books,Jun 1| 2009,4.5,368,9781441204172,English,Fiction / Christian / General
Merry Humbug Christmas: Two Tales of Holiday Romance,Sandra D. Bricker,B&H Publishing Group,Oct 15| 2013,4.8,304,9781433680625,English,Fiction / Christian / General
Somebody Like You: A Novel,Beth K. Vogt,Simon and Schuster,May 13| 2014,4.9,368,9781476737591,English,Fiction / Christian / General
Frozen Footprints (Christian Suspense Thriller),Therese Heckenkamp,Ivory Tower Press,Nov 14| 2015,4.6,287,Original pages,Fiction / Christian / General,Fiction / Christian / Suspense
Reto de valientes: Honor Begins at Home,Randy Alcorn,Tyndale Espanol,Apr 22| 2013,4.9,416,9781414379982,Spanish,Fiction / Christian / General
The Shape of Mercy: A Novel,Susan Meissner,WaterBrook,Jun 2| 2010,4.7,320,9780307758330,English,Fiction / Christian / General
Agent with a History,Guy Stanton III,Words of Action,Jan 20| 2014,4.5,196,9780991056552,English,Fiction / Action & Adventure
