title, author, publisher, date_published, ratings, pages, isbn, language, genres
Origin,Dan Brown,Random House,Oct 3| 2017,4.3,560,9781473543348,English,Fiction / Action & Adventure
The Silent Patient: The record-breaking| multimillion copy Sunday Times bestselling thriller and Richard & Judy book club pick,Alex Michaelides,Hachette UK,Feb 5| 2019,4.5,352,9781409181644,English,Fiction / Crime
The Eyes of Darkness: A gripping suspense thriller that predicted a global danger...,Dean Koontz,Hachette UK,Nov 22| 2012,4.4,263,9781472202932,English,Fiction / Crime
Troubled Blood,Robert Galbraith,Hachette UK,Sep 15| 2020,4.7,944,9780751579963,English,Fiction / Action & Adventure
The Girl on the Train: The multi-million copy global phenomenon,Paula Hawkins,Random House,Jan 15| 2015,4.3,416,9781448171682,English,Fiction / Crime
Gone Girl,Gillian Flynn,Hachette UK,May 24| 2012,4.1,320,9780297859406,English,Fiction / Crime
The Family Upstairs: The #1 bestseller and gripping Richard & Judy Book Club pick,Lisa Jewell,Random House,Aug 8| 2019,4.4,480,9781473561342,English,Fiction / Crime
Blue Moon,Lee Child,Random House,Oct 29| 2019,4.2,480,9781473542310,English,Fiction / Action & Adventure
The Devotion Of Suspect X,Keigo Higashino,Hachette UK,Jul 7| 2011,4.2,384,9780748126187,English,Fiction / Crime
Sherlock: The Adventures of Sherlock Holmes,Arthur Conan Doyle,Random House,Oct 27| 2011,4.4,336,9781446417188,English,Fiction / Classics
Big Little Lies: The No.1 bestseller behind the award-winning TV series,Liane Moriarty,Penguin UK,Jul 31| 2014,4.4,496,9781405916370,English,Family & Relationships / Abuse / Domestic Partner Abuse
A Time To Kill,John Grisham,Random House,Apr 21| 2010,4.4,752,9781407059518,English,Fiction / Crime
Eternal Crime,WL Knightly,WL Knightly,Jun 19| 2019,4.9,200,Flowing text, Google-generated PDF,Fiction / Crime,Fiction / Thrillers / Crime
Hideaway,Nora Roberts,Hachette UK,May 26| 2020,4.6,464,9780349421971,English,Fiction / Crime
Pretty Girls: A captivating thriller that will keep you hooked to the last page,Karin Slaughter,Random House,Jul 2| 2015,4.5,544,9781473507876,English,Fiction / Crime
Golden In Death,J. D. Robb,Hachette UK,Feb 6| 2020,4.6,400,9780349422107,English,Fiction / Crime
Silence Of The Lambs: (Hannibal Lecter),Thomas Harris,Random House,Oct 1| 2018,4.3,432,9781446439746,English,Fiction / Crime
The Wrong Side of Goodbye,Michael Connelly,Hachette UK,Oct 18| 2016,4.4,400,9781409147497,English,Fiction / Crime
The Couple Next Door: 'So full of twists. Loved it' Richard Osman,Shari Lapena,Random House,Jul 14| 2016,4.2,368,9781473541542,English,Fiction / City Life
Into the Fire,Gregg Hurwitz,Penguin UK,Feb 20| 2020,4.7,464,9781405928571,English,Fiction / Action & Adventure
I Am Pilgrim: The bestselling Richard & Judy Book Club pick,Terry Hayes,Random House,Jul 18| 2013,4.2,704,9781448170609,English,Fiction / Crime
Along Came a Spider,James Patterson,Random House,Jan 1| 2017,4.5,496,9781473539310,English,Fiction / Crime
Mean Streak,Sandra Brown,Hachette UK,Aug 19| 2014,4.3,416,9781444791433,English,Fiction / Crime
The Thursday Murder Club: The Record-Breaking Sunday Times Number One Bestseller,Richard Osman,Penguin UK,Sep 3| 2020,4.6,336,9780241988275,English,Fiction / Crime
Memory Man,David Baldacci,Pan Macmillan,Apr 23| 2015,4.1,368,9781447277576,English,Fiction / Crime
Defending Jacob: Now a major Apple TV series,William Landay,Hachette UK,Mar 15| 2012,4.0,400,9781409115397,English,Fiction / Crime
Silent Scream,Angela Marsons,Bookouture,Feb 20| 2015,4.5,388,9781909490918,English,Fiction / Crime
The Kind Worth Killing,Peter Swanson,Faber & Faber,Feb 3| 2015,4.3,320,9780571302239,English,Fiction / Crime
Final Option: 'The best one yet',Clive Cussler,Penguin UK,Nov 14| 2019,4.8,448,9781405941020,English,Fiction / Action & Adventure
I Let You Go: The Richard & Judy Bestseller,Clare Mackintosh,Hachette UK,Nov 6| 2014,4.3,384,9780751554175,English,Fiction / Action & Adventure
Last Breath,Robert Bryndza,Bookouture,Apr 12| 2017,4.6,362,9781786811448,English,Fiction / Crime
The Sicilian,Mario Puzo,Random House,Nov 30| 2012,4.6,416,9781448106912,English,Fiction / Action & Adventure
The Curious Incident of the Dog in the Night-time: Vintage Children's Classics,Mark Haddon,Random House,Aug 2| 2012,4.3,304,9781448139859,English,Fiction / Action & Adventure
The Secrets She Keeps: Now a major TV series starring Laura Carmichael,Michael Robotham,Hachette UK,Jul 11| 2017,4.6,448,9780751562781,English,Fiction / Crime
Friend Request: The most addictive psychological thriller you'll read this year,Laura Marshall,Hachette UK,Jul 27| 2017,4.5,400,9780751568349,English,Fiction / Crime
A Gathering of Shadows,V.E. Schwab,Titan Books,Feb 23| 2016,4.4,352,9781783295432,English,Fiction / Crime
The Missing Ones,Patricia Gibney,Bookouture,Mar 16| 2017,4.5,460,9781786811509,English,Fiction / Crime
Darkly Dreaming Dexter: Book One,Jeff Lindsay,Hachette UK,Mar 19| 2009,4.2,304,9781409117278,English,Fiction / Crime
The Dante Connection (Book 2),Estelle Ryan,Estelle Ryan,Feb 24| 2013,4.4,365,Flowing text,Fiction / Crime,Fiction / Mystery & Detective / General
The Secret Mother: A gripping psychological thriller that will have you hooked,Shalini Boland,Bookouture,Nov 9| 2017,4.4,244,9781786813176,English,Fiction / Crime
The Turn of the Key: the addictive new thriller from the Sunday Times bestselling author,Ruth Ware,Random House,Aug 8| 2019,4.4,352,9781473553996,English,Fiction / Crime
Faceless: A dark and pacy crime thriller of betrayal and revenge,Martina Cole,Hachette UK,Sep 4| 2008,4.6,640,9780755350681,English,Fiction / Crime
The Cartel: A white-knuckle drug war thriller,Don Winslow,Random House,Jun 25| 2015,4.7,640,9781473518469,English,Fiction / Crime
Game Theory - A totally gripping thriller full of shocking twists,Colleen Cross,Slice Thrillers,Jan 21| 2021,4.2,320,9780987883513,English,Drama / Women Authors
Anxious People: The No. 1 New York Times bestseller from the author of A Man Called Ove,Fredrik Backman,Penguin UK,Aug 20| 2020,4.7,352,9781405930260,English,Fiction / Crime
Tell No One,Harlan Coben,Hachette UK,Aug 26| 2010,4.1,352,9781409131236,English,Fiction / Crime
The Gray Man,Mark Greaney,Hachette UK,Nov 15| 2012,4.4,416,9781405518444,English,Fiction / Action & Adventure
Bury Your Dead,Louise Penny,Hachette UK,Sep 28| 2010,4.5,352,9780748122493,English,Fiction / City Life
The House of Silk: A Richard and Judy bestseller,Anthony Horowitz,Hachette UK,Nov 1| 2011,4.1,320,9781409133841,English,Fiction / Crime
Hunter Killer: Danny Black Thriller 2,Chris Ryan,Hachette UK,Aug 28| 2014,4.5,400,9781444753615,English,Fiction / Action & Adventure
