title, author, publisher, date_published, ratings, pages, isbn, language, genres
Memoirs of a Geisha,Arthur Golden,Random House,Dec 2| 2008,4.1,512,9781407019666,English,Fiction / Cultural Heritage
Grace,David Adams,David Adams,347,4.1,Flowing text, Original pages,Web, Tablet, Phone, eReader,Fiction / Cultural Heritage,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Gates Of Fire: One of history’s most epic battles is brought to life in this enthralling and moving novel,Steven Pressfield,Random House,Feb 23| 2010,4.6,528,9781407066592,English,Fiction / Action & Adventure
The Mirror and the Light (The Wolf Hall Trilogy| Book 3),Hilary Mantel,HarperCollins UK,Mar 5| 2020,4.8,912,9780007481095,English,Fiction / Cultural Heritage
The Pagan Lord (The Last Kingdom Series| Book 7),Bernard Cornwell,HarperCollins UK,Sep 26| 2013,4.4,368,9780007331949,English,Fiction / Action & Adventure
Veronika Decides to Die: A Novel of Redemption,Paulo Coelho,Harper Collins,Mar 17| 2009,4.3,240,9780061835438,English,Fiction / Cultural Heritage
The Empire of Gold: A Novel,S. A. Chakraborty,HarperCollins,Jun 30| 2020,4.8,784,9780062678188,English,Fiction / Cultural Heritage
The Dragon Republic,R. F. Kuang,HarperCollins,Aug 6| 2019,4.3,672,9780062662613,English,Fiction / Cultural Heritage
Lovecraft Country: A Novel,Matt Ruff,HarperCollins,Feb 16| 2016,4.4,400,9780062292087,English,Fiction / African American / Historical
The Henna Artist: A Novel,Alka Joshi,MIRA,Mar 3| 2020,4.5,400,9781488055447,English,Fiction / Cultural Heritage
The Invention of Wings,Sue Monk Kidd,Hachette UK,Jan 7| 2014,4.2,416,9781472212764,English,Fiction / African American / Historical
The Angel's Game: The Cemetery of Forgotten Books 2| Book 2,Carlos Ruiz Zafon,Hachette UK,Jun 1| 2009,4.1,432,9780297855897,English,Antiques & Collectibles / Books
Erotic Stories for Punjabi Widows,Balli Kaur Jaswal,HarperCollins,Mar 9| 2017,3.9,400,9780008209902,English,Fiction / Classics
Factotum,Charles Bukowski,Harper Collins,Oct 13| 2009,4.1,208,9780061842412,English,Fiction / Classics
The Joy Luck Club,Amy Tan,Random House,Dec 26| 2008,4.1,384,9781407072852,English,Fiction / Asian American
The Class,Erich Segal,Hachette UK,Jul 4| 2013,4.8,544,9781444768534,English,Fiction / Coming of Age
A Woman is No Man: an emotional and gripping New York Times best selling debut reading group novel,Etaf Rum,HarperCollins UK,Mar 5| 2019,4.5,352,9780008341077,English,Fiction / Coming of Age
The Tattooist of Auschwitz: A Novel,Heather Morris,HarperCollins,Sep 4| 2018,4.4,288,9780062797162,English,Fiction / Cultural Heritage
Son of the Hawk,Charles G. West,Penguin,Nov 1| 2001,4.7,48,9781101662878,English,Fiction / Cultural Heritage
A Grain of Wheat,Ngugi wa Thiong'o,Penguin,Jun 5| 2012,4.4,272,9781101584859,English,Fiction / Cultural Heritage
Interpreter of Maladies,Jhumpa Lahiri,HarperCollins UK,Mar 27| 2014,4.0,208,9780007381647,English,Fiction / Asian American
Middlesex,Jeffrey Eugenides,HarperCollins UK,Apr 15| 2013,4.2,544,9780007528653,English,Fiction / Coming of Age
The Stationery Shop,Marjan Kamali,Simon and Schuster,Jun 18| 2019,4.4,320,9781982107505,English,Fiction / Cultural Heritage
Daisy Jones and The Six: Winner of the Glass Bell Award for Fiction,Taylor Jenkins Reid,Random House,Mar 5| 2019,4.3,416,9781473559707,English,Fiction / Biographical
Revenge,Yoko Ogawa,Random House,Jan 31| 2013,4.5,176,9781446485002,English,Fiction / Cultural Heritage
The Power and the Glory,Graham Greene,Random House,Oct 2| 2010,4.2,240,9781409017431,English,Fiction / Christian / Classic & Allegory
