title, author, publisher, date_published, ratings, pages, isbn, language, genres
Red Queen,Victoria Aveyard,Hachette UK,Feb 12| 2015,4.7,320,9781409150732,English,Fiction / Dystopian
Metro 2033: The novels that inspired the bestselling games,Dmitry Glukhovsky,Hachette UK,Mar 18| 2010,4.6,488,9780575086265,English,Fiction / Dystopian
Of Blood and Bone,Nora Roberts,Hachette UK,Dec 4| 2018,4.7,464,9780349414997,English,Fiction / Action & Adventure
Malice,John Gwynne,Pan Macmillan,Dec 6| 2012,4.4,634,9780230767270,English,Fiction / Dystopian
Brave New World,Aldous Huxley,Random House,Dec 26| 2008,3.9,272,9781407021010,English,Fiction / Classics
The Road: Winner of the Pulitzer Prize for Fiction,Cormac McCarthy,Pan Macmillan,Dec 10| 2010,4.5,256,9780330472753,English,Fiction / Dystopian
Nineteen Eighty-Four: The Annotated Edition,George Orwell,Penguin UK,Feb 7| 2013,4.3,416,9780718193645,English,Fiction / Classics
1Q84: Books 1 and 2,Haruki Murakami,Random House,Oct 18| 2011,4.4,816,9781446484197,English,Fiction / Cultural Heritage
Station Eleven,Emily St. John Mandel,Pan Macmillan,Sep 10| 2014,4.2,384,9781447269007,English,Fiction / Dystopian
The Moon is a Harsh Mistress,Robert A. Heinlein,Hachette UK,Aug 14| 2014,4.7,288,9781444791044,English,Fiction / Dystopian
I Am Legend,Richard Matheson,Hachette UK,Sep 1| 2011,4.4,176,9780575119574,English,Fiction / Dystopian
Salvation (The Captive Series Book 4),Erica Stevens,Erica Stevens,Mar 7| 2015,4.7,316,Flowing text, Original pages,Fiction / Dystopian,Fiction / Fantasy / Paranormal
Close Remembrance (The Krinar Chronicles: Volume 3),Anna Zaires,Mozaika Publications,Sep 5| 2013,4.2,398,9780988391345,English,Body| Mind & Spirit / Supernatural
The Power: WINNER OF THE WOMEN'S PRIZE FOR FICTION,Naomi Alderman,Penguin UK,Oct 27| 2016,4.4,352,9780670919970,English,Fiction / Dystopian
Lethal Game: 'The queen of paranormal romance',Christine Feehan,Hachette UK,Mar 3| 2020,4.6,448,9780349426679,English,Fiction / Dystopian
Compete,Vera Nazarian,Norilana Books,Aug 15| 2015,4.8,530,9781607621492,English,Fiction / Dystopian
Fate's Warriors Trilogy: Bundle: Books 1 - 3,J.C. Diem,Seize The Night Agency,597,4.9,Flowing text,Web, Tablet, Phone, eReader,Fiction / Fantasy / Urban,Fiction / Romance / Fantasy
Eye of the Storm (Sean Dillon Series| Book 1),Jack Higgins,HarperCollins UK,Jun 7| 2012,4.3,304,9780007456031,English,Fiction / Action & Adventure
Blindness,José Saramago,Random House,Sep 20| 2013,4.0,320,9781448180981,English,Fiction / Dystopian
The War of the Worlds,H. G. Wells,Penguin UK,Apr 26| 2012,4.3,208,9780141974200,English,Fiction / Classics
The Zombie Chronicles - Book 2 - Race For The Cure,Chrissy Peebles,Dark Shadows Publishing,Nov 21| 2014,4.5,64,Flowing text, Original pages,Fiction / Dystopian,Fiction / Erotica / Science Fiction| Fantasy & Horror
Mark of Fate,W. J. May,W.J. May,Mar 11| 2016,4.8,220,Flowing text, Google-generated PDF,Fiction / Dystopian,Fiction / Fantasy / Dark Fantasy
The End of October: A page-turning thriller that warned of the risk of a global virus,Lawrence Wright,Random House,Apr 28| 2020,4.6,480,9781473584914,English,Fiction / Action & Adventure
Parable of the Sower: the New York Times bestseller,Octavia E. Butler,Hachette UK,Mar 27| 2014,4.2,300,9781472214775,English,Fiction / Classics
Anthem,Ayn Rand,Courier Corporation,Nov 26| 2013,3.9,96,9780486782713,English,Fiction / Classics
A Clockwork Orange: Restored Edition,Anthony Burgess,Penguin UK,Dec 5| 2013,4.6,352,9780141970684,English,Fiction / Classics
Ancestral Night: A White Space Novel,Elizabeth Bear,Hachette UK,Mar 7| 2019,4.4,512,9781473208766,English,Fiction / Dystopian
The Price For Peace,W.J. May,Dark Shadow Publishing,Nov 1| 2019,4.6,225,Flowing text, Google-generated PDF,Fiction / Coming of Age,Fiction / Dystopian
Ilan,Dana Archer,Cherokee House Publishing LLC,Jan 13| 2019,4.9,318,9781946672698,English,Fiction / Dystopian
The 40th Day,Deirdre Gould,Deirdre Gould,May 4| 2016,4.8,231,Flowing text, Google-generated PDF,Fiction / Dystopian,Fiction / Horror
Regal,Brian Rathbone,White Wolf Press| LLC,2013,4.4,298,9781301786039,English,Body| Mind & Spirit / Magick Studies
Wool,Hugh Howey,Random House,May 31| 2012,4.3,576,9781448150205,English,Fiction / Dystopian
Reamde,Neal Stephenson,Atlantic Books Ltd,Sep 20| 2011,4.0,300,9780857894182,English,Fiction / Dystopian
Arena Two (Book #2 of the Survival Trilogy),Morgan Rice,Morgan Rice,2012,4.3,336,9780984975372,English,Fiction / Action & Adventure
Sketches,Teyla Branton,White Star Press,Jun 20| 2017,4.5,408,9781939203786,English,Fiction / Dystopian
Plague Wars: Infection Day: The First Trilogy: Three apocalyptic technothriller sci-fi adventures,David VanDyke,Reaper Press,776,4.6,Flowing text, Google-generated PDF,Web, Tablet, Phone, eReader,Fiction / Science Fiction / Alien Contact,Fiction / Science Fiction / Apocalyptic & Post-Apocalyptic
Diaspora,Greg Egan,Hachette UK,Dec 30| 2010,4.2,352,9780575105423,English,Fiction / Dystopian
The Memory Police,Yoko Ogawa,Random House,Aug 15| 2019,4.2,288,9781473520691,English,Fiction / Dystopian
The Gathering,K.E. Ganshert,K.E. Ganshert,Aug 6| 2015,4.8,377,Flowing text, Google-generated PDF,Fiction / Dystopian,Fiction / Romance / Paranormal
Hell Divers,Nicholas Sansbury Smith,Blackstone Publishing,Jul 19| 2016,4.5,368,9781504725866,English,Fiction / Dystopian
Agency: THE DYSTOPIAN SUNDAY TIMES TOP TEN BESTSELLER FROM THE AUTHOR OF THE PERIPHERAL,William Gibson,Penguin UK,Jan 23| 2020,4.2,416,9780241974568,English,Fiction / Alternative History
Apocalypsis: Book 1 (Kahayatle),Elle Casey,Elle Casey,Jun 22| 2012,4.6,350,9781939455284,English,Fiction / Action & Adventure
The City of Mirrors,Justin Cronin,Hachette UK,May 24| 2016,4.2,624,9781409151005,English,Fiction / Disaster
Alif the Unseen: LONGLISTED WOMEN’S PRIZE FOR FICTION 2013,G. Willow Wilson,Atlantic Books Ltd,Sep 1| 2012,4.1,300,9780857895684,English,Fiction / Action & Adventure
Surviving The Evacuation| Book 2: Wasteland,Frank Tayell,Frank Tayell,Dec 24| 2013,4.5,300,Flowing text, Original pages,Fiction / Dystopian,Fiction / Horror
The Day of the Triffids,John Wyndham,Penguin UK,Sep 20| 2008,4.6,272,9780141912110,English,Fiction / Classics
Legion: Lies of the Beholder,Brandon Sanderson,Hachette UK,Sep 20| 2018,4.4,128,9781473224971,English,Fiction / Dystopian
The Long Mars,Stephen Baxter,Random House,Jun 19| 2014,3.2,448,9781448167630,English,Fiction / Dystopian
Bitten by Flame,Kimber White,Nokay Press| LLC,Jul 8| 2020,4.8,254,Flowing text, Google-generated PDF,Fiction / Dystopian,Fiction / Romance / Action & Adventure
