title, author, publisher, date_published, ratings, pages, isbn, language, genres
AIRPORT PLANNING AND MANAGEMENT 6/E: Edition 6,Seth Young,McGraw Hill Professional,Mar 8| 2011,4.1,608,9780071750233,English,Technology & Engineering / Civil / General
Programmable Logic Controllers: Industrial Control,Khaled Kamel,McGraw Hill Professional,Jul 22| 2013,4.1,432,9780071810470,English,Technology & Engineering / Civil / General
Mathematical Modelling,Seppo Pohjolainen,Springer,Jul 14| 2016,4.7,242,9783319278360,English,Computers / Computer Science
Numerical Linear Algebra,Lloyd N. Trefethen,SIAM,Jan 1| 1997,4.0,373,9780898719574,English,Mathematics / Algebra / General
Five Alarm Leadership: From the Firehouse to the Fireground,Rick Lasky,Fire Engineering Books,2013,4.7,234,9781593702342,English,Education / Decision-Making & Problem Solving
Pride & Ownership: A Firefighter's Love of the Job,Rick Lasky,PennWell Books,2006,4.5,302,9781593700782,English,Business & Economics / Leadership
The Definitive Guide to ARM® Cortex®-M3 and Cortex®-M4 Processors: Edition 3,Joseph Yiu,Newnes,Oct 6| 2013,4.7,864,9780124079182,English,Computers / Microprocessors
Biomaterials Science: An Introduction to Materials in Medicine| Edition 3,Buddy D. Ratner,Academic Press,Dec 31| 2012,3.8,1573,9780080877808,English,Medical / Instruments & Supplies
Machinery Directive & Harmonised Standards: Machinery Directive 2006/43/EC & HSA Harmonised Standards database,Dr. Eng. Marco Maccarelli,Certifico S.r.l.,Dec 21| 2020,5.0,200,9788898550241,English,Technology & Engineering / Industrial Technology
Manufacturing Planning and Control for Supply Chain Management,F. Robert Jacobs,McGraw Hill Professional,May 6| 2011,4.0,576,9780071750325,English,Technology & Engineering / Civil / General
Surface Water-Quality Modeling,Steven C. Chapra,Waveland Press,Dec 17| 2008,4.4,844,9781478608301,English,Technology & Engineering / Environmental / Water Supply
CNC Programming using Fanuc Custom Macro B,S. K Sinha,McGraw Hill Professional,Jun 22| 2010,3.6,288,9780071713337,English,Technology & Engineering / Civil / General
Crew Resource Management: Edition 2,Earl L. Wiener,Academic Press,Jan 20| 2010,3.8,625,9780080959009,English,Psychology / Applied Psychology
Wills' Mineral Processing Technology: An Introduction to the Practical Aspects of Ore Treatment and Mineral Recovery| Edition 7,Barry A. Wills,Elsevier,Apr 18| 2011,4.8,456,9780080479477,English,Technology & Engineering / Materials Science / General
Fireground Strategies,Anthony Avillo,Fire Engineering Books,2008,4.0,698,9781593701598,English,Technology & Engineering / Fire Science
