title, author, publisher, date_published, ratings, pages, isbn, language, genres
Jaya: An Illustrated Retelling of the Mahabharata,Devdutt Pattanaik,Penguin UK,Aug 16| 2010,4.4,372,9788184751697,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Hard Work Never Fails,Mukesh Ravichandran,MPS Publishers,Jul 1| 2020,3.9,30,Original pages,Comics & Graphic Novels / General,Comics & Graphic Novels / Manga / Children's Books & Fairy Tales
Norse Mythology,Neil Gaiman,Bloomsbury Publishing,Feb 7| 2017,4.5,256,9781408887028,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
The Fellowship of the Ring (The Lord of the Rings| Book 1),J. R. R. Tolkien,HarperCollins UK,Apr 20| 2009,4.6,448,9780007322497,English,Fiction / Classics
Circe: The International No. 1 Bestseller - Shortlisted for the Women's Prize for Fiction 2019,Madeline Miller,Bloomsbury Publishing,Apr 19| 2018,4.7,352,9781408890066,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
A Court of Mist and Fury: The #1 bestselling series,Sarah J. Maas,Bloomsbury Publishing,May 3| 2016,4.8,432,9781408857892,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Asura : Tale of the Vanquished: The Story of Ravana and His People,Anand Neelakantan,One Point Six Technology Pvt Ltd,Apr 12| 2012,4.1,504,9789381576052,English,Fiction / Alternative History
The Dragonbone Chair,Tad Williams,Penguin,Mar 1| 2005,4.7,800,9781101160770,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
The Beginning After The End,TurtleMe,TurtleMe,Feb 11| 2020,4.8,595,Flowing text, Google-generated PDF,Fiction / Fairy Tales, Folk Tales, Legends & Mythology,Fiction / Fantasy / Action & Adventure
Mythos: The Greek Myths Retold,Stephen Fry,Penguin UK,Nov 2| 2017,4.7,464,9781405934169,English,Body| Mind & Spirit / Mysticism
The Elsker Saga Box Set (Books 1-3 + Novella),S.T. Bende,S.T. Bende,May 3| 2015,4.8,447,Flowing text, Original pages,Fiction / Fairy Tales, Folk Tales, Legends & Mythology,Fiction / Fantasy / Urban
City of Wishes: The Complete Cinderella Story,Rachel Morgan,Rachel Morgan,Aug 20| 2019,4.8,486,9781928510123,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Royal Assassin (The Farseer Trilogy| Book 2),Robin Hobb,HarperCollins UK,Sep 1| 2011,4.4,656,9780007383443,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Mahabharat,Madhav Kanitkar,Diamond Publications,Jul 1| 2008,4.1,670,9788184830996,Marathi,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Grace,David Adams,David Adams,347,4.1,Flowing text, Original pages,Web, Tablet, Phone, eReader,Fiction / Cultural Heritage,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Ramayan: India's Classic Story of Divine Love,P. R. Mitchell,iUniverse,Feb 5| 2009,4.3,260,9780595616398,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Sampurna Katha Ramayan,V K Phadke,Diamond Publications,Jun 1| 2012,4.0,246,9788184834345,Marathi,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Uprooted,Naomi Novik,Pan Macmillan,May 21| 2015,4.2,400,9781447294153,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Heart of a Dragon (Fallen Immortals 2),Alisa Woods,Alisa Woods,Feb 3| 2018,4.7,249,Flowing text, Google-generated PDF,Fiction / Fairy Tales, Folk Tales, Legends & Mythology,Fiction / Fantasy / Contemporary
Gates Of Fire: One of history’s most epic battles is brought to life in this enthralling and moving novel,Steven Pressfield,Random House,Feb 23| 2010,4.6,528,9781407066592,English,Fiction / Action & Adventure
