title, author, publisher, date_published, ratings, pages, isbn, language, genres
The Kite Runner,Khaled Hosseini,Penguin,Apr 27| 2004,4.4,400,9781101217238,English,Fiction / Family Life / General
The ABC Murders (Poirot),Agatha Christie,HarperCollins UK,Oct 14| 2010,4.6,272,9780007421893,English,Fiction / Classics
PS| I Love You: The emotional| heartbreaking romantic fiction book from the number one best selling author of Postscript,Cecelia Ahern,HarperCollins UK,Sep 4| 2008,4.5,512,9780007279364,English,Fiction / Family Life / General
Then She Was Gone: From the number one bestselling author of The Family Upstairs,Lisa Jewell,Random House,Jul 27| 2017,4.6,448,9781473538337,English,Fiction / Family Life / General
Be Careful What You Wish For,Jeffrey Archer,Pan Macmillan,Mar 13| 2014,4.2,400,9781447248743,English,Fiction / Family Life / General
Big Little Lies: The No.1 bestseller behind the award-winning TV series,Liane Moriarty,Penguin UK,Jul 31| 2014,4.4,496,9781405916370,English,Family & Relationships / Abuse / Domestic Partner Abuse
The Rosie Project,Graeme Simsion,Penguin UK,Apr 11| 2013,4.2,352,9781405912785,English,Fiction / Family Life / General
Desire,Z.L. Arkadie,Z.L. Arkadie,Feb 20| 2019,4.7,250,9781942857396,English,Fiction / Family Life / General
The Grapes of Wrath,John Steinbeck,Penguin UK,Apr 26| 2001,4.4,544,9780141915036,English,Fiction / Classics
The Art of Racing in the Rain: A Novel,Garth Stein,Harper Collins,Mar 17| 2009,4.4,336,9780061738098,English,Fiction / Animals
Saving Grace,Julie Garwood,Penguin,Jun 7| 2011,4.7,499,9781101533079,English,Fiction / Family Life / General
Purple Hibiscus,Chimamanda Ngozi Adichie,HarperCollins UK,Nov 29| 2012,4.5,336,9780007383696,English,Fiction / Family Life / General
My Not So Perfect Life: A Novel,Sophie Kinsella,Random House,Feb 9| 2017,4.4,464,9781473510616,English,Fiction / Coming of Age
Pachinko: The New York Times Bestseller,Min Jin Lee,Head of Zeus Ltd,Feb 23| 2017,4.2,560,9781786691347,English,Fiction / Asian American
Little Fires Everywhere: The New York Times Top Ten Bestseller,Celeste Ng,Hachette UK,Sep 12| 2017,4.2,400,9781408709702,English,Family & Relationships / Adoption & Fostering
The Secret Diary of Adrian Mole Aged 13 3/4: Adrian Mole Book 1| Book 1,Sue Townsend,Penguin UK,Jan 19| 2012,4.5,336,9780718196134,English,Fiction / Coming of Age
Of Blood and Bone,Nora Roberts,Hachette UK,Dec 4| 2018,4.7,464,9780349414997,English,Fiction / Action & Adventure
Every Breath: A captivating story of enduring love from the author of The Notebook,Nicholas Sparks,Hachette UK,Oct 16| 2018,4.5,320,9780751567779,English,Family & Relationships / Dating
The Thursday Murder Club: The Record-Breaking Sunday Times Number One Bestseller,Richard Osman,Penguin UK,Sep 3| 2020,4.6,336,9780241988275,English,Fiction / Crime
Conqueror: The Complete 5-Book Collection,Conn Iggulden,HarperCollins UK,Mar 28| 2013,4.7,2256,9780007518722,English,Fiction / Anthologies (multiple authors)
Defending Jacob: Now a major Apple TV series,William Landay,Hachette UK,Mar 15| 2012,4.0,400,9781409115397,English,Fiction / Crime
Crazy Rich Asians: The international bestseller| now a major film in 2018,Kevin Kwan,Atlantic Books Ltd,Jul 1| 2013,4.3,300,9781782393313,English,Fiction / Cultural Heritage
Girl| Woman| Other: WINNER OF THE BOOKER PRIZE 2019,Bernardine Evaristo,Penguin UK,May 2| 2019,4.5,464,9780241985007,English,Fiction / African American / Women
The Pearl That Broke Its Shell: A Novel,Nadia Hashimi,Harper Collins,May 6| 2014,4.5,480,9780062244772,English,Fiction / Family Life / General
For One More Day,Mitch Albom,Hachette UK,Jun 11| 2009,4.2,208,9780748112623,English,Fiction / Family Life / General
Edge of Eternity,Ken Follett,Penguin,Sep 16| 2014,4.4,1120,9780698160576,English,Fiction / Family Life / General
There Goes My Heart (Maine Sullivans 2),Bella Andre,Oak Press| LLC,Jun 19| 2019,4.8,400,9781945253973,English,Fiction / Family Life / General
The Namesake,Jhumpa Lahiri,HarperCollins UK,Mar 27| 2014,4.1,304,9780007383535,English,Fiction / Family Life / General
To Kill A Mockingbird: Enhanced Edition,Harper Lee,Random House,Nov 4| 2014,4.6,320,9781473518063,English,Fiction / African American / Historical
Don't Want To Miss A Thing: A warm and witty romance with many twists along the way,Jill Mansell,Hachette UK,Jan 31| 2013,4.5,352,9780755355983,English,Family & Relationships / General
The Pact: A Love Story,Jodi Picoult,Harper Collins,Oct 6| 2009,4.5,512,9780061980244,English,Fiction / Family Life / General
Gabriel's Promise,Sylvain Reynard,Penguin,Jan 7| 2020,4.4,352,9780593097991,English,Fiction / Family Life / General
Reconstructing Amelia: A Novel,Kimberly McCreight,Harper Collins,Apr 2| 2013,4.2,400,9780062225450,English,Fiction / Family Life / General
Nothing to See Here,Kevin Wilson,HarperCollins,Oct 29| 2019,4.4,288,9780062913487,English,Fiction / Family Life / General
Sunset In Central Park (From Manhattan with Love| Book 2),Sarah Morgan,HarperCollins UK,Jul 14| 2016,4.4,368,9781474047548,English,Fiction / Family Life / General
A Dog's Journey,W. Bruce Cameron,Pan Macmillan,Jan 17| 2013,4.5,352,9781447220091,English,Fiction / Animals
The Sun Sister,Lucinda Riley,Pan Macmillan,Oct 31| 2019,4.7,400,9781509840168,English,Fiction / Family Life / General
The Goldfinch,Donna Tartt,Hachette UK,Oct 22| 2013,3.9,784,9781405529518,English,Fiction / Coming of Age
The Great Alone: A Compelling Story of Love| Heartbreak and Survival| From the Multi-million Copy Bestselling Author of The Nightingale,Kristin Hannah,Pan Macmillan,Feb 8| 2018,4.7,352,9781447286011,English,Fiction / Family Life / General
Fires of Winter,Johanna Lindsey,Harper Collins,Jun 7| 2011,4.4,400,9780062106483,English,Fiction / Family Life / General
Love to Hate You: The laugh-out-loud romantic comedy hit,Jo Watson,Hachette UK,Feb 6| 2018,0,384,9781472257772,English,Fiction / Family Life / General
The Thorn Birds,Colleen McCullough,Harper Collins,Oct 13| 2009,4.4,704,9780061807091,English,Fiction / Family Life / General
Morning| Noon and Night,Sidney Sheldon,Harper Collins,Nov 14| 2013,4.5,400,9780007381944,English,Fiction / Classics
My Grandmother Sends Her Regards and Apologises,Fredrik Backman,Hachette UK,Jun 4| 2015,4.7,320,9781444775860,English,Fiction / Family Life / General
My Cousin Rachel,Daphne Du Maurier,Hachette UK,Jun 7| 2012,4.3,352,9781405518079,English,Fiction / Classics
On Earth We're Briefly Gorgeous,Ocean Vuong,Random House,Jun 20| 2019,4.1,256,9781473564473,English,Fiction / Asian American
The Silver Linings Playbook,Matthew Quick,Pan Macmillan,Jan 1| 2010,4.3,289,9780330504614,English,Fiction / Family Life / General
The Dry: The Sunday Times Crime Book of the Year 2017,Jane Harper,Hachette UK,May 31| 2016,4.6,432,9781408708187,English,Fiction / Crime
The Woman in the Wood: A missing teenager. An outcast woman in the woods. And a girl determined to find the truth. From The Sunday Times bestselling author,Lesley Pearse,Penguin UK,Jun 29| 2017,4.8,544,9781405921077,English,Fiction / Family Life / General
The Tiger’s Prey,Wilbur Smith,HarperCollins,Sep 7| 2017,4.5,432,9780007535934,English,Fiction / Action & Adventure
