title, author, publisher, date_published, ratings, pages, isbn, language, genres
And Then There Were None,Agatha Christie,HarperCollins UK,Oct 14| 2010,4.6,224,9780007422135,English,Fiction / Classics
The Richest Man in Babylon: The most inspiring book on wealth ever written,George S. Clason,GENERAL PRESS,Mar 8| 2018,4.6,192,9789387669383,English,Business & Economics / Econometrics
The Complete Sherlock Holmes,Arthur Conan Doyle,Top Five Books LLC,May 28| 2014,4.6,2000,9781938938160,English,Fiction / Classics
Dune,Frank Herbert,Penguin,Aug 26| 2003,4.7,896,9781101658055,English,Fiction / Classics
The Lord of the Rings: The classic fantasy masterpiece,J. R. R. Tolkien,HarperCollins UK,Apr 20| 2009,4.6,1216,9780007322596,English,Fiction / Classics
The Godfather: The classic bestseller that inspired the legendary film,Mario Puzo,Random House,Nov 30| 2012,4.8,608,9781448106899,English,Fiction / Classics
Animal Farm,George Orwell,Penguin UK,Jun 5| 2003,4.5,144,9780141905914,English,Fiction / Classics
If Tomorrow Comes,Sidney Sheldon,HarperCollins UK,Jun 7| 2012,4.4,592,9780007370603,English,Fiction / Classics
The Handmaid's Tale,Margaret Atwood,Random House,May 15| 2012,4.3,336,9781446485477,English,Fiction / Classics
War and Peace,Leo Tolstoy,Penguin,Jun 5| 2007,4.6,1456,9781101003831,English,Fiction / Classics
Flowers For Algernon,Daniel Keyes,Hachette UK,Nov 15| 2012,4.8,224,9780575088498,English,Fiction / Classics
Pet Sematary: Kingâ€™s #1 bestseller â€“ soon to be a major motion picture,Stephen King,Hachette UK,Mar 22| 2010,4.5,300,9781848940857,English,Fiction / Classics
The Song of Achilles: A Novel,Madeline Miller,Harper Collins,Mar 6| 2012,4.5,416,9780062060631,English,Fiction / Classics
Catch-22,Joseph Heller,Random House,Jun 8| 2011,4.4,528,9781446424049,English,Fiction / Classics
Siddhartha,Herman Hesse,Simon and Schuster,Nov 8| 2013,4.6,99,9781627936408,English,Fiction / Classics
The Complete Charles Dickens Collection,Charles Dickens,eBookIt.com,Jul 15| 2013,4.5,9999,9781456618353,English,Fiction / Anthologies (multiple authors)
Sherlock Holmes: The Complete Novels and Stories: Volumes I and II,Sir Arthur Conan Doyle,Bantam Classics,Aug 26| 2003,4.3,1856,9780553897449,English,Fiction / Classics
Mere Christianity,C. S. Lewis,HarperCollins UK,Jun 15| 2009,4.7,192,9780007332243,English,Fiction / Classics
Shogun,James Clavell,Hachette UK,Jun 20| 2013,4.7,1136,9781848943124,English,Fiction / Action & Adventure
Old Man and the Sea,Ernest Hemingway,Simon and Schuster,May 22| 2014,4.6,100,9781476770185,English,Fiction / Classics
The Remains of the Day,Kazuo Ishiguro,Faber & Faber,Jan 8| 2009,4.4,272,9780571249350,English,Fiction / Biographical
Rebecca,Daphne Du Maurier,Hachette UK,Feb 9| 2012,4.2,448,9781405513463,English,Fiction / Classics
The Little Prince,Antoine de Saint-Exupéry,Pelekanos Books,Dec 31| 2014,4.7,119,9789604009473,English,Fiction / Classics
Gone with the Wind,Margaret Mitchell,Simon and Schuster,Nov 1| 2007,4.5,960,9781416573463,English,Fiction / Classics
Crime and Punishment (The Unabridged Garnett Translation),Fyodor Dostoevsky,e-artnow,Sep 20| 2013,4.6,566,9788074849541,English,Fiction / Classics
Foundation,Isaac Asimov,HarperCollins UK,May 3| 2018,4.6,240,9780007381128,English,Fiction / Classics
The Color Purple: The classic| Pulitzer Prize-winning novel,Alice Walker,Hachette UK,Dec 29| 2011,4.6,256,9781409139263,English,Fiction / African American / Historical
The Picture of Dorian Gray,Oscar Wilde,Simon and Schuster,May 6| 2014,4.4,238,9781476788128,English,Fiction / Classics
Fahrenheit 451,Ray Bradbury,HarperCollins UK,Feb 14| 2013,4.1,240,9780007496969,English,Fiction / Classics
The Grapes of Wrath,John Steinbeck,Penguin UK,Apr 26| 2001,4.4,544,9780141915036,English,Fiction / Classics
The Outsider,Albert Camus,Penguin UK,Oct 31| 2013,4.5,128,9780141904252,English,Fiction / Classics
Flowers In The Attic,V.C. Andrews,Simon and Schuster,Feb 8| 2011,4.5,416,9781451636949,English,Fiction / Classics
The Last Kingdom Series Books 1-6: The gripping| bestselling historical fiction series (The Last Kingdom Series),Bernard Cornwell,HarperCollins UK,Dec 6| 2012,4.7,2366,9780007511464,English,Fiction / Action & Adventure
Seveneves,Neal Stephenson,HarperCollins UK,May 21| 2015,4.3,880,9780008132538,English,Fiction / Classics
H.P. Lovecraft: The Ultimate Collection (160 Works Including Early Writings| Fiction| Collaborations| Poetry| Essays & Bonus Audiobook Links),H.P. Lovecraft,eBookIt.com,Jun 18| 2014,4.4,1945,9781456622626,English,Fiction / Classics
Things Fall Apart,Chinua Achebe,Penguin UK,Apr 25| 2013,4.2,176,9780141393964,English,Fiction / Classics
Magician (The Riftwar Saga| Book 1),Raymond E. Feist,HarperCollins UK,Sep 10| 2012,4.7,880,9780007381432,English,Fiction / Classics
Prince of Fools (Red Queen’s War| Book 1),Mark Lawrence,HarperCollins UK,Jun 5| 2014,4.3,512,9780007531554,English,Fiction / Classics
Love Rosie,Cecelia Ahern,HarperCollins UK,Jan 19| 2009,4.5,576,9780007279708,English,Fiction / Classics
The Count of Monte Cristo,Alexandre Dumas,Bantam Classics,Dec 2| 2003,4.7,544,9780553898156,English,Fiction / Action & Adventure
Godan,Premchand,Prabhat Prakashan,Jan 1| 1982,4.6,400,9789384344061,Hindi,Fiction / Classics
Half of a Yellow Sun,Chimamanda Ngozi Adichie,HarperCollins UK,Jan 19| 2009,4.3,448,9780007279289,English,Fiction / Classics
The Collected Works Of Jules Verne,Jules Verne,Simon and Schuster,Dec 1| 2013,4.7,6598,9781627938808,English,Fiction / Classics
The Great Gatsby,F. Scott Fitzgerald,Simon and Schuster,May 27| 2003,4.1,165,9780743246392,English,Fiction / Classics
Assassin’s Quest (The Farseer Trilogy| Book 3),Robin Hobb,HarperCollins UK,Sep 1| 2011,4.3,848,9780007370443,English,Fiction / Classics
Conqueror: The Complete 5-Book Collection,Conn Iggulden,HarperCollins UK,Mar 28| 2013,4.7,2256,9780007518722,English,Fiction / Anthologies (multiple authors)
A Wizard of Earthsea: The First Book of Earthsea,Ursula K. Le Guin,Hachette UK,Apr 27| 2015,4.6,320,9781473208452,English,Fiction / Classics
2001: A Space Odyssey,Arthur C. Clarke,Penguin,Sep 1| 2000,4.9,320,9781101664155,English,Fiction / Classics
Dracula,Bram Stoker,Simon and Schuster,May 6| 2014,4.4,450,9781476788104,English,Fiction / Classics
One Flew Over the Cuckoo's Nest,Ken Kesey,Penguin UK,Aug 23| 2011,4.4,320,9780141915067,English,Fiction / Classics
