title, author, publisher, date_published, ratings, pages, isbn, language, genres
Dracula,Bram Stoker,Simon and Schuster,May 6| 2014,4.4,450,9781476788104,English,Fiction / Classics
Conflicted - Book 6,Chrissy Peebles,Dark Shadows Publishing,May 29| 2015,4.8,334,Flowing text, Google-generated PDF,Fiction / Fantasy / Dark Fantasy,Fiction / Fantasy / General
The Duke's Shotgun Wedding,Stacy Reid,Entangled: Scandalous,Apr 14| 2014,4.4,112,9781622665495,English,Fiction / Gothic
The Spinster Bride,Jane Goodger,Kensington Books,Feb 3| 2015,4.6,304,9781601831637,English,Fiction / Gothic
Brides of Prophecy Box Set: Three paranormal romance novels,Brooklyn Ann,Broken Angels,Jul 29| 2016,4.3,900,Flowing text, Google-generated PDF,Fiction / Fantasy / Romantic,Fiction / Fantasy / Urban
The Haunting of Hill House,Shirley Jackson,Penguin UK,Oct 1| 2009,4.0,256,9780141927541,English,Fiction / Classics
A Match For Marcus Cynster,Stephanie Laurens,Savdek Management Proprietary Limited,May 26| 2015,4.3,400,9780992278984,English,Fiction / Gothic
Destined (Book #4 in the Vampire Journals),Morgan Rice,Morgan Rice,2011,3.9,330,9780982953754,English,Fiction / Action & Adventure
Seduced by a Marquis (Regency Unlaced 8),Carole Mortimer,Carole Mortimer,Dec 20| 2016,4.6,124,9781910597415,English,Fiction / Gothic
Alpha Dragon Awakes| part three,TJ Shaw,Forgotten Dreams Publishing| LLC,Nov 5| 2018,4.8,243,9781948175104,English,Fiction / Coming of Age
Toxic,Kristen Middleton,Kristen Middleton,Jul 7| 2016,5.0,320,Flowing text, Original pages,Fiction / Fantasy / Dark Fantasy,Fiction / Fantasy / Paranormal
The Complete Poetry of Edgar Allan Poe,Edgar Allan Poe,Penguin,Oct 7| 2008,4.1,144,9781101042496,English,Fiction / Classics
The Woman in Black,Susan Hill,Random House,Jun 27| 2011,4.0,208,9781446485279,English,Fiction / Ghost
Ghost Story,Peter Straub,Hachette UK,Dec 20| 2012,4.3,528,9780575087361,English,Fiction / Action & Adventure
Carmilla,J. Sheridan LeFanu,Simon and Schuster,Jan 18| 2013,4.5,91,9781625583833,English,Fiction / Gothic
The Haunting of Maddy Clare,Simone St. James,Penguin,Mar 6| 2012,4.2,336,9781101577233,English,Fiction / Ghost
A Demon and His Witch,Eve Langlais,Eve Langlais,Jun 2012,4.6,188,9781927459034,English,Fiction / Fantasy / Paranormal
Donzela de AÁo (Reinos Divididos| Livro 1),Kim Richardson,Riverbend Press,Jan 3| 2016,4.7,277,9781311965332,Portuguese,Fiction / Action & Adventure
A New Adult PNR Erotic Romance"Soul of A Vampire" Novel (A Vampire New Adult Witches| Werewolves| New Adult Romance) Book 2,Rachel E Rice,Millennium Books,Apr 2| 2017,4.6,175,Flowing text, Original pages,Body, Mind & Spirit / Unexplained Phenomena,Fiction / African American / Contemporary Women
My Best Friend's Husband,Cassandra Dee,Cassandra Dee Romance,100,4.4,Flowing text, Google-generated PDF,Web, Tablet, Phone, eReader,Fiction / Romance / Action & Adventure,Fiction / Romance / Contemporary
Secrets at Pemberley ~ A romantic Regency mystery for Jane Austen fans,Penelope Swan,Wisheart Press,Jun 26| 2015,4.7,144,9780994292421,English,Fiction / Classics
Redeemed,Lane Hart,Editor's Choice Publishing ,Sep 20| 2016,4.5,179,9781537798578,English,Fiction / Fantasy / Dark Fantasy
Tangled up in Ice,Charlotte Byrd,Byrd Book Llc,Feb 14| 2019,4.4,320,Flowing text, Google-generated PDF,Fiction / Gothic,Fiction / Romance / Action & Adventure
El pozo de todas las almas,Amaya Felices,Amaya Felices Otal,2011,4.6,212,Flowing text, Original pages,Fiction / Fantasy / Romantic,Fiction / Gothic
Wuthering Heights (Illustrated),Emily BrontÎ,Top Five Books LLC,Aug 22| 2014,4.3,368,9781938938221,English,Fiction / Classics
Beauty of the Beast #1 The Mystic Rose: Part B: A Vow Of Love And The Challenge,Kristie Lynn Higgins,Kristie Lynn Higgins,150,4.5,Flowing text,Web, Tablet, Phone, eReader,Fiction / Action & Adventure,Fiction / Christian / Classic & Allegory
