title, author, publisher, date_published, ratings, pages, isbn, language, genres
The Shadow of the Wind: The Cemetery of Forgotten Books 1| Book 1,Carlos Ruiz Zafon,Hachette UK,Apr 16| 2009,4.4,512,9780297857136,English,Antiques & Collectibles / Books
The Brief Wondrous Life of Oscar Wao,Junot Díaz,Penguin,Sep 6| 2007,4.5,352,9781101147306,English,Fiction / Coming of Age
Manuscript Found in Accra,Paulo Coelho,HarperCollins UK,Mar 28| 2013,3.9,208,9780007514243,English,Body| Mind & Spirit / Inspiration & Personal Growth
Crónicas de Vampiros: Bloody Clown,José Aurelio Guzmán Martínez,José Aurelio Guzmán Martínez,Nov 20| 2017,4.6,59,Flowing text, Google-generated PDF,Fiction / Action & Adventure,Fiction / Fantasy / Action & Adventure
Loving Olivia,M.C. Roman,M.C. Roman,Jul 12| 2016,4.8,240,9781311445612,English,Fiction / Coming of Age
Her Billionaire Rancher Boss,Genevieve Turner,Penny Bright Publishing| LLC,Aug 16| 2015,4.4,220,Flowing text, Google-generated PDF,Fiction / Hispanic & Latino,Fiction / Romance / Contemporary
Hopscotch: A Novel,Julio Cortazar,Pantheon,Aug 5| 2014,4.3,576,9781101870143,English,Fiction / Hispanic & Latino
La Tregua,Mario Benedetti,ebooks Patagonia,2011,4.7,119,9789568992118,Spanish,Fiction / Contemporary Women
Malena: A Novel,Edgardo David Holzman,Nortia Media Ltd,Aug 20| 2013,4.8,368,9780984835935,English,Fiction / Hispanic & Latino
Wild for You,Sophia Knightly,Victoria Koch,Aug 25| 2014,4.4,191,9780988851153,English,Fiction / Contemporary Women
A Long Petal of the Sea: 'Allende's finest book yet' – now a Sunday Times bestseller,Isabel Allende,Bloomsbury Publishing,Jan 21| 2020,4.4,336,9781526615923,English,Fiction / General
Zama,Antonio Di Benedetto,New York Review of Books,Aug 23| 2016,4.8,224,9781590177358,English,Fiction / Hispanic & Latino
Un buen hijo de p...: Una fábula,Ismael Cala,Vintage Espanol,Nov 18| 2014,4.7,304,9781101872642,Spanish,Fiction / Hispanic & Latino
El matadero,Esteban Echeverría,Instituto Distrital de las Artes – Idartes,Nov 17| 2015,4.4,60,9789588898353,Spanish,Fiction / Classics
El Caballero Carmelo y otros cuentos,Abraham Valdelomar,eLibros Editorial,Sep 15| 2011,4.6,96,9789588732237,Spanish,Fiction / Hispanic & Latino
City of God: A Novel,Paulo Lins,Open Road + Grove/Atlantic,Dec 1| 2007,4.8,448,9781555846848,English,Fiction / Crime
Cómo Besa: Contrato con un multimillonario Libro 1,Janica Cade,Mountain Edge Media Inc,Mar 7| 2017,4.6,49,9788826062570,Spanish,Fiction / Hispanic & Latino
Next Year in Havana,Chanel Cleeton,Penguin,Feb 6| 2018,4.2,400,9780399586699,English,Fiction / Cultural Heritage
100/40 Cien relatos durante la cuarentena,el. al.,Elvia Amalia Navarro Jurado,Jul 16| 2020,4.7,227,Flowing text, Google-generated PDF,Fiction / General,Fiction / Hispanic & Latino
Clemencia,Ignacio Manuel Altamirano,eLibros Editorial,Nov 28| 2011,4.8,360,9789588732312,Spanish,Fiction / Hispanic & Latino
Doña Barbara: A Novel,Rómulo Gallegos,University of Chicago Press,Mar 7| 2012,4.1,448,9780226279213,English,Fiction / Hispanic & Latino
Poesía para niños,Instituto Distrital de las Artes – Idartes,Instituto Distrital de las Artes – Idartes,Dec 20| 2012,4.1,104,Flowing text,Fiction / Cultural Heritage,Fiction / Hispanic & Latino
Pedro Páramo,Juan Rulfo,RM Verlag,Jun 3| 2019,4.6,132,9788417047863,Spanish,Fiction / Hispanic & Latino
Los que deambulan sin sentido,Andres Gutiérrez Villavicencio ,Print to e-book S.A de C.V. ,Apr 24| 2015,4.7,590,9786070089534,Spanish,Fiction / General
The Hummingbird's Daughter,Luis Alberto Urrea,Hachette UK,Jan 7| 2021,4.6,512,9781529305067,English,Fiction / General
The Billionaire Next Door,JUDY ANGELO,Phoenix Publishing Limited,Apr 18| 2016,4.3,165,Original pages,Family & Relationships / Love & Romance,Fiction / Contemporary Women
Daddy's Little Girls,Maria Elizabeth Romana,Research Triangle Publications,Nov 23| 2013,4.5,275,Flowing text, Original pages,Fiction / Hispanic & Latino,Fiction / Mystery & Detective / Collections & Anthologies
Part of Me,A. C. Arthur,St. Martin's Griffin,May 13| 2014,4.6,80,9781466857094,English,Fiction / Hispanic & Latino
Red,Varios Autores,E-ditorial 531 S.A.S.,Apr 1| 2016,4.3,92,9789585928435,Spanish,Fiction / Anthologies (multiple authors)
