title, author, publisher, date_published, ratings, pages, isbn, language, genres
Homeland Security: An Introduction to Principles and Practice| Third Edition| Edition 3,Charles P. P. Nemeth,CRC Press,Dec 8| 2016,5.0,626,9781498749121,English,Computers / Security / General
Introduction to Emergency Management: Edition 2,Brenda Phillips,CRC Press,Dec 8| 2016,4.0,442,9781315394688,English,Law / Forensic Science
Report Writing for Law Criminal Justice Professionals,Joseph N. Davis,LawTech Publishing Group,Aug 18| 2017,0,304,9781563254864,English,Law / Criminal Law / General
The Mediation Process: Practical Strategies for Resolving Conflict| Edition 4,Christopher W. Moore,John Wiley & Sons,Apr 7| 2014,5.0,704,9781118421529,English,Business & Economics / General
Strategies for Minimizing Risk Under the Foreign Corrupt Practices Act and Related Laws,Mike Koehler,Edward Elgar Publishing,Nov 30| 2018,0,384,9781788114936,English,Business & Economics / Corporate Governance
Handbook of Forensic Pathology: Edition 2,Vincent J.M. DiMaio M.D.,CRC Press,Jul 27| 2017,5.0,312,9781420009224,English,Law / Criminal Law / General
Essentials of Sports Law,Glenn M. Wong,ABC-CLIO,2010,5.0,899,9780313356759,English,Law / Administrative Law & Regulatory Practice
Introduction to Law for Paralegals: A Critical Thinking Approach| Edition 7,Katherine A. Currier,Wolters Kluwer Law & Business,Feb 15| 2019,5.0,872,9781543809718,English,Law / Paralegals & Paralegalism
Common Sense Police Supervision: Practical Tips for the First-Line Leader (6th Ed.),Gerald W. Garner,Charles C Thomas Publisher,Jul 27| 2018,0,362,9780398092306,English,Law / Criminal Law / General
The Handbook of Dispute Resolution,Michael L. Moffitt,John Wiley & Sons,Jun 28| 2012,4.7,560,9781118429839,English,Business & Economics / General
Human Osteology: Edition 3,Tim D. White,Academic Press,Jan 21| 2011,4.7,688,9780080920856,English,Law / Forensic Science
Criminal & Behavioral Profiling,Curt R. Bartol,SAGE Publications,Aug 29| 2012,5.0,368,9781452289083,English,Law / Forensic Science
Labor Relations for the Fire Service,Paul J. Antonellis,Fire Engineering Books,2012,0,294,9781593702847,English,Law / Labor & Employment
Fundamentals of Occupational Safety and Health: Edition 7,Mark A. Friend,Rowman & Littlefield,Jul 16| 2018,0,616,9781598889833,English,Law / Labor & Employment
Drafting Contracts: How and Why Lawyers Do What They Do| Edition 2,Tina L. Stark,Wolters Kluwer Law & Business,Nov 26| 2013,5.0,576,9781454829058,English,Law / Contracts
American Judicial Process: Myth and Reality in Law and Courts,Pamela C. Corley,Routledge,Sep 25| 2015,5.0,474,9781136286568,English,Law / General
Introduction to US Health Policy: The Organization| Financing| and Delivery of Health Care in America| Edition 4,Donald A. Barr,JHU Press,Oct 18| 2016,2.0,456,9781421420738,English,Law / Health
Ethics and Professional Responsibility for Paralegals: Edition 8,Therese A. Cannon,Wolters Kluwer Law & Business,Sep 12| 2017,0,592,9781454893981,English,Law / Ethics & Professional Responsibility
Fundamentals of Polygraph Practice,Donald Krapohl,Academic Press,Jul 9| 2015,5.0,364,9780128029251,English,Law / Forensic Science
Foundations of Forensic Vocational Rehabilitation,Rick Robinson| Ph.D.| MBA| LMHC| CRC| CVE| NCC| D/ABVE,Springer Publishing Company,Dec 3| 2013,5.0,496,9780826199287,English,Law / Disability
Proceedings Before the European Patent Office: A Practical Guide to Success in Opposition and Appeal| Second Edition,Marcus O. Müller,Edward Elgar Publishing,Jan 31| 2020,0,256,9781788115322,English,Law / Intellectual Property / Patent
Ethical Hacking and Penetration Testing Guide,Rafay Baloch,CRC Press,Sep 29| 2017,4.4,531,9781482231625,English,Computers / Networking / General
The IT / Digital Legal Companion: A Comprehensive Business Guide to Software| IT| Internet| Media and IP Law,Gene K. Landy,Syngress,Aug 13| 2008,4.5,1254,9780080558820,English,Computers / Enterprise Applications / Business Intelligence Tools
Gunshot Wounds,Vincent J.M. DiMaio,CRC Press,Oct 21| 2015,5.0,355,9781498725705,English,Law / Criminal Law / General
