title, author, publisher, date_published, ratings, pages, isbn, language, genres
Kafka on the Shore,Haruki Murakami,Random House,Oct 10| 2011,4.2,512,9781448103690,English,Fiction / General
One Hundred Years of Solitude,Gabriel Garcia Marquez,Penguin UK,Mar 6| 2014,4.3,432,9780241968598,English,Fiction / General
Midnight's Children,Salman Rushdie,Random House,Sep 7| 2010,4.4,672,9781409028482,English,Fiction / Alternative History
The Alloy of Law: A Mistborn Novel,Brandon Sanderson,Hachette UK,Nov 10| 2011,4.6,336,9780575105843,English,Fiction / Fantasy / Epic
Ruth,Keone Madrid,Gatekeeper Press,Jun 20| 2018,5.0,129,9781642372618,English,Fiction / Magical Realism
The Ocean at the End of the Lane,Neil Gaiman,Hachette UK,Jun 18| 2013,4.4,143,9781472200334,English,Fiction / Coming of Age
Jonathan Strange and Mr Norrell,Susanna Clarke,Bloomsbury Publishing,Feb 24| 2009,4.6,1024,9781408803745,English,Body| Mind & Spirit / Magick Studies
The Apothecary's Poison,C.J. Archer,C.J. Archer,Apr 4| 2017,4.7,380,Flowing text,Fiction / Fantasy / Historical,Fiction / Fantasy / Paranormal
Emerald Blaze,Ilona Andrews,HarperCollins,Aug 25| 2020,4.7,400,9780062878373,English,Fiction / Fantasy / Romantic
The Master and Margarita (Vintage Classic Russians Series),Mikhail Bulgakov,Random House,Mar 30| 2010,4.5,384,9781409079910,English,Fiction / Classics
The Shape of Water,Guillermo del Toro,Feiwel & Friends,Mar 6| 2018,4.5,384,9781250165374,English,Fiction / Fantasy / Romantic
The Noticer: Sometimes| all a person needs is a little perspective,Andy Andrews,Thomas Nelson,Apr 10| 2011,4.5,176,9781418574567,English,Fiction / Magical Realism
Before the Coffee Gets Cold,Toshikazu Kawaguchi,Pan Macmillan,Sep 19| 2019,4.8,213,9781529029598,English,Fiction / City Life
Sister Of My Heart,Chitra Divakaruni,Random House,Aug 17| 2010,4.2,352,9781409010135,English,Fiction / Asian American
Glitch in Time,W.J. May,Dark Shadow Publishing,Mar 10| 2017,4.8,225,Flowing text, Google-generated PDF,Fiction / Fantasy / Action & Adventure,Fiction / Fantasy / Humorous
The Prisoner of Heaven: The Cemetery of Forgotten Books 3| Book 3,Carlos Ruiz Zafon,Hachette UK,Jun 21| 2012,4.2,320,9780297868125,English,Antiques & Collectibles / Books
Forrest Gump,Winston Groom,Random House,May 31| 2013,4.1,240,9781448169719,English,Fiction / Absurdist
The Orphan Master's Son: Barack Obama’s Summer Reading Pick 2019,Adam Johnson,Random House,Feb 16| 2012,4.4,592,9781448109265,English,Fiction / Coming of Age
Shabar Mantra Part 01 : Shabar Mantra Siddhi,SHABAR MANTRA,POWERFUL SHABAR MANTRA,112,4.2,Original pages,Web, Tablet,Body, Mind & Spirit / General,Body| Mind & Spirit / Magick Studies
In Five Years: The most heartbreaking novel you'll read this year!,Rebecca Serle,Hachette UK,Mar 10| 2020,4.6,352,9781529405828,English,Fiction / General
Somebody Tell Aunt Tillie We're In Trouble!,Christiana Miller,HekaRose Publishing,Oct 4| 2015,4.6,286,9780692292563,English,Fiction / Fantasy / Contemporary
Beloved,Toni Morrison,Random House,Sep 4| 2014,4.2,352,9781448103621,English,Fiction / African American / Historical
Ishmael,Daniel Quinn,Bantam,Dec 16| 2009,4.6,272,9780307574800,English,Fiction / Literary
The Travelling Cat Chronicles: The most uplifting book of the year,Hiro Arikawa,Random House,Nov 2| 2017,4.5,256,9781473541573,English,Fiction / Action & Adventure
The Starless Sea: the spellbinding Sunday Times bestseller,Erin Morgenstern,Random House,Nov 5| 2019,4.3,512,9781473524231,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Creatus Series Boxed Set,Carmen DeSousa,Written Musings,May 19| 2014,4.6,893,9780989905060,English,Fiction / Magical Realism
The Golem and the Djinni: The spell-binding literary debut for fans of The Essex Serpent,Helene Wecker,HarperCollins UK,Aug 15| 2013,4.5,656,9780007480180,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Regal,Brian Rathbone,White Wolf Press| LLC,2013,4.4,298,9781301786039,English,Body| Mind & Spirit / Magick Studies
Sweet Somethings,Connie Shelton,Secret Staircase Books| an imprint of Columbine Publishing Group,Jul 14| 2014,4.7,254,9781310711992,English,Fiction / Crime
Seirs,Kim Richardson,FablePrint,2012,4.5,243,9781301111862,English,Fiction / Action & Adventure
Blood of Requiem (Epic Fantasy| Dragons| Free Fantasy Novel),Daniel Arenson,Moonclipse,May 1| 2011,4.3,239,9780986602863,English,Art / Subjects & Themes / Science Fiction & Fantasy
Stone Cold Magic,Jayne Faith,Jayne Faith,Nov 10| 2017,4.5,320,9780997026054,English,Body| Mind & Spirit / Magick Studies
The Merman's Quest,Tamsin Ley,Twin Leaf Press,Feb 16| 2017,4.6,76,9781950027101,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Return to Summerhouse,Jude Deveraux,Simon and Schuster,Jun 17| 2008,4.2,448,9781416596479,English,Fiction / Family Life / Siblings
Alif the Unseen: LONGLISTED WOMEN’S PRIZE FOR FICTION 2013,G. Willow Wilson,Atlantic Books Ltd,Sep 1| 2012,4.1,300,9780857895684,English,Fiction / Action & Adventure
ELDORA,Ozan Haznedar,Ozan Haznedar,Jan 15| 2014,4.6,124,Original pages,Family & Relationships / Love & Romance,Fiction / Fantasy / Romantic
Fire in Frost,Alicia Rades,Crystallite Publishing,Jan 19| 2017,4.5,205,9780991469352,English,Fiction / Fantasy / Contemporary
Indigo: The story of Roy Kiyoshi,Roy Kiyoshi,Romansious,May 1| 2018,4.8,200,9786025406454,Indonesian,Fiction / General
Fighting for Infinity,Karen Amanda Hooper,Starry Sky Publishing ,Apr 28| 2014,4.8,380,9780985589974,English,Fiction / Fantasy / Contemporary
WRENCHING FATE,Brooklyn Ann,Broken Angels,Feb 14| 2014,4.6,312,9780615934907,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
The Magus,John Fowles,Random House,Oct 31| 2010,4.3,672,9781409059943,English,Fiction / Classics
Beauty of the Beast #1 The Mystic Rose: Part B: A Vow Of Love And The Challenge,Kristie Lynn Higgins,Kristie Lynn Higgins,150,4.5,Flowing text,Web, Tablet, Phone, eReader,Fiction / Action & Adventure,Fiction / Christian / Classic & Allegory
Cuentos para la cuarentena,JD Abrego,JD Abrego,Mar 28| 2020,4.6,99,Flowing text, Google-generated PDF,Fiction / Magical Realism,Fiction / Short Stories (single author)
The Strawberry Thief: The new novel from the bestselling author of Chocolat,Joanne Harris,Hachette UK,Apr 4| 2019,4.6,368,9781409170785,English,Fiction / Coming of Age
Weaving Destiny,G. P. Ching,Carpe Luna Publishing,May 21| 2014,4.6,300,9780985236724,English,Fiction / Fantasy / Contemporary
Charmed: The War on Witches: Charmed Series #1,Paul Ruditis,HarperCollins Canada,May 26| 2015,4.6,200,9781443445979,English,Fiction / Magical Realism
No Good Deed: Book One of the Mark Taylor Series,M.P. McDonald,MP McDonald,Jan 14| 2015,4.4,327,Flowing text, Google-generated PDF,Fiction / Magical Realism,Fiction / Mystery & Detective / Historical
The Andy Smithson Series: Books 1| 2| and 3,LRW Lee,Woodgate Publishing,Sep 29| 2014,4.5,710,Flowing text, Original pages,Architecture / Buildings / Residential,Body| Mind & Spirit / Magick Studies
Southwest Shifters (FREE Shifter Romance Box Set| Paranormal Romance Series): Sizzling Paranormal Romance Box Set,J.K. Harper,J.K. Harper,Jul 7| 2020,4.6,363,Flowing text, Google-generated PDF,Fiction / Anthologies (multiple authors),Fiction / Fantasy / Collections & Anthologies
