title, author, publisher, date_published, ratings, pages, isbn, language, genres
Doctors,Erich Segal,Hachette UK,Apr 25| 2013,4.2,800,9781444768459,English,Fiction / Coming of Age
The Namesake,Jhumpa Lahiri,HarperCollins UK,Mar 27| 2014,4.1,304,9780007383535,English,Fiction / Family Life / General
Outbreak,Robin Cook,Penguin,Feb 1| 1988,4.4,352,9781101203484,English,Fiction / Medical
The Last Shot,Sara Hubbard,Sara Hubbard,Nov 15| 2015,4.3,220,9780992091279,English,Fiction / Coming of Age
The Citadel,A. J. Cronin,Pan Macmillan,Mar 14| 2013,4.5,432,9781447244561,English,Fiction / Classics
The Storied Life of A.J. Fikry,Gabrielle Zevin,Hachette UK,Dec 2| 2014,4.3,320,9780349141084,English,Fiction / Disaster
Trauma Plan,Candace Calvert,Tyndale House Publishers| Inc.,Apr 19| 2012,4.7,416,9781414373850,English,Fiction / Christian / Romance
Still Alice,Lisa Genova,Simon and Schuster,Jan 6| 2009,4.5,320,9781439157039,English,Fiction / Family Life / General
After the End: The powerful| life-affirming novel from the Sunday Times Number One bestselling author,Clare Mackintosh,Hachette UK,Jun 25| 2019,4.5,384,9780751564938,English,Family & Relationships / Parenting / General
The Final Diagnosis,Arthur Hailey,Open Road Media,Oct 20| 2015,4.5,309,9781504022224,English,Fiction / Medical
200 Harley Street: Surgeon in a Tux (Mills & Boon Medical) (200 Harley Street| Book 1),Carol Marinelli,HarperCollins UK,Apr 1| 2014,4.4,192,9781472045348,English,Fiction / General
Beyond These Walls,J.L. Berg,J.L. Berg,Apr 21| 2015,4.6,578,9780990346074,English,Fiction / Coming of Age
Falling From the Sky,Sarina Bowen,Tuxbury Publishing LLC,Feb 1| 2015,4.6,266,9781942444039,English,Fiction / Medical
Thanks for the Memories,Cecelia Ahern,HarperCollins UK,Sep 4| 2008,4.3,512,9780007283347,English,Fiction / Classics
Nine Perfect Strangers: The Number One Sunday Times bestseller from the author of Big Little Lies,Liane Moriarty,Penguin UK,Oct 4| 2018,4.0,480,9781405919470,English,Family & Relationships / Death| Grief| Bereavement
A Dirty Shame,Liliana Hart,7th Press,Oct 26| 2012,4.5,326,9781480191556,English,Fiction / Medical
Saving Forever - Part 6,Lexy Timms,Dark Shadow Publishing,Jul 25| 2015,4.6,160,Flowing text, Google-generated PDF,Family & Relationships / Love & Romance,Fiction / Medical
When Summer Comes (Whiskey Creek| Book 3),Brenda Novak,HarperCollins UK,Feb 1| 2013,4.4,400,9781472011053,English,Fiction / Medical
Wild & Sweet,Rhenna Morgan,Carina Press,Apr 10| 2017,4.8,250,9781488024474,English,Fiction / Medical
The Physician,Noah Gordon,Open Road Media,Jun 5| 2012,4.6,640,9781453263747,English,Fiction / Historical / General
Lone Wolf: the unputdownable story of one family’s impossible decision by the number one bestselling author of A Spark of Light,Jodi Picoult,Hachette UK,Feb 28| 2012,4.2,448,9781444729009,English,Fiction / Animals
