title, author, publisher, date_published, ratings, pages, isbn, language, genres
The Day of the Jackal: The legendary assassination thriller,Frederick Forsyth,Random House,May 25| 2010,4.7,416,9781407095998,English,Fiction / General
The Perfect House (A Jessie Hunt Psychological Suspense Thriller—Book Three),Blake Pierce,Blake Pierce,Apr 30| 2019,4.7,250,9781640296572,English,Fiction / Mystery & Detective / General
The Girl with the Dragon Tattoo,Stieg Larsson,Hachette UK,Jan 1| 2010,4.5,560,9781849163279,English,Fiction / General
A Prisoner of Birth,Jeffrey Archer,Pan Macmillan,Sep 4| 2008,4.4,400,9780230713741,English,Fiction / General
Death under the Deodars,Ruskin Bond,Penguin UK,Jan 1| 2018,4.4,208,9789385990397,English,Fiction / General
The Spy Who Came in from the Cold,John le Carré,Penguin UK,Feb 24| 2011,4.5,304,9780141963624,English,Fiction / Mystery & Detective / General
The Partner,John Grisham,Random House,Apr 21| 2010,4.6,416,9781407098180,English,Fiction / Mystery & Detective / General
Past Tense,Lee Child,Random House,Nov 5| 2018,4.2,512,9781473542303,English,Fiction / Crime
Career of Evil: Cormoran Strike Book 3,Robert Galbraith,Hachette UK,Oct 20| 2015,4.1,512,9780751563603,English,Fiction / Crime
Before I Go To Sleep: The no. 1 bestselling Richard & Judy Book Club thriller,S J Watson,Random House,Apr 28| 2011,4.3,384,9781409045113,English,Fiction / General
Pretty Girls: A captivating thriller that will keep you hooked to the last page,Karin Slaughter,Random House,Jul 2| 2015,4.5,544,9781473507876,English,Fiction / Crime
Golden In Death,J. D. Robb,Hachette UK,Feb 6| 2020,4.6,400,9780349422107,English,Fiction / Crime
Silence Of The Lambs: (Hannibal Lecter),Thomas Harris,Random House,Oct 1| 2018,4.3,432,9781446439746,English,Fiction / Crime
The Wrong Side of Goodbye,Michael Connelly,Hachette UK,Oct 18| 2016,4.4,400,9781409147497,English,Fiction / Crime
The Couple Next Door: 'So full of twists. Loved it' Richard Osman,Shari Lapena,Random House,Jul 14| 2016,4.2,368,9781473541542,English,Fiction / City Life
Into the Fire,Gregg Hurwitz,Penguin UK,Feb 20| 2020,4.7,464,9781405928571,English,Fiction / Action & Adventure
