title, author, publisher, date_published, ratings, pages, isbn, language, genres
Homeland Security: An Introduction to Principles and Practice| Third Edition| Edition 3,Charles P. P. Nemeth,CRC Press,Dec 8| 2016,5.0,626,9781498749121,English,Computers / Security / General
Introduction to Emergency Management: Edition 2,Brenda Phillips,CRC Press,Dec 8| 2016,4.0,442,9781315394688,English,Law / Forensic Science
Pride & Ownership: A Firefighter's Love of the Job,Rick Lasky,PennWell Books,2006,4.5,302,9781593700782,English,Business & Economics / Leadership
Principles of Comparative Politics: Edition 3,William Roberts Clark,CQ Press,Feb 23| 2017,0,888,9781506318141,English,Political Science / Comparative Politics
The Logic of American Politics: Edition 9,Samuel Kernell,CQ Press,Feb 20| 2019,0,800,9781544366623,English,Political Science / American Government / General
Rose's Strategy of Preventive Medicine,Geoffrey Rose,OUP Oxford,Jan 10| 2008,5.0,192,9780191015595,English,Medical / Epidemiology
Nonprofit Organizations: Theory| Management| Policy| Edition 2,Helmut K. Anheier,Routledge,Apr 16| 2014,4.0,580,9781317914501,English,Business & Economics / General
Basic Methods of Policy Analysis and Planning -- Pearson eText: Edition 3,Carl Patton,Routledge,Aug 26| 2015,5.0,480,9781317349990,English,Political Science / General
Report Writing for Law Criminal Justice Professionals,Joseph N. Davis,LawTech Publishing Group,Aug 18| 2017,0,304,9781563254864,English,Law / Criminal Law / General
An Introduction to Middle East Politics: Edition 2,Benjamin MacQueen,SAGE,Dec 4| 2017,0,392,9781526418227,English,Political Science / General
Masters of War: Classical Strategic Thought| Edition 3,Michael I. Handel,Routledge,Dec 5| 2005,5.0,510,9781135776527,English,History / Military / General
The Psychology of Terrorism: Edition 2,John G. Horgan,Routledge,Jun 16| 2014,4.7,184,9781134701568,English,Political Science / Political Freedom
Multicultural Social Work Practice: A Competency-Based Approach to Diversity and Social Justice| Edition 2,Derald Wing Sue,John Wiley & Sons,Dec 18| 2015,0,544,9781119097525,English,Political Science / General
Democratic Policymaking: An Analytic Approach,Charles Barrilleaux,Cambridge University Press,Dec 7| 2016,0,507,9781316817674,English,Political Science / American Government / General
Party Politics in America: Edition 17,Marjorie Randon Hershey,Routledge,Feb 17| 2017,0,398,9781134836734,English,Political Science / General
Special Providence: American Foreign Policy and How It Changed the World,Walter Russell Mead,Routledge,May 13| 2013,4.7,400,9781136758669,English,Political Science / General
Introduction to International Disaster Management: Edition 3,Damon P. Coppola,Butterworth-Heinemann,Jan 25| 2015,0,760,9780128017036,English,Business & Economics / Information Management
Nazi Germany,Jane Caplan,OUP Oxford,Apr 24| 2008,4.5,344,9780191647741,English,History / Europe / General
Australian Social Policy and the Human Services: Edition 2,Ed Carson,Cambridge University Press,May 18| 2017,5.0,451,9781108232203,English,Political Science / Public Policy / Social Services & Welfare
The Fundamentals of Political Science Research: Edition 2,Paul M. Kellstedt,Cambridge University Press,May 20| 2013,0,341,9781107245273,English,Political Science / General
An Introduction to Global Studies,Patricia J. Campbell,John Wiley & Sons,Sep 13| 2011,0,440,9781444329582,English,Political Science / Globalization
The China Order: Centralia| World Empire| and the Nature of Chinese Power,Fei-Ling Wang,SUNY Press,Aug 7| 2017,0,342,9781438467504,English,History / Asia / China
Political Ideologies: Their Origins and Impact| Edition 12,Leon P. Baradat,Routledge,Sep 14| 2016,5.0,378,9781317232285,English,Political Science / General
Designing and Conducting Survey Research: A Comprehensive Guide| Edition 4,Louis M. Rea,John Wiley & Sons,Jul 30| 2014,0,352,9781118767023,English,Business & Economics / General
Applying Theory to Generalist Social Work Practice,Carol L. Langer,John Wiley & Sons,Nov 25| 2014,0,336,9781118859711,English,Political Science / General
Oxford Handbook of Happiness,Susan David,OUP Oxford,Dec 28| 2012,4.0,1136,9780191650185,English,Philosophy / Mind & Body
The Periplus Maris Erythraei: Text with Introduction| Translation| and Commentary,Lionel Casson,Princeton University Press,May 5| 2012,4.0,344,9781400843206,English,Business & Economics / International / General
