title, author, publisher, date_published, ratings, pages, isbn, language, genres
Behind Closed Doors: The gripping| shocking| million-copy and international bestselling psychological thriller from the author of The Dilemma.,B A Paris,HarperCollins UK,Feb 11| 2016,4.5,384,9781474037945,English,Fiction / Family Life / Marriage & Divorce
Crime and Punishment (The Unabridged Garnett Translation),Fyodor Dostoevsky,e-artnow,Sep 20| 2013,4.6,566,9788074849541,English,Fiction / Classics
The Picture of Dorian Gray,Oscar Wilde,Simon and Schuster,May 6| 2014,4.4,238,9781476788128,English,Fiction / Classics
The Girl in the Ice,Robert Bryndza,Bookouture,Feb 12| 2016,4.5,396,9781910751763,English,Fiction / Mystery & Detective / Police Procedural
The Perfect Family: An unputdownable psychological thriller with a heart-stopping twist,Shalini Boland,Bookouture,Nov 6| 2018,4.5,311,9781786815248,English,Fiction / Mystery & Detective / General
I Let You Go: The Richard & Judy Bestseller,Clare Mackintosh,Hachette UK,Nov 6| 2014,4.3,384,9780751554175,English,Fiction / Action & Adventure
The Secret History,Donna Tartt,Hachette UK,May 2| 2013,4.1,544,9781405529631,English,Fiction / Friendship
The Wife Between Us: The Gripping Richard & Judy Book Club Pick with a Shocking Twist You Won't See Coming,Greer Hendricks,Pan Macmillan,Jan 2| 2018,4.4,385,9781509842841,English,Fiction / General
Everything I Never Told You: Amazon.com's #1 Book of the Year 2014,Celeste Ng,Hachette UK,Aug 14| 2014,4.0,304,9780349134291,English,Fiction / Asian American
The Good Daughter,Karin Slaughter,HarperCollins,Jul 13| 2017,4.4,512,9780008150785,English,Fiction / Mystery & Detective / General
Fatal Promise,Angela Marsons,Bookouture,Oct 19| 2018,4.7,419,9781786816924,English,Fiction / Mystery & Detective / General
The Sister: A psychological thriller with a brilliant twist you won't see coming,Louise Jensen,Bookouture,Jul 7| 2016,4.2,338,9781786810014,English,Fiction / Psychological
Friend Request: The most addictive psychological thriller you'll read this year,Laura Marshall,Hachette UK,Jul 27| 2017,4.5,400,9780751568349,English,Fiction / Crime
The Thirteenth Tale,Diane Setterfield,Hachette UK,Dec 8| 2011,4.2,480,9781409139058,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
The Martian Chronicles,Ray Bradbury,Harper Collins,May 21| 2013,4.6,288,9780062242266,English,Fiction / Psychological
Comfort Food,Kitty Thomas,Burlesque Press,Mar 21| 2010,4.3,186,9780981943619,English,Fiction / Literary
Petals on the Wind,V.C. Andrews,Simon and Schuster,Feb 8| 2011,4.7,448,9781451636956,English,Fiction / General
American Psycho,Bret Easton Ellis,Pan Macmillan,Dec 15| 2014,4.7,400,9781447277712,English,Fiction / Classics
The Silent Wife: A gripping emotional page turner with a twist that will take your breath away,Kerry Fisher,Bookouture,Feb 24| 2017,4.5,352,9781786811264,English,Fiction / Contemporary Women
Game Theory - A totally gripping thriller full of shocking twists,Colleen Cross,Slice Thrillers,Jan 21| 2021,4.2,320,9780987883513,English,Drama / Women Authors
NOS4A2: A Novel,Joe Hill,Harper Collins,Apr 30| 2013,4.3,720,9780062200594,English,Fiction / Horror
Lord of the Flies,William Golding,Penguin,Jul 27| 1959,3.7,224,9781101158104,English,Fiction / Classics
Dark Hollows: An absolutely gripping 2020 psychological thriller with a breathtaking twist,Steve Frech,HarperCollins UK,Dec 6| 2019,4.5,384,9780008368227,English,Fiction / Crime
The Queen of the Damned,Anne Rice,Ballantine Books,Nov 17| 2010,4.5,464,9780307575890,English,Fiction / Fantasy / General
The Bell Jar,Sylvia Plath,Faber & Faber,Nov 20| 2008,4.3,240,9780571248209,English,Biography & Autobiography / Literary Figures
I Know Where She Is: a breathtaking thriller that will have you hooked from the first page,S. B. Caves,Canelo,Aug 14| 2017,4.5,300,9781911591795,English,Fiction / Crime
Intensity: A powerful thriller of violence and terror,Dean Koontz,Hachette UK,Nov 22| 2012,4.3,289,9781472202819,English,Fiction / Crime
The Mistake: An unputdownable psychological thriller with a brilliant twist,K.L. Slater,Bookouture,Oct 4| 2017,4.3,318,9781786812438,English,Fiction / Mystery & Detective / General
My Lovely Wife: The gripping Richard & Judy thriller that will give you chills this winter,Samantha Downing,Penguin UK,Mar 26| 2019,4.4,448,9781405939317,English,Fiction / Crime
The Dry: The Sunday Times Crime Book of the Year 2017,Jane Harper,Hachette UK,May 31| 2016,4.6,432,9781408708187,English,Fiction / Crime
The Forgotten Child,Lorhainne Eckhart,Lorhainne Eckhart,Nov 6| 2011,4.4,168,9781928085010,English,Fiction / Contemporary Women
The Silent Sister,Diane Chamberlain,Pan Macmillan,Oct 9| 2014,4.3,400,9780230764040,English,Fiction / Family Life / General
Tropic of Cancer,Henry Miller,Open Road + Grove/Atlantic,Dec 1| 2007,4.2,356,9781555846985,English,Fiction / Classics
Find Her Alive,Lisa Regan,Bookouture,Apr 15| 2020,4.7,350,9781838882297,English,Fiction / Crime
Persuasion,Jane Austen,Open Road Media,Jan 27| 2015,4.5,260,9781497684317,English,Fiction / Classics
The Haunting of Hill House,Shirley Jackson,Penguin UK,Oct 1| 2009,4.0,256,9780141927541,English,Fiction / Classics
3rd Degree,James Patterson,Hachette UK,Apr 28| 2011,4.6,283,9780755387076,English,Fiction / Crime
Splinter the Silence: (Tony Hill and Carol Jordan| Book 9),Val McDermid,Hachette UK,Aug 27| 2015,4.4,400,9780751561418,English,Fiction / Crime
Good Morning| Midnight: NOW THE MAJOR NETFLIX FILM 'THE MIDNIGHT SKY',Lily Brooks-Dalton,Hachette UK,Aug 11| 2016,4.4,272,9781474600613,English,Fiction / General
The Man Who Ended the World,Jason Gurley,Jason Gurley,Jan 2| 2015,4.5,270,Flowing text, Google-generated PDF,Fiction / Psychological,Fiction / Science Fiction / Action & Adventure
Her Last Secret: An absolutely unputdownable psychological thriller,Barbara Copperthwaite,Bookouture,Oct 13| 2017,4.6,382,9781786812599,English,Fiction / Crime
Stoner,John Williams,New York Review of Books,May 5| 2010,4.6,288,9781590173930,English,Fiction / Family Life / General
War and Peace: Original Version,Leo Tolstoy,HarperCollins UK,Oct 7| 2010,4.7,1024,9780007396993,English,Fiction / Classics
Replay,Ken Grimwood,Hachette UK,Feb 21| 2019,4.4,272,9781473226395,English,Fiction / Alternative History
The Boy in the Photo: An absolutely gripping and emotional page turner,Nicole Trope,Bookouture,Jun 28| 2019,4.6,350,9781786818645,English,Fiction / Literary
Don't Look Back,Jennifer L. Armentrout,Hachette UK,Apr 10| 2014,4.4,368,9781444752182,English,Fiction / Mystery & Detective / General
Our Little Lies: An absolutely gripping psychological thriller with a brilliant twist,Sue Watson,Bookouture,Oct 11| 2018,4.3,352,9781786817495,English,Fiction / Contemporary Women
Two Sisters: A gripping psychological thriller with a shocking twist,Kerry Wilkinson,Bookouture,Jun 23| 2017,4.2,334,9781786812087,English,Fiction / Crime
The Girl You Lost: A gripping psychological thriller,Kathryn Croft,Bookouture,Feb 5| 2016,4.6,318,9781910751701,English,Fiction / Mystery & Detective / General
