title, author, publisher, date_published, ratings, pages, isbn, language, genres
Health Psychology: Theory| Research and Practice| Edition 5,David F. Marks,SAGE,Feb 16| 2018,4.3,832,9781526412041,English,Health & Fitness / Healthy Living
Evolutionary Psychology: An Introduction| Edition 3,Lance Workman,Cambridge University Press,Jan 9| 2014,0,565,9781107783102,English,Psychology / Applied Psychology
Research Methods for Clinical and Health Psychology,David F Marks,SAGE,Nov 12| 2003,0,248,9781847871435,English,Medical / General
Positive Psychology: The Science of Well-Being,John Zelenski,SAGE,Nov 27| 2019,0,392,9781526485311,English,Medical / General
Complex/Archetype/Symbol In The Psychology Of C G Jung,Jacobi| Jolande,Routledge,Dec 16| 2013,3.0,248,9781136300684,English,Medical / Health Care Delivery
Principles Of Gestalt Psychology,Koffka| K,Routledge,Oct 8| 2013,0,732,9781136306884,English,Medical / Health Care Delivery
The Psychology of Influence: Theory| research and practice,Joop van der Pligt,Routledge,Oct 4| 2016,3.5,250,9781317212331,English,Business & Economics / Consumer Behavior
The Psychology of Thinking: Reasoning| Decision-Making and Problem-Solving,John Paul Minda,SAGE,Sep 11| 2015,0,272,9781473933941,English,Business & Economics / Sales & Selling / General
Critical Educational Psychology,Stephen Vassallo,JHU Press,Mar 15| 2017,0,248,9781421422640,English,Education / Educational Psychology
Practicing Positive Psychology Coaching: Assessment| Activities and Strategies for Success,Robert Biswas-Diener,John Wiley & Sons,Aug 5| 2010,3.0,192,9780470881934,English,Business & Economics / General
Doing Qualitative Research in Psychology: A Practical Guide,Michael A Forrester,SAGE,Mar 15| 2010,4.5,280,9781446242322,English,Psychology / Research & Methodology
The Psychology of Terrorism: Edition 2,John G. Horgan,Routledge,Jun 16| 2014,4.7,184,9781134701568,English,Political Science / Political Freedom
Statistics for Research in Psychology: A Modern Approach Using Estimation,Rick Gurnsey,SAGE Publications,Aug 11| 2017,0,720,9781506305202,English,Psychology / Research & Methodology
Analysing Qualitative Data in Psychology: Edition 2,Evanthia Lyons,SAGE,Mar 17| 2016,0,416,9781473933934,English,Psychology / General
Trading Psychology 2.0: From Best Practices to Best Processes,Brett N. Steenbarger,John Wiley & Sons,Aug 26| 2015,5.0,448,9781118936832,English,Business & Economics / Finance / General
Theories in Educational Psychology: Concise Guide to Meaning and Practice,Alyssa R. Gonzalez-DeHass,R&L Education,Dec 14| 2012,0,360,9781475802320,English,Education / Educational Psychology
The Psychology of Trading,Brett N. Steenbarger,John Wiley & Sons,Jan 30| 2004,4.0,352,9780471420231,English,Business & Economics / Finance / General
Doing Qualitative Research in Psychology: A Practical Guide| Edition 2,Cath Sullivan,SAGE,Dec 13| 2018,0,376,9781526453358,English,Psychology / Research & Methodology
Research Methods in Psychology: Edition 4,Glynis M Breakwell,SAGE,Mar 31| 2012,0,616,9781446260272,English,Psychology / General
Engineering Psychology and Human Performance: Edition 4,Christopher D. Wickens,Psychology Press,Aug 20| 2015,3.3,544,9781317351313,English,Psychology / Applied Psychology
The Psychology of Investing: Edition 6,John R. Nofsinger,Routledge,Jul 28| 2017,4.3,212,9781351863308,English,Business & Economics / Finance / General
Exercise Psychology: Physical Activity and Sedentary Behavior: Physical Activity and Sedentary Behavior,Heather Hausenblas,Jones & Bartlett Publishers,Feb 10| 2016,0,454,9781284115420,English,Health & Fitness / Exercise
Health Psychology,Hymie Anisman,SAGE,Mar 17| 2016,0,536,9781473952447,English,Medical / General
The Psychology of Peace: An Introduction,Rachel MacNair,ABC-CLIO,2012,0,268,9780313397233,English,Political Science / Peace
Culture and Psychology: Edition 6,David Matsumoto,Cengage Learning,Feb 12| 2016,0,544,9781305888098,English,Education / Teaching Methods & Materials / General
The psychology of music in multimedia,Siu-Lan Tan,OUP Oxford,Jun 27| 2013,3.5,456,9780191503269,English,Computers / Digital Media / Audio
Ethics in Psychology and the Mental Health Professions: Standards and Cases| Edition 3,Gerald P. Koocher,Oxford University Press,Jan 16| 2008,1.0,672,9780199722372,English,Medical / Ethics
The School Psychology Licensure Exam Guide| Second Edition: Edition 2,Peter D. Thompson| PhD,Springer Publishing Company,May 6| 2013,5.0,192,9780826109903,English,Education / Special Education / General
