title, author, publisher, date_published, ratings, pages, isbn, language, genres
The Lost Symbol,Dan Brown,Random House,Sep 15| 2009,4.2,672,9781409091486,English,Fiction / General
Jonathan Livingston Seagull: A story,Richard Bach,HarperCollins UK,Sep 17| 2015,4.2,144,9780008162986,English,Body| Mind & Spirit / Afterlife & Reincarnation
The Five People You Meet In Heaven,Mitch Albom,Hachette UK,Jun 11| 2009,4.2,240,9780748112630,English,Fiction / General
Brida: A Novel,Paulo Coelho,Harper Collins,Oct 13| 2009,4.4,256,9780061807459,English,Fiction / Literary
The Satanic Verses,Salman Rushdie,Random House,Aug 31| 2011,3.6,560,9781409058854,English,Fiction / General
The Chance: A Novel,Karen Kingsbury,Simon and Schuster,Mar 5| 2013,4.7,352,9781451647044,English,Fiction / Christian / General
The Name of the Rose,Umberto Eco,Random House,Jun 30| 2012,4.0,592,9781448137749,English,Fiction / Crime
When Calls the Heart (Canadian West Book #1),Janette Oke,Baker Books,Feb 1| 2005,4.7,224,9781585587421,English,Fiction / Christian / General
God's Debris: A Thought Experiment,Scott Adams,Andrews McMeel Publishing| LLC,Dec 24| 2013,4.4,132,9781449459840,English,Fiction / Religious
Sense and Sensibility,Jane Austen,Bethany House,Jan 1| 2010,4.5,352,9781441212481,English,Fiction / Christian / General
ANGELS AND DEMONS,DAN BROWN,MEHTA PUBLISHING HOUSE,Jul 1| 2011,4.1,448,9788184980455,Marathi,Fiction / Action & Adventure
The Dalai Lama's Cat,David Michie,Hay House| Inc,Oct 1| 2012,4.6,240,9781401940591,English,Fiction / Biographical
The Red Tent,Anita Diamant,Pan Macmillan,Sep 18| 2009,4.0,229,9780330507073,English,Fiction / Christian / Historical
Siddhartha,Hermann Hesse,Penguin UK,Aug 7| 2008,4.0,144,9780141918846,English,Fiction / Classics
Among the Gods (Chronicles of the Kings Book #5),Lynn Austin,Bethany House,Jun 1| 2006,4.9,352,9781585584246,English,Fiction / Christian / General
Bhavishya Puran,Dr. Vinay,Diamond Pocket Books Pvt Ltd,2020,4.1,158,9789352968107,Hindi,Fiction / Religious
The Last Gambit,Om Swami,Harper Collins,Feb 10| 2017,5.0,208,9789352640935,English,Fiction / Religious
Ishmael,Daniel Quinn,Bantam,Dec 16| 2009,4.6,272,9780307574800,English,Fiction / Literary
The Apothecary's Daughter,Julie Klassen,Bethany House,Jan 1| 2009,4.4,416,9781441203564,English,Fiction / Christian / General
Conclave: The bestselling Richard and Judy Book Club thriller,Robert Harris,Random House,Sep 22| 2016,4.4,400,9781473519688,English,Fiction / Literary
Prophet (Books of the Infinite Book #1),R. J. Larson,Baker Books,Apr 1| 2012,4.4,352,9781441270023,English,Fiction / Christian / Fantasy
A Lineage of Grace,Francine Rivers,Tyndale House Publishers| Inc.,Nov 21| 2012,4.9,576,9781414357478,English,Fiction / Christian / Historical
Cross Roads,Wm. Paul Young,Hachette UK,Nov 13| 2012,4.5,300,9781455516032,English,Fiction / Christian / General
Saint Peter's Soldiers,J. Robert Kennedy,J. Robert Kennedy,Sep 13| 2015,4.4,345,9781517361280,English,Fiction / Action & Adventure
Regal,Brian Rathbone,White Wolf Press| LLC,2013,4.4,298,9781301786039,English,Body| Mind & Spirit / Magick Studies
Three Daughters of Eve,Elif Shafak,Penguin UK,Feb 2| 2017,4.3,384,9780241978870,English,Fiction / General
The Poisonwood Bible,Barbara Kingsolver,Faber & Faber,Sep 4| 2008,4.4,640,9780571246212,English,Fiction / Family Life / General
The Caregiver,Shelley Shepard Gray,Harper Collins,Mar 8| 2011,4.5,304,9780062074577,English,Fiction / Amish & Mennonite
Maharaj - Gujarati eBook,Saurabh Shah,R R Sheth & Co Pvt Ltd,Jan 18| 2014,4.1,432,9789351221708,English,Fiction / Religious
The Seeker,Karan Bajaj,Penguin UK,Jun 15| 2015,4.6,368,9789352140374,English,Fiction / Religious
Flood of Fire,Amitav Ghosh,Penguin UK,Jul 27| 2016,4.1,632,9789352140220,English,Fiction / General
A Cabana,William P. Young,Editora Arqueiro,Jan 17| 2017,4.7,248,9788580416916,Portuguese,Fiction / Religious
O homem mais inteligente da história,Augusto Cury,Sextante,Oct 3| 2016,4.7,272,9788543106298,Portuguese,Fiction / General
Isaiah's Legacy: A Novel of Prophets and Kings,Mesu Andrews,WaterBrook,Feb 18| 2020,4.5,400,9780735291898,English,Fiction / Christian / Historical
