title, author, publisher, date_published, ratings, pages, isbn, language, genres
Guilty as Sin,Meghan March,Meghan March LLC,Sep 18| 2018,4.8,250,9781943796175,English,Fiction / Romance / Billionaires
Claimed,Z.L. Arkadie,Z.L. Arkadie Books,Mar 14| 2019,4.8,252,9781942857488,English,Fiction / Romance / Billionaires
Cometh the Hour,Jeffrey Archer,Pan Macmillan,Feb 25| 2016,4.1,400,9781447252238,English,Fiction / Family Life / General
As a Man Thinketh,James Allen,GENERAL PRESS,May 18| 2018,4.4,112,9789387669635,English,Fiction / Classics
Just To Be With You (Seattle Sullivans #3),Bella Andre,Oak Press| LLC,Mar 5| 2014,4.5,400,9781938127397,English,Fiction / Coming of Age
The Evening and the Morning,Ken Follett,Penguin,Sep 15| 2020,4.5,928,9781984882028,English,Fiction / Historical / General
Lies,Aleatha Romig,Romig Works LLC,Dec 4| 2018,4.9,376,9781947189263,English,Fiction / Romance / Billionaires
Love Rosie,Cecelia Ahern,HarperCollins UK,Jan 19| 2009,4.5,576,9780007279708,English,Fiction / Classics
The Only One,Melissa Ellen,Honey Bee Publishing| LLC,Apr 27| 2017,4.5,334,9781733698948,English,Fiction / Romance / Billionaires
Before We Were Yours: The heartbreaking novel that has sold over one million copies,Lisa Wingate,Hachette UK,Nov 30| 2017,4.5,240,9781787473096,English,Fiction / Historical / General
Grace,David Adams,David Adams,347,4.1,Flowing text, Original pages,Web, Tablet, Phone, eReader,Fiction / Cultural Heritage,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Conqueror: The Complete 5-Book Collection,Conn Iggulden,HarperCollins UK,Mar 28| 2013,4.7,2256,9780007518722,English,Fiction / Anthologies (multiple authors)
Going Down Easy,Carly Phillips,CP Publishing,Jul 19| 2016,4.5,191,9781942288077,English,Fiction / Romance / Billionaires
Tempted by Love (The Steeles at Silver Island #1) Love in Bloom Contemporary Romance,Melissa Foster,World Literary Press,Sep 9| 2020,4.9,325,Flowing text, Google-generated PDF,Drama / Women Authors,Family & Relationships / Dating
Baby Yours,Kennedy Fox,Kennedy Fox,May 21| 2019,4.6,305,9781946087171,English,Family & Relationships / Love & Romance
Year One,Nora Roberts,Hachette UK,Dec 5| 2017,4.5,432,9780349414959,English,Fiction / Action & Adventure
