title, author, publisher, date_published, ratings, pages, isbn, language, genres
Maun Muskaan Ki Maar,Ashutosh Rana,Prabhat Prakashan,115,4.7,9789352669813,Flowing text, Google-generated PDF,Fiction / Satire,Social Science / General
The Code of the Woosters,P.G. Wodehouse,Random House,Mar 26| 2009,4.7,304,9781409035077,English,Fiction / Classics
Scott Pilgrim,Bryan Lee O’Malley,HarperCollins UK,Sep 27| 2012,4.5,168,9780007362998,English,Comics & Graphic Novels / General
The Orphan Master's Son: Barack Obama’s Summer Reading Pick 2019,Adam Johnson,Random House,Feb 16| 2012,4.4,592,9781448109265,English,Fiction / Coming of Age
Look Who's Back,Timur Vermes,Hachette UK,Mar 27| 2014,4.2,352,9781782067825,English,Biography & Autobiography / Presidents & Heads of State
Why Men And Women Can't Be Friends: The Ugly Truth About Men,Oliver Markus Malloy,Bookmaester,Oct 29| 2017,4.2,80,Flowing text, Original pages,Art / General,Comics & Graphic Novels / General
Romeo and/or Juliet: A Chooseable-Path Adventure,Ryan North,Penguin,Jun 7| 2016,4.2,400,9781101983317,English,Fiction / Humorous / General
A Clockwork Orange: Restored Edition,Anthony Burgess,Penguin UK,Dec 5| 2013,4.6,352,9780141970684,English,Fiction / Classics
Breakfast of Champions,Kurt Vonnegut,Random House,Sep 30| 2010,4.4,320,9781407054032,English,Fiction / General
The Amazing Adventures of Kavalier and Clay,Michael Chabon,HarperCollins UK,Oct 2| 2012,4.3,656,9780007480371,English,Fiction / Action & Adventure
The Moor's Last Sigh,Salman Rushdie,Random House,Aug 31| 2011,4.4,448,9781409058878,English,Fiction / General
Flatland: A Romance of Many Dimensions,Edwin Abbott,Open Road Media,Jul 1| 2014,4.4,114,9781453253939,English,Fiction / Dystopian
Candide,Voltaire,Bantam Classics,Aug 26| 2003,4.4,128,9780553897999,English,Fiction / Classics
A Horse Walks into a Bar,David Grossman,Random House,Nov 10| 2016,5.0,208,9781473545809,English,Fiction / General
Fool: A Novel,Christopher Moore,Harper Collins,Oct 6| 2009,4.2,352,9780061974779,English,Fiction / Fantasy / Humorous
Orgullo y prejuicio: Clásicos de la literatura,Jane Austen,e-artnow,Jul 23| 2015,4.7,584,9788026834786,Spanish,Fiction / Family Life / General
Blue Movie,Terry Southern,Open Road Media,May 3| 2011,3.8,255,9781453217344,English,Fiction / Humorous / Black Humor
Animal Farm: The Graphic Novel,George Orwell,Penguin UK,Sep 5| 2019,4.3,176,9780241391884,English,Comics & Graphic Novels / Adaptations
Point Counter Point,Aldous Huxley,Random House,Jul 28| 2009,4.6,592,9781409079378,English,Fiction / Classics
Munnu: A Boy From Kashmir,Malik Sajad,HarperCollins UK,Jun 18| 2015,4.7,352,9780007513734,English,Comics & Graphic Novels / General
The Casual Vacancy,J.K. Rowling,Hachette UK,Sep 27| 2012,3.7,480,9781405519229,English,Fiction / Cultural Heritage
Best of Ashok Chakradhar,Ashok Chakradhar,Prabhat Prakashan,176,5.0,9789351862871,Original pages,Fiction / Satire,This content is DRM protected.
Bank of Polampur,Ved Mathur,Notion Press,Dec 21| 2018,4.7,296,9781644297094,English,Fiction / Satire
The Queen and I,Sue Townsend,Penguin UK,Nov 28| 2002,4.2,288,9780141938332,English,Fiction / Family Life / General
Psychos: A White Girl Problems Book,Babe Walker,Simon and Schuster,Apr 29| 2014,4.6,288,9781476734163,English,Fiction / Biographical
The Bless Me| Father Series Books 1–5: Bless Me| Father; A Father Before Christmas; Father in a Fix; Bless Me Again| Father; and Father Under Fire,Neil Boyd,Open Road Media,Jun 13| 2017,5.0,1583,9781504046169,English,Fiction / Humorous / General
Wizard of the Crow,Ngugi wa Thiong'o,Random House,Oct 2| 2014,4.3,784,9781473513365,English,Fiction / General
Great Granny Webster,Caroline Blackwood,New York Review of Books,Apr 18| 2012,4.3,128,9781590175385,English,Fiction / Family Life / General
The Letter Killers Club,Sigizmund Krzhizhanovsky,New York Review of Books,Dec 6| 2011,4.4,144,9781590175231,English,Fiction / Classics
Time and Time Again,Ben Elton,Random House,Nov 6| 2014,4.3,464,9781473508323,English,Fiction / General
My Year of Rest and Relaxation,Ottessa Moshfegh,Random House,Jul 12| 2018,3.6,304,9781473549548,English,Fiction / General
Riotous Assembly,Tom Sharpe,Random House,May 26| 2011,4.8,320,9781446474679,English,Fiction / General
Differently Morphous,Yahtzee Croshaw,Dark Horse Comics,Apr 16| 2019,4.6,392,9781506711713,English,Fiction / Fantasy / Paranormal
The Crying of Lot 49,Thomas Pynchon,Penguin,Jun 13| 2012,3.7,167,9781101594605,English,Fiction / Classics
Duplo (Novela psicológica),Margarita Alvarez Alvarez,Margarita Alvarez Alvarez,Jul 1| 2018,4.6,211,9788409012558,Spanish,Fiction / Psychological
Poesía satírica y burlesca,Francisco de Quevedo,Instituto Distrital de las Artes – Idartes,Jun 30| 2014,4.2,88,9789585848665,Spanish,Fiction / Satire
Dead Souls,Nikolai Gogol,New York Review of Books,Jul 17| 2012,5.0,432,9781590176559,English,Fiction / Classics
Negrophobia: An Urban Parable,Darius James,New York Review of Books,Feb 19| 2019,5.0,208,9781681373485,English,Fiction / African American / General
Survivor,Chuck Palahniuk,Random House,Jun 30| 2011,4.1,304,9781446483701,English,Fiction / General
The Bonfire of the Vanities,Tom Wolfe,Random House,Jun 21| 2018,4.2,752,9781473563926,English,Fiction / Cultural Heritage
We: Introduction by Will Self,Yevgeny Zamyatin,Random House,Aug 31| 2010,4.7,224,9781409017912,English,Fiction / Classics
Straight Man,Richard Russo,Atlantic Books,Jan 5| 2017,4.5,391,9781952535574,English,Fiction / Classics
Dose Vidanya (Silver Hills Cozy Mysteries| Book 1),Sam Cheever,Electric Prose Publications,Mar 13| 2016,4.6,196,9781944784676,English,Fiction / Mystery & Detective / Amateur Sleuth
Gulliver's Travels and Other Writings,Jonathan Swift,Bantam Classics,Jun 15| 2011,4.3,656,9780307793607,English,Fiction / Classics
The Average American Marriage: A Novel,Chad Kultgen,Harper Collins,Feb 12| 2013,4.3,256,9780062119568,English,Fiction / Family Life / General
S.N.U.F.F.,Victor Pelevin,Hachette UK,Jun 18| 2015,4.8,512,9781473213050,English,Fiction / General
The Family Gathering (Sullivan's Crossing| Book 3),Robyn Carr,HarperCollins UK,Apr 17| 2018,4.7,384,9781474082051,English,Fiction / Coming of Age
