title, author, publisher, date_published, ratings, pages, isbn, language, genres
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Pan Macmillan,Sep 1| 2009,4.4,214,9780330513081,English,Fiction / General
Dark Matter: A Mind-Blowing Twisted Thriller,Blake Crouch,Pan Macmillan,Aug 11| 2016,4.7,352,9781447297550,English,Fiction / Alternative History
1984,George Orwell,GENERAL PRESS,May 15| 2018,4.4,320,9789387669628,English,Fiction / Classics
The Three-Body Problem,Cixin Liu,Head of Zeus,Mar 12| 2015,4.3,416,9781784971540,English,Fiction / Science Fiction / Alien Contact
Skyward: The Cytonic Series Book 1,Brandon Sanderson,Hachette UK,Nov 6| 2018,4.8,528,9781473217881,English,Fiction / Action & Adventure
Flowers For Algernon,Daniel Keyes,Hachette UK,Nov 15| 2012,4.8,224,9780575088498,English,Fiction / Classics
Ready Player One,Ernest Cline,Random House,Aug 18| 2011,4.4,384,9781446493830,English,Fiction / Action & Adventure
Leviathan Wakes,James S. A. Corey,Hachette UK,Jun 2| 2011,4.5,448,9780748122967,English,Fiction / Science Fiction / Action & Adventure
Good Omens,Neil Gaiman,Random House,Nov 22| 2011,4.2,416,9781448110230,English,Fiction / Fantasy / Action & Adventure
Rise of the Valiant (Kings and Sorcerers--Book #2),Morgan Rice,Morgan Rice,Apr 17| 2015,4.4,300,9781632912909,English,Fiction / Fantasy / Epic
Foundation,Isaac Asimov,HarperCollins UK,May 3| 2018,4.6,240,9780007381128,English,Fiction / Classics
The Testaments: The Booker prize-winning sequel to The Handmaid’s Tale,Margaret Atwood,Random House,Sep 10| 2019,4.6,448,9781473554436,English,Fiction / Dystopian
Dune: The Gateway Collection,Frank Herbert,Hachette UK,Nov 30| 2012,4.5,800,9780575122796,English,Fiction / Science Fiction / Action & Adventure
The Stand,Stephen King,Hachette UK,Dec 11| 2008,4.8,300,9781848940833,English,Fiction / Disaster
Metro 2033: The novels that inspired the bestselling games,Dmitry Glukhovsky,Hachette UK,Mar 18| 2010,4.6,488,9780575086265,English,Fiction / Dystopian
2001: A Space Odyssey,Arthur C. Clarke,Hachette UK,Jun 3| 2010,4.7,288,9780748120789,English,Fiction / Science Fiction / General
Fahrenheit 451,Ray Bradbury,HarperCollins UK,Feb 14| 2013,4.1,240,9780007496969,English,Fiction / Classics
Red Rising: Red Rising Series 1,Pierce Brown,Hachette UK,Jan 28| 2014,4.3,400,9781444759006,English,Fiction / Action & Adventure
Seveneves,Neal Stephenson,HarperCollins UK,May 21| 2015,4.3,880,9780008132538,English,Fiction / Classics
The Player Of Games: A Culture Novel,Iain M. Banks,Hachette UK,Sep 4| 2008,4.5,320,9780748110063,English,Fiction / Science Fiction / General
Mia & Korum (The Complete Krinar Chronicles Trilogy),Anna Zaires,Mozaika LLC,Jan 19| 2014,4.7,739,9781631420054,English,Family & Relationships / Love & Romance
Interstellar: The Official Movie Novelization,Greg Keyes,Titan Books,Nov 11| 2014,4.6,288,9781783293704,English,Fiction / Science Fiction / General
Altered Carbon: Netflix Altered Carbon book 1,Richard Morgan,Hachette UK,Dec 9| 2008,4.4,480,9780575085688,English,Fiction / Science Fiction / Action & Adventure
Stories of Your Life and Others,Ted Chiang,Pan Macmillan,Jun 19| 2014,4.5,353,9781447281986,English,Fiction / General
Merkiaari Wars,Mark E. Cooper,Impulse Books UK,Oct 1| 2013,4.4,1193,Flowing text,Fiction / Science Fiction / Alien Contact,Fiction / Science Fiction / General
Ender's Game,Orson Scott Card,Hachette UK,Sep 22| 2011,4.3,352,9780748134205,English,Fiction / Science Fiction / Action & Adventure
The 100,Kass Morgan,Hachette UK,Aug 29| 2013,4.6,336,9781444766899,English,Fiction / Coming of Age
The Girl With All The Gifts: The most original thriller you will read this year,M. R. Carey,Hachette UK,Jan 14| 2014,4.3,416,9780748123797,English,Fiction / Dystopian
Brave New World,Aldous Huxley,Random House,Dec 26| 2008,3.9,272,9781407021010,English,Fiction / Classics
Contact,Carl Sagan,Simon and Schuster,Dec 20| 2016,4.6,432,9781501172311,English,Fiction / General
The Road: Winner of the Pulitzer Prize for Fiction,Cormac McCarthy,Pan Macmillan,Dec 10| 2010,4.5,256,9780330472753,English,Fiction / Dystopian
The Maze Runner Trilogy,James Dashner,Scholastic UK,Oct 2| 2014,4.7,1104,9781909489851,English,Fiction / Science Fiction / General
Star Wars: Darth Plagueis,James Luceno,Random House,Jan 31| 2012,4.4,480,9781448136285,English,Fiction / Science Fiction / General
Halo: Silent Storm,Troy Denning,Titan Books,Sep 4| 2018,4.7,416,9781789090420,English,Fiction / Media Tie-In
An Absolutely Remarkable Thing,Hank Green,Hachette UK,Sep 25| 2018,4.5,320,9781473224216,English,Fiction / General
1Q84: Books 1 and 2,Haruki Murakami,Random House,Oct 18| 2011,4.4,816,9781446484197,English,Fiction / Cultural Heritage
Station Eleven,Emily St. John Mandel,Pan Macmillan,Sep 10| 2014,4.2,384,9781447269007,English,Fiction / Dystopian
The Power of Six,Pittacus Lore,Penguin UK,Aug 23| 2011,4.4,400,9780141957777,English,Fiction / Fantasy / General
The Moon is a Harsh Mistress,Robert A. Heinlein,Hachette UK,Aug 14| 2014,4.7,288,9781444791044,English,Fiction / Dystopian
The Magician's Land: (Book 3)| Book 3,Lev Grossman,Random House,Oct 6| 2014,4.6,416,9781473518858,English,Fiction / Fantasy / General
Marauder,Clive Cussler,Penguin UK,Nov 12| 2020,4.7,384,9781405944519,English,Fiction / Action & Adventure
Never Let Me Go,Kazuo Ishiguro,Faber & Faber,Jan 8| 2009,3.9,304,9780571249381,English,Fiction / General
Ancillary Justice: THE HUGO| NEBULA AND ARTHUR C. CLARKE AWARD WINNER,Ann Leckie,Hachette UK,Oct 1| 2013,4.2,432,9781405525848,English,Fiction / Science Fiction / General
Cloud Atlas,David Mitchell,Hachette UK,Sep 4| 2008,4.2,300,9781844568819,English,Fiction / Fantasy / General
The Passage,Justin Cronin,Hachette UK,Jun 24| 2010,4.5,688,9781409107262,English,Computers / Security / Viruses & Malware
Welcome to Night Vale,Joseph Fink,HarperCollins,Oct 20| 2015,4.6,416,9780062351449,English,Fiction / Fantasy / Humorous
Vicious,V. E. Schwab,Titan Books,Jan 10| 2014,4.3,400,9781783290222,English,Fiction / Science Fiction / General
The Breakers Series: Books 4-6,Edward W. Robertson,Edward W. Robertson,Oct 29| 2015,4.7,1200,Flowing text, Google-generated PDF,Fiction / Science Fiction / Action & Adventure,Fiction / Science Fiction / Alien Contact
Dead Soul (In Her Name| Book 3),Michael R. Hicks,Michael R. Hicks,Oct 2011,4.5,209,9780984673001,English,Fiction / Science Fiction / Alien Contact
The Vagrant (The Vagrant Trilogy),Peter Newman,HarperCollins UK,Apr 23| 2015,4.2,416,9780007593101,English,Fiction / Action & Adventure
