title, author, publisher, date_published, ratings, pages, isbn, language, genres
The Management of Technological Innovation: Strategy and Practice,Mark Dodgson,OUP Oxford,Feb 7| 2008,4.0,408,9780191622625,English,Business & Economics / Project Management
Physiology of Sport and Exercise: Edition 7,W. Larry Kenney,Human Kinetics,Apr 25| 2019,5.0,648,9781492574859,English,Medical / Physiology
Applied Longitudinal Data Analysis: Modeling Change and Event Occurrence,Judith D. Singer,Oxford University Press,Mar 27| 2003,4.7,644,9780199760725,English,Mathematics / Probability & Statistics / General
Laboratory Manual for Anatomy and Physiology| 5th Edition,Connie Allen,Wiley Global Education,Nov 20| 2013,4.0,752,9781118806555,English,Science / Life Sciences / Human Anatomy & Physiology
Biodesign: The Process of Innovating Medical Technologies| Edition 2,Paul G. Yock,Cambridge University Press,Feb 2| 2015,5.0,856,9781316195581,English,Medical / Diagnostic Imaging / General
Mathematical Modelling,Seppo Pohjolainen,Springer,Jul 14| 2016,4.7,242,9783319278360,English,Computers / Computer Science
Origami Design Secrets: Mathematical Methods for an Ancient Art| Second Edition| Edition 2,Robert J. Lang,CRC Press,Oct 5| 2011,4.7,770,9781439867747,English,Mathematics / General
Numerical Linear Algebra,Lloyd N. Trefethen,SIAM,Jan 1| 1997,4.0,373,9780898719574,English,Mathematics / Algebra / General
The Organic Chem Lab Survival Manual: A Student's Guide to Techniques| 10th Edition: Edition 10,James W. Zubrick,Wiley Global Education,Jan 4| 2016,0,320,9781119183129,English,Science / Chemistry / Organic
Doing Bayesian Data Analysis: A Tutorial Introduction with R,John Kruschke,Academic Press,Nov 25| 2010,4.0,672,9780123814869,English,Mathematics / Mathematical Analysis
Doing Bayesian Data Analysis: A Tutorial with R| JAGS| and Stan| Edition 2,John Kruschke,Academic Press,Nov 11| 2014,4.5,776,9780124059160,English,Mathematics / Applied
A First Course on Numerical Methods,Uri M. Ascher,SIAM,Jul 14| 2011,3.7,574,9780898719987,English,Computers / Computer Science
Discrete Mathematics,Gary Chartrand,Waveland Press,Mar 31| 2011,3.6,671,9781478608325,English,Mathematics / Discrete Mathematics
The Student's Guide to Cognitive Neuroscience: Edition 4,Jamie Ward,Routledge,Dec 6| 2019,0,526,9781351035163,English,Medical / Neurology
Bayesian Data Analysis: Edition 3,Andrew Gelman,CRC Press,Nov 27| 2013,5.0,675,9781439898208,English,Mathematics / Probability & Statistics / General
An Introduction to Molecular Evolution and Phylogenetics: Edition 2,Lindell Bromham,Oxford University Press,Oct 14| 2016,5.0,479,9780191070693,English,Science / Life Sciences / Evolution
The Evolution of Primate Societies,John C. Mitani,University of Chicago Press,Oct 24| 2012,3.8,728,9780226531731,English,Science / General
Ethics| Technology| and Engineering: An Introduction,Ibo van de Poel,John Wiley & Sons,Mar 23| 2011,4.3,376,9781444395716,English,Philosophy / General
Biomaterials Science: An Introduction to Materials in Medicine| Edition 3,Buddy D. Ratner,Academic Press,Dec 31| 2012,3.8,1573,9780080877808,English,Medical / Instruments & Supplies
Real Analysis and Applications: Including Fourier Series and the Calculus of Variations,Frank Morgan,American Mathematical Soc.,197,0,9780821886113,Original pages,Mathematics / Calculus,Mathematics / Functional Analysis
Sensory Evaluation of Food: Principles and Practices| Edition 2,Harry T. Lawless,Springer Science & Business Media,Sep 27| 2010,3.0,596,9781441964885,English,Medical / Neurology
Solutions Manual for Lang’s Linear Algebra,Rami Shakarchi,Springer Science & Business Media,Dec 6| 2012,5.0,200,9781461207559,English,Mathematics / Mathematical Analysis
Modern Classical Physics: Optics| Fluids| Plasmas| Elasticity| Relativity| and Statistical Physics,Kip S. Thorne,Princeton University Press,Sep 5| 2017,5.0,1552,9781400848898,English,Science / Physics / General
University Physics: Australian edition,Hugh D Young,Pearson Higher Education AU,Aug 4| 2010,4.5,1576,9781442538016,English,Science / General
Zookeeping: An Introduction to the Science and Technology,Mark D. Irwin,University of Chicago Press,Dec 9| 2013,5.0,816,9780226925325,English,Science / General
Women| Science| and Myth: Gender Beliefs from Antiquity to the Present,Sue Vilhauer Rosser,ABC-CLIO,2008,0,502,9781598840957,English,Science / General
Introduction to Emergency Management: Edition 6,Jane A. Bullock,Butterworth-Heinemann,Jan 9| 2017,0,518,9780128030653,English,Political Science / Peace
An Introduction to Systems Biology: Design Principles of Biological Circuits,Uri Alon,CRC Press,Jul 7| 2006,4.0,320,9781420011432,English,Mathematics / Applied
Formulas and Calculations for Drilling| Production| and Workover: All the Formulas You Need to Solve Drilling and Production Problems| Edition 3,William C. Lyons,Gulf Professional Publishing,Sep 20| 2011,3.4,304,9781856179300,English,Science / Earth Sciences / Geology
Materials Science and Engineering: An Introduction| Edition 10,William D. Callister| Jr.,Wiley Global Education,Feb 23| 2018,1.0,980,9781119405436,English,Science / Chemistry / General
The Sciences: An Integrated Approach| 8th Edition: Edition 8,James Trefil,Wiley Global Education,Jan 11| 2016,0,640,9781119234326,English,Science / General
Failure Mode and Effect Analysis: FMEA from Theory to Execution,D. H. Stamatis,Quality Press,Jan 1| 2003,4.0,488,9780873895989,English,Science / Reference
Elementary Differential Equations and Boundary Value Problems: Edition 11,William E. Boyce,Wiley Global Education,May 10| 2017,0,625,9781119381679,English,Mathematics / Differential Equations / General
Quantitative Risk Management: Concepts| Techniques and Tools - Revised Edition,Alexander J. McNeil,Princeton University Press,May 26| 2015,4.3,720,9781400866281,English,Business & Economics / Finance / Financial Risk Management
Practical Text Mining and Statistical Analysis for Non-structured Text Data Applications,Gary Miner,Academic Press,Jan 25| 2012,4.0,1000,9780123870117,English,Mathematics / Probability & Statistics / General
Biology of Spiders: Edition 3,Rainer Foelix,Oxford University Press,Dec 31| 2010,4.0,432,9780199813247,English,Science / Life Sciences / Zoology / Entomology
Introduction to Probability,David F. Anderson,Cambridge University Press,Nov 2| 2017,0,448,9781108246705,English,Mathematics / Probability & Statistics / General
Statistics Using Stata: An Integrative Approach,Sharon Lawner Weinberg,Cambridge University Press,Sep 19| 2016,0,681,9781316679487,English,Mathematics / Probability & Statistics / General
Foundations of Astrophysics,Barbara Ryden,Cambridge University Press,Aug 27| 2020,2.0,626,9781108935012,English,Science / Astronomy
Fundamentals of Physics Extended| 10th Edition,David Halliday,Wiley Global Education,Aug 28| 2013,3.9,1440,9781118473818,English,Science / Physics / General
Chemical| Biochemical| and Engineering Thermodynamics: Edition 5,Stanley I. Sandler,Wiley Global Education,Feb 16| 2017,0,1032,9781119343776,English,Science / Chemistry / General
Atmospheric Science: An Introductory Survey| Edition 2,John M. Wallace,Elsevier,Mar 24| 2006,4.8,504,9780080499536,English,Science / Earth Sciences / Meteorology & Climatology
Reeds Vol 2: Applied Mechanics for Marine Engineers,Paul Anthony Russell,Bloomsbury Publishing,Mar 9| 2015,4.0,640,9781472910578,English,Science / Mechanics / General
Introduction to Electrodynamics: Edition 4,David J. Griffiths,Cambridge University Press,Jun 29| 2017,5.0,624,9781108357142,English,Science / Mechanics / General
The Heart of Mathematics: An Invitation to Effective Thinking| 4th Edition,Edward B. Burger,Wiley Global Education,Nov 8| 2012,0,976,9781118475744,English,Mathematics / General
Global Warming: Understanding the Forecast| 2nd Edition: Understanding the Forecast,David Archer,Wiley Global Education,Sep 9| 2011,0,212,9781118213971,English,Science / Global Warming & Climate Change
Fundamentals of Numerical Computation,Tobin A. Driscoll,SIAM,Dec 21| 2017,4.0,582,9781611975086,English,Computers / Computer Simulation
Physics and Technology for Future Presidents: An Introduction to the Essential Physics Every World Leader Needs to Know,Richard A. Muller,Princeton University Press,Apr 12| 2010,3.8,536,9781400835317,English,Science / Physics / General
Mechanics of Materials Laboratory Course,Ghatu Subhash,Morgan & Claypool Publishers,Apr 30| 2018,5.0,226,9781681733340,English,Science / Mechanics / Solids
Basic Genetics: A Primer Covering Molecular Composition of Genetic Material| Gene Expression and Genetic Engineering| and Mutations and Human Genetic Disorders| 2nd Edition,Ahmed Abouelmagd,Universal-Publishers,Apr 2013,5.0,288,9781612331928,English,Science / Life Sciences / Evolution
