title, author, publisher, date_published, ratings, pages, isbn, language, genres
SIP: Understanding the Session Initiation Protocol,Alan B. Johnston,Artech House,2009,5.0,425,9781607839965,English,Computers / Interactive & Multimedia
New Perspectives on the Internet: Comprehensive: Edition 10,Jessica Evans,Cengage Learning,Jan 27| 2017,0,50,9781337516112,English,Computers / General
A First Course on Numerical Methods,Uri M. Ascher,SIAM,Jul 14| 2011,3.7,574,9780898719987,English,Computers / Computer Science
Effective C++ Digital Collection: 140 Ways to Improve Your Programming,Scott Meyers,Addison-Wesley,Jul 10| 2012,4.7,944,9780132979184,English,Computers / Programming Languages / C
Windows Server 2016: The Administrator's Reference,William Stanek,Stanek & Associates,Nov 1| 2016,3.7,820,9781575455310,English,Computers / Client-Server Computing
Modern Processor Design: Fundamentals of Superscalar Processors,John Paul Shen,Waveland Press,Jul 30| 2013,3.8,642,9781478610762,English,Computers / Microprocessors
Brief C++: Late Objects| Edition 3,Cay S. Horstmann,Wiley Global Education,Dec 18| 2017,0,528,9781118803714,English,Computers / Programming / General
Configuring SAP ERP Sales and Distribution,Kapil Sharma,John Wiley and Sons,Jun 3| 2010,5.0,672,9780470641118,English,Computers / Enterprise Applications / General
Using Microsoft Dynamics AX: The New Dynamics ‘AX 7‘| Edition 5,Andreas Luszczak,Springer,Jul 28| 2016,5.0,441,9783658136222,English,Computers / Data Processing
Big C++: Late Objects| Edition 3,Cay S. Horstmann,Wiley Global Education,Dec 18| 2017,0,1004,9781119402930,English,Computers / Programming / General
Modern Assembly Language Programming with the ARM Processor,Larry D. Pyeatt,Newnes,May 3| 2016,0,504,9780128037164,English,Computers / Microprocessors
Configuring SAP ERP Financials and Controlling,Peter Jones,John Wiley & Sons,Feb 11| 2011,4.5,960,9781118059746,English,Computers / Enterprise Applications / General
Learn JavaFX 8: Building User Experience and Interfaces with Java 8,Kishori Sharan,Apress,Apr 2| 2015,5.0,1200,9781484211427,English,Computers / Programming / General
Pattern-Oriented Software Architecture| A System of Patterns,Frank Buschmann,John Wiley & Sons,Apr 22| 2013,1.0,350,9781118725269,English,Computers / Programming / General
The Linux Programming Interface: A Linux and UNIX System Programming Handbook,Michael Kerrisk,No Starch Press,Oct 1| 2010,4.8,1552,9781593272913,English,Computers / Operating Systems / Linux
3D Math Primer for Graphics and Game Development: Edition 2,Fletcher Dunn,CRC Press,Nov 2| 2011,5.0,846,9781498759892,English,Computers / Programming / Games
Learning OpenCV 3: Computer Vision in C++ with the OpenCV Library,Adrian Kaehler,"O'Reilly Media| Inc.",Dec 14| 2016,5.0,1024,9781491938003,English,Computers / Computer Vision & Pattern Recognition
Object-Oriented Programming and Java: Edition 2,Danny Poo,Springer Science & Business Media,Sep 7| 2007,4.0,322,9781846289637,English,Computers / Information Technology
Systems Analysis and Design: An Object-Oriented Approach with UML| 5th Edition: Edition 5,Alan Dennis,Wiley Global Education,Mar 12| 2015,4.0,544,9781119030256,English,Computers / General
Discovering AutoCAD 2020,Paul Riley,Macromedia Press,Aug 14| 2019,5.0,1322,9780135576052,English,Computers / CAD-CAM
SAP Flexible Real Estate Management,Jayant Daithankar,Apress,Sep 9| 2016,3.8,222,9781484214824,English,Computers / Computer Science
Guide to Computer Forensics and Investigations: Edition 5,Bill Nelson,Cengage Learning,Nov 7| 2014,0,752,9781305176089,English,Computers / Security / General
SAS Macro Programming Made Easy| Third Edition: Edition 3,Michele M. Burlew,SAS Institute,Jun 16| 2014,4.0,386,9781629591513,English,Computers / Enterprise Applications / General
MCSA Windows Server 2016 Complete Study Guide: Exam 70-740| Exam 70-741| Exam 70-742| and Exam 70-743| Edition 2,William Panek,John Wiley & Sons,Feb 23| 2018,5.0,1248,9781119359159,English,Computers / Certification Guides / General
Big Java: Early Objects| 6th Edition: Edition 6,Cay S. Horstmann,Wiley Global Education,Dec 17| 2015,0,1040,9781119141570,English,Computers / Programming Languages / Java
Usability Engineering,Jakob Nielsen,Elsevier,Nov 11| 1994,5.0,362,9780080520292,English,Computers / Human-Computer Interaction (HCI)
Windows Command Line Self-Study Training Kit,William Stanek Training Solutions,Stanek & Associates,Dec 8| 2016,5.0,838,9781627164542,English,Computers / Client-Server Computing
Kelly L. Murdock's Autodesk 3ds Max 2017 Complete Reference Guide,Kelly Murdock,SDC Publications,Aug 25| 2016,3.7,1300,9781630570330,English,Computers / CAD-CAM
Microsoft Project 2016: Edition 16,Microsoft Official Academic Course,Wiley Global Education,May 10| 2017,1.0,324,9781119126409,English,Computers / Enterprise Applications / General
SAS Functions by Example| Second Edition: Edition 2,Ron Cody| EdD,SAS Institute,Mar 11| 2010,3.5,472,9781607643647,English,Computers / Enterprise Applications / General
Fundamentals of Game Design: Fundamentals of Game Design_2| Edition 2,Ernest Adams,New Riders,Apr 7| 2010,3.8,99998,9780132104753,English,Computers / Programming / Games
Designing for the Digital Age: How to Create Human-Centered Products and Services,Kim Goodwin,John Wiley & Sons,Mar 25| 2011,3.8,768,9781118079881,English,Computers / Programming / General
The Art of Multiprocessor Programming| Revised Reprint,Maurice Herlihy,Elsevier,Jun 25| 2012,4.4,536,9780123977953,English,Computers / Programming / General
Millimeter Wave Wireless Communications,Theodore S. Rappaport,Prentice Hall,Sep 9| 2014,4.0,704,9780132173681,English,Computers / Data Transmission Systems / Wireless
macOS Support Essentials 10.15 - Apple Pro Training Series: Supporting and Troubleshooting macOS Catalina,Adam Karneboge,Peachpit Press,Jan 13| 2020,0,1251,9780136552215,English,Computers / Operating Systems / Apple (Mac OS & iOS)
Big Java Late Objects| 2nd Edition: Edition 2,Cay S. Horstmann,Wiley Global Education,Nov 16| 2016,0,1056,9781118975404,English,Computers / Programming / General
Mastering Unix Shell Scripting: Bash| Bourne| and Korn Shell Scripting for Programmers| System Administrators| and UNIX Gurus| Edition 2,Randal K. Michael,John Wiley & Sons,Sep 14| 2011,5.0,1032,9781118080160,English,Computers / Programming / General
Java Concepts: Late Objects| 3rd Edition: Late Objects| Edition 3,Cay S. Horstmann,Wiley Global Education,Nov 16| 2016,0,624,9781119031130,English,Computers / Programming / General
Information Security and IT Risk Management,Manish Agrawal,Wiley Global Education,May 19| 2014,0,432,9781118803066,English,Computers / Security / General
SAS Certified Specialist Prep Guide: Base Programming Using SAS 9.4,SAS Institute,SAS Institute,Feb 11| 2019,0,434,9781642951769,English,Computers / Enterprise Applications / General
Petroleum Production Engineering| A Computer-Assisted Approach,Boyun Guo,Elsevier,Apr 1| 2011,4.5,312,9780080479958,English,Business & Economics / Industries / Natural Resource Extraction
Pro ASP.NET 4.5 in C#: Edition 5,Adam Freeman,Apress,Sep 21| 2013,4.0,1228,9781430242550,English,Computers / Information Technology
Digital Design and Computer Architecture: Edition 2,David Harris,Elsevier,Aug 24| 2012,4.1,712,9780123978165,English,Computers / Computer Engineering
SSFIPS Securing Cisco Networks with Sourcefire Intrusion Prevention System Study Guide: Exam 500-285,Todd Lammle,John Wiley & Sons,Oct 13| 2015,4.0,432,9781119155041,English,Computers / Certification Guides / General
Fundamentals of Numerical Computation,Tobin A. Driscoll,SIAM,Dec 21| 2017,4.0,582,9781611975086,English,Computers / Computer Simulation
Predictive Modeling with SAS Enterprise Miner: Practical Solutions for Business Applications| Third Edition| Edition 3,Kattamuri S. Sarma,SAS Institute,Jul 20| 2017,0,574,9781635260380,English,Computers / Enterprise Applications / General
Computer Organization and Design RISC-V Edition: The Hardware Software Interface,David A. Patterson,Morgan Kaufmann,May 12| 2017,5.0,696,9780128122761,English,Computers / Computer Engineering
