title, author, publisher, date_published, ratings, pages, isbn, language, genres
Shelter in Place,Nora Roberts,Hachette UK,May 29| 2018,4.7,448,9780349417806,English,Fiction / Family Life / Marriage & Divorce
Fool’s Assassin (Fitz and the Fool| Book 1),Robin Hobb,HarperCollins UK,Aug 12| 2014,4.7,640,9780007444182,English,Fiction / Fantasy / Epic
Make Me,Lee Child,Random House,Sep 10| 2015,4.1,512,9781473508781,English,Fiction / Action & Adventure
Half of a Yellow Sun,Chimamanda Ngozi Adichie,HarperCollins UK,Jan 19| 2009,4.3,448,9780007279289,English,Fiction / Classics
Every Breath: A captivating story of enduring love from the author of The Notebook,Nicholas Sparks,Hachette UK,Oct 16| 2018,4.5,320,9780751567779,English,Family & Relationships / Dating
Dance Away with Me: A Novel,Susan Elizabeth Phillips,HarperCollins,Jun 9| 2020,4.6,400,9780062973047,English,Fiction / Romance / Contemporary
Tempted by Love (The Steeles at Silver Island #1) Love in Bloom Contemporary Romance,Melissa Foster,World Literary Press,Sep 9| 2020,4.9,325,Flowing text, Google-generated PDF,Drama / Women Authors,Family & Relationships / Dating
Miss Marple – Miss Marple and Mystery: The Complete Short Stories (Miss Marple),Agatha Christie,HarperCollins UK,Jul 5| 2011,4.4,736,9780007438976,English,Fiction / Media Tie-In
Say You Want Me,Corinne Michaels,BAAE Publishing,Oct 31| 2016,4.8,340,9781942834205,English,Fiction / Romance / Contemporary
The Nearness of You,Iris Morland,Blue Violet Press LLC,Mar 1| 2017,4.5,218,Flowing text, Google-generated PDF,Fiction / Contemporary Women,Fiction / Family Life
Hannah,Chris Keniston,Indie House Publishing,Jul 25| 2017,4.7,167,9781942561194,English,Fiction / Family Life
The Great Alone: A Compelling Story of Love| Heartbreak and Survival| From the Multi-million Copy Bestselling Author of The Nightingale,Kristin Hannah,Pan Macmillan,Feb 8| 2018,4.7,352,9781447286011,English,Fiction / Family Life / General
The Playboy's Proposal,Ashlee Mallory,Entangled: Bliss,Jul 25| 2016,4.3,275,9781633757202,English,Fiction / Romance / Clean & Wholesome
Phantoms: A Thriller,Dean Koontz,Penguin,Feb 5| 2002,4.5,448,9781440620171,English,Fiction / Horror
The Moment We Began,Sarra Cannon,Dead River Books,Sep 17| 2013,4.4,292,9781624210174,English,Fiction / Coming of Age
Shades of Honor,Wendy Lindstrom,Rustic Studio Publishing,Dec 22| 2010,4.3,278,9781939263001,English,Family & Relationships / Death| Grief| Bereavement
The Truth About the Harry Quebert Affair: The million-copy bestselling sensation,Joël Dicker,Hachette UK,Apr 30| 2014,4.2,624,9781848663251,English,Fiction / General
The Bones She Buried,Lisa Regan,Bookouture,Mar 27| 2019,4.6,340,9781786816399,English,Fiction / Crime
The Dry: The Sunday Times Crime Book of the Year 2017,Jane Harper,Hachette UK,May 31| 2016,4.6,432,9781408708187,English,Fiction / Crime
The Citadel,A. J. Cronin,Pan Macmillan,Mar 14| 2013,4.5,432,9781447244561,English,Fiction / Classics
The Forgotten Child,Lorhainne Eckhart,Lorhainne Eckhart,Nov 6| 2011,4.4,168,9781928085010,English,Fiction / Contemporary Women
The Book Woman of Troublesome Creek: A Novel,Kim Michele Richardson,Sourcebooks| Inc.,May 7| 2019,4.4,320,9781492671534,English,Fiction / Historical / General
Melting Into You (A Small Town Single Dad Romance),Tracey Alvarez,Icon Publishing Limited,Jun 16| 2014,4.6,306,9780473285944,English,Drama / General
Hearts on Fire,Julia Gabriel,Serif Books,Jun 26| 2017,4.7,292,9780999654835,English,Fiction / Family Life / General
Love in a Sandstorm,Zoe York,Zoe York,Jul 25| 2017,4.6,414,Flowing text, Google-generated PDF,Fiction / Family Life / Marriage & Divorce,Fiction / Romance / Contemporary
The Storied Life of A.J. Fikry,Gabrielle Zevin,Hachette UK,Dec 2| 2014,4.3,320,9780349141084,English,Fiction / Disaster
Bring It On Home: A Small Town Family Romance,Kait Nolan,Take The Leap Publishing ,Nov 22| 2019,4.9,260,Flowing text, Google-generated PDF,Fiction / Romance / Contemporary,Fiction / Small Town & Rural
One Perfect Family,Anna Jacobs,Hachette UK,Mar 21| 2019,4.9,368,9781473673281,English,Fiction / Family Life / General
Crushing on Kate,Theresa Paolo,TMP Books Inc,Apr 30| 2017,4.6,215,Flowing text, Google-generated PDF,Family & Relationships / Love & Romance,Fiction / Romance / Contemporary
Archer's Voice,Mia Sheridan,Hachette UK,Nov 1| 2016,4.7,384,9781538727379,English,Fiction / Family Life / General
How The Light Gets In,Louise Penny,Hachette UK,Aug 27| 2013,4.5,416,9780748120574,English,Fiction / Crime
Leave Me Breathless: The irresistible new romance from the Sunday Times bestseller,Jodi Ellen Malpas,Hachette UK,Nov 5| 2019,4.8,416,9781409176176,English,Fiction / General
Holding,Graham Norton,Hachette UK,Oct 6| 2016,4.3,320,9781444791990,English,Fiction / Crime
The Boy in the Photo: An absolutely gripping and emotional page turner,Nicole Trope,Bookouture,Jun 28| 2019,4.6,350,9781786818645,English,Fiction / Literary
No Country for Old Men,Cormac McCarthy,Pan Macmillan,Dec 3| 2010,4.5,212,9780330474771,English,Fiction / General
Us Against You: From The New York Times Bestselling Author of A Man Called Ove and Beartown,Fredrik Backman,Penguin UK,Jun 14| 2018,4.6,432,9781405930246,English,Fiction / Crime
Someone We Know: From the number one bestselling author of The Couple Next Door,Shari Lapena,Random House,Jul 25| 2019,4.4,400,9781473553576,English,Fiction / Action & Adventure
Far From the Madding Crowd (Collins Classics),Thomas Hardy,HarperCollins UK,Nov 4| 2010,4.3,320,9780007424818,English,Fiction / Classics
The Paid Companion,Amanda Quick,Penguin,Mar 29| 2005,4.1,400,9781101214817,English,Fiction / Mystery & Detective / Historical
One Left Alive,Helen Phifer,Bookouture,Sep 1| 2020,4.5,327,9781838888480,English,Fiction / Crime
Almost a Bride,Patricia McLinn,Craig Place Books,Mar 9| 2014,4.3,256,9781939215116,English,Fiction / Romance / Collections & Anthologies
Overdue for Love,Erin Wright,Wright's Romance Reads,2017,4.5,214,Flowing text, Google-generated PDF,Fiction / Romance / Contemporary,Fiction / Romance / General
The Whisper Man: The chilling must-read Richard & Judy thriller pick,Alex North,Penguin UK,Jun 13| 2019,4.3,400,9781405936019,English,Fiction / Crime
The Last Christmas Cowboy: A Holiday Romance,Maisey Yates,HQN Books,Oct 13| 2020,4.9,384,9781488056703,English,Fiction / Romance / Contemporary
Silent On The Moor,Deanna Raybourn,HarperCollins UK,Jul 1| 2009,4.1,558,9781408912560,English,Fiction / Historical / General
One Last Objection,Nancy Stopper,Anderby Lane Publishing,Sep 7| 2017,4.7,303,Flowing text,Fiction / Romance / Contemporary,Fiction / Romance / General
All He Ever Needed,Shannon Stacey,Harlequin,Sep 10| 2012,4.6,274,9781426894336,English,Fiction / Romance / Contemporary
Lucky Penny,Catherine Anderson,Penguin,Jan 31| 2012,4.5,432,9781101559758,English,Fiction / Romance / Historical / General
Sweet Tea and Spirits,Angie Fox,Angie Fox,Apr 19| 2017,4.8,283,9781939661388,English,Fiction / Fantasy / Action & Adventure
Silent Witness,Richard North Patterson,St. Martin's Paperbacks,Feb 1| 2011,4.6,608,9781429991834,English,Fiction / Legal
