title, author, publisher, date_published, ratings, pages, isbn, language, genres
Women| Work| and Globalization: Challenges and Opportunities,Bahira Sherif Trask,Routledge,Oct 30| 2013,0,298,9781134699469,English,Business & Economics / Human Resources & Personnel Management
FATHERHOOD IN AMERICA: Social Work Perspectives on a Changing Society,Carl Mazza,Charles C Thomas Publisher,Jan 27| 2017,0,351,9780398091378,English,Family & Relationships / Parenting / Fatherhood
How to Rethink Human Behavior: A Practical Guide to Social Contextual Analysis,Bernard Guerin,Routledge,May 20| 2016,0,262,9781317302407,English,Psychology / Applied Psychology
Explaining Creativity: The Science of Human Innovation| Edition 2,R. Keith Sawyer,Oxford University Press,Oct 15| 2011,3.0,568,9780199838202,English,Psychology / Social Psychology
The Psychology of Gratitude,Robert A. Emmons,Oxford University Press,Feb 26| 2004,4.0,384,9780195348729,English,Psychology / Emotions
Human Ethology,Irenäus Eibl-Eibesfeldt,Transaction Publishers,Mar 1| 2007,0,848,9780202366616,English,Psychology / Social Psychology
The Meaning of Things: Domestic Symbols and the Self,Mihaly Csikszentmihalyi,Cambridge University Press,Oct 30| 1981,0,305,9781107392823,English,Psychology / Developmental / Child
Spirituality and Religion Within the Culture of Medicine: From Evidence to Practice,Dr Michael Balboni,Oxford University Press,May 10| 2017,0,368,9780190272449,English,This content is DRM protected.
Made to Be Seen: Perspectives on the History of Visual Anthropology,Marcus Banks,University of Chicago Press,Aug 1| 2012,0,432,9780226036632,English,Performing Arts / Film / History & Criticism
The Oxford Handbook of Medical Ethnomusicology,Benjamin Koen,Oxford University Press,Nov 3| 2008,0,570,9780199714155,English,Medical / Healing
Principles of Ecosystem Stewardship: Resilience-Based Natural Resource Management in a Changing World,F Stuart Chapin III,Springer Science & Business Media,Jun 12| 2009,5.0,401,9780387730332,English,Law / Environmental
Death in the Modern World,Tony Walter,SAGE,Jan 9| 2020,0,312,9781526480088,English,Social Science / Death & Dying
Digital Sociology,Deborah Lupton,Routledge,Nov 5| 2014,0,230,9781317691808,English,Social Science / General
Key Thinkers on Space and Place: Edition 2,Phil Hubbard,SAGE,Nov 12| 2010,0,528,9781446259726,English,Social Science / Anthropology / Cultural & Social
The Oxford Handbook of Food History,Jeffrey M. Pilcher,Oxford University Press,Oct 16| 2012,0,536,9780199996001,English,History / General
The Spatial Turn: Interdisciplinary Perspectives,Barney Warf,Routledge,Sep 18| 2008,0,256,9781135972660,English,Science / Earth Sciences / Geography
The Ecological Transition: Cultural Anthropology and Human Adaptation,John W. Bennett,Elsevier,May 18| 2014,0,388,9781483187266,English,Social Science / Anthropology / General
Social Science of the Syringe: A Sociology of Injecting Drug Use,Nicole Vitellone,Taylor & Francis,Feb 10| 2017,0,138,9781317223870,English,Health & Fitness / General
The Group Effect: Social Cohesion and Health Outcomes,John Bruhn,Springer Science & Business Media,Jun 6| 2009,0,171,9781441903648,English,Medical / Public Health
Missing Persons,Mary Douglas,Univ of California Press,Nov 4| 1998,0,238,9780520918627,English,Social Science / Sociology / General
Dynamic Embodiment for Social Theory: I move therefore I am,Brenda Farnell,Routledge,Feb 27| 2012,0,176,9781136645259,English,Social Science / Sociology / General
Medical Sociology in Africa,Jimoh Amzat,Springer,Jul 8| 2014,0,299,9783319039862,English,Medical / General
Social Theory and Human Reality,Pertti Alasuutari,SAGE,Sep 1| 2004,0,192,9781412931243,English,Social Science / Anthropology / Cultural & Social
