title, author, publisher, date_published, ratings, pages, isbn, language, genres
The Elsker Saga Box Set (Books 1-3 + Novella),S.T. Bende,S.T. Bende,May 3| 2015,4.8,447,Flowing text, Original pages,Fiction / Fairy Tales, Folk Tales, Legends & Mythology,Fiction / Fantasy / Urban
CHACHA CHAUDHARY,PRAN KUMAR SHARMA,Prans Features LLP,Nov 28| 2017,4.7,45,Original pages,Art / Techniques / Cartooning,Comics & Graphic Novels / Anthologies
The Phantom: The Complete Series,Lee Falk,Hermes Press,Mar 14| 2011,4.3,242,9781613450055,English,Comics & Graphic Novels / Anthologies
Sword of the Gods: Agents of Ki,Anna Erishkigal,Seraphim Press,May 5| 2014,4.7,826,9780985489663,English,Body| Mind & Spirit / Angels & Spirit Guides
Werewolves of New York| Book 1: Nathaniel,Faleena Hopkins,Hop Hop Productions Inc,Dec 21| 2019,4.7,127,Flowing text, Google-generated PDF,Fiction / Romance / Action & Adventure,Fiction / Romance / Paranormal / General
Spider-Man 2,Peter David,Del Rey,May 25| 2004,4.3,320,9780345478757,English,Fiction / Media Tie-In
Sleeping Giants: Themis Files Book 1,Sylvain Neuvel,Penguin UK,Apr 21| 2016,3.9,384,9781405921879,English,Fiction / Science Fiction / Action & Adventure
As Shadows Fade,Colleen Gleason,AVID PRESS,Sep 15| 2014,4.6,368,9781931419550,English,Fiction / Fantasy / Dark Fantasy
Quinox| el ángel oscuro 1: Exilio,Carlos Moreno Martín,Carlos Moreno Martín,50,4.6,Flowing text, Google-generated PDF,Web, Tablet, Phone, eReader,Fiction / Fantasy / Urban,Fiction / Science Fiction / Action & Adventure
Fighting for Infinity,Karen Amanda Hooper,Starry Sky Publishing ,Apr 28| 2014,4.8,380,9780985589974,English,Fiction / Fantasy / Contemporary
School of Potential,W.J. May,Dark Shadow Publishing,Sep 15| 2019,4.7,265,Flowing text, Google-generated PDF,Comics & Graphic Novels / Superheroes,Fiction / Coming of Age
#6 Shades of Gray: Dawn of the Twilight- Outbreak,Kristie Lynn Higgins,Kristie Lynn Higgins,Aug 17| 2014,4.6,250,Flowing text,Fiction / Action & Adventure,Fiction / Alternative History
No Good Deed: Book One of the Mark Taylor Series,M.P. McDonald,MP McDonald,Jan 14| 2015,4.4,327,Flowing text, Google-generated PDF,Fiction / Magical Realism,Fiction / Mystery & Detective / Historical
Vingadores - todos querem dominar o mundo,Dan Abnett,Novo Século,May 5| 2015,4.5,320,9788542805697,Portuguese,Fiction / Superheroes
Reconstructed,Tasha Black,13th Story Press,Jun 23| 2015,4.6,150,Flowing text,Fiction / Romance / Action & Adventure,Fiction / Romance / Paranormal
Smrtka Vol.1: budoucnost pod kontrolou,Rostislav Prchlík,Rostislav Prchlik,177,4.5,Original pages,Web, Tablet,Fiction / Horror,Fiction / Superheroes
Homem de Ferro: Vírus,Alex Irvine,Novo Século,May 15| 2015,4.5,368,9788542805406,Portuguese,Fiction / Superheroes
Los Elementos Finales,Tecnoquendo,Dewy Books ™,Sep 2| 2019,4.5,36,Original pages,Fiction / Superheroes,This content is DRM free.
THANOS: Sentença de morte,STUART MOORE,Novo Século,May 14| 2018,4.4,320,9788542813920,Portuguese,Fiction / Action & Adventure
X-men - espelho negro,Marjorie M. Liu,Novo Século,May 15| 2015,4.5,308,9788542805390,Portuguese,Comics & Graphic Novels / Superheroes
Empowered: Agent,Dale Ivan Smith,Dale Ivan Smith,Nov 19| 2017,4.6,295,Flowing text, Google-generated PDF,Fiction / Alternative History,Fiction / Fantasy / Contemporary
Ignite the Flame,Susan Griscom,Createspace Independent Publishing Platform,Sep 18| 2017,4.6,332,Flowing text, Google-generated PDF,Family & Relationships / Love & Romance,Fiction / Romance / Contemporary
DC Comics novels - Batman: The Killing Joke,Christa Faust,Titan Books,Sep 25| 2018,5.0,304,9781785658112,English,Fiction / Crime
The Billionaire's New Assistant: Parts 1-5: (Billionaire Erotic Romance / BDSM Erotica),georgina sand,Georgina Sand,Dec 6| 2012,4.0,300,9780988368774,English,Fiction / Action & Adventure
Thor Ragnarok - o livro oficial do filme,McCann Jim,Novo Século,Oct 23| 2017,4.6,208,9788542806731,Portuguese,Fiction / Action & Adventure
Haven (The Last Humans Book 3),Dima Zales,Mozaika LLC,Jun 17| 2016,4.7,380,9781631421679,English,Fiction / Dystopian
SCIONS (Book 1),Lewis Alsamari,DreamStone Studio   www.DreamStoneStudio.com,Oct 24| 2019,4.9,32,Original pages,Comics & Graphic Novels / Science Fiction,Comics & Graphic Novels / Superheroes
Kung Fu Hero and The Forbidden City: A ComedyShortsGamer Graphic Novel,Deji Olatunji aka ComedyShortsGamer,Hachette UK,Nov 2| 2017,4.6,192,9781409174295,English,Art / Techniques / Cartooning
The 'Naturals: Complete Season One,Aaron Patterson,StoneHouse Ink,Feb 23| 2013,4.2,225,9781624820595,English,Fiction / Fantasy / Paranormal
Venom: Lethal Protector Prose Novel,James R. Tuck,Titan Books,Oct 23| 2018,4.8,240,9781789090604,English,Fiction / Action & Adventure
Sword of Order,S Mays,S Mays,Nov 26| 2018,4.4,206,Flowing text, Google-generated PDF,Fiction / Fantasy / Action & Adventure,Fiction / Fantasy / Urban
Apex,Adam Moon,Gealach Publishing,Mar 11| 2015,4.6,148,Original pages,Fiction / Science Fiction / Action & Adventure,Fiction / Science Fiction / Alien Contact
Los superhéroes gays existen,Cory Eiland,Daniel Sanchez de la Nieta Rico,23,4.4,Original pages,Web, Tablet,Fiction / LGBT / Gay,Fiction / Romance / LGBT / Gay
The Billionaire's Assistant: Parts 11-15: A Billionaire Erotic Romance,Georgina Sand,Baudrons Books| Inc.,May 26| 2014,4.8,250,Flowing text, Original pages,Fiction / Action & Adventure,Fiction / Erotica
The Superhero's Test (free superheroes),Lucas Flint,Secret Identity Books,Feb 14| 2019,4.6,244,Flowing text, Google-generated PDF,Fiction / Fantasy / Action & Adventure,Fiction / Fantasy / Contemporary
A Thread of Time,J. Naomi Ay,J. Naomi Ay,240,4.4,9781514380000,Flowing text, Google-generated PDF,Fiction / Coming of Age,Fiction / Fantasy / Epic
Robyn Hood I Love NY,Lou Iovino,Zenescope Entertainment,Aug 17| 2016,4.4,24,Original pages,Comics & Graphic Novels / Contemporary Women,Comics & Graphic Novels / Fantasy
Darkness: The Complete Series: Paranormal Ménage Romance,Nora Ash,Little Huldra Media,Apr 23| 2020,4.8,546,Flowing text, Google-generated PDF,Fiction / Fantasy / General,Fiction / Fantasy / Urban
Ordnance,Andrew Vaillencourt,Andrew Vaillencourt,Apr 7| 2017,4.1,300,9781544916385,English,Fiction / Fantasy / Military
HIKAYAT RAJA BABI,Usup Abdul Kadir,Buku Fixi,Apr 23| 2015,4.0,223,9789670750729,Malay,Fiction / Action & Adventure
All Worlds: Fantasy And Science Fiction Series Starters,Kristie Lynn,Kristie Lynn Higgins,Oct 24| 2015,4.0,628,Flowing text,Fiction / Action & Adventure,Fiction / Christian / Fantasy
X-Men(tm) The Last Stand,Chris Claremont,Del Rey,May 16| 2006,4.3,352,9780345493835,English,Fiction / Media Tie-In
Gotham: City of Monsters,Jason Starr,Titan Books,May 29| 2018,4.8,272,9781785651489,English,Fiction / Media Tie-In
Tigerwandler: Eine übersinnliche Paranormal Fantasy Romanze,Zola Bird,Zola Bird,194,4.4,Flowing text,Web, Tablet, Phone, eReader,Fiction / Fantasy / General,Fiction / Fantasy / Paranormal
