title, author, publisher, date_published, ratings, pages, isbn, language, genres
The Demonologist: The Extraordinary Career of Ed and Lorraine Warren,Gerald Brittle,Graymalkin Media,Jul 18| 2013,4.6,238,9781935169239,English,Biography & Autobiography / Religious
Skin Game,Jim Butcher,Hachette UK,May 27| 2014,4.6,464,9780748130825,English,Fiction / Fantasy / Contemporary
Angels' Blood,Nalini Singh,Penguin,Mar 3| 2009,4.5,368,9781101019535,English,Fiction / Fantasy / Romantic
Swan Song,Robert R. McCammon,Open Road Media,Oct 18| 2011,4.8,856,9781453231524,English,Fiction / Occult & Supernatural
Doctor Sleep,Stephen King,Hachette UK,Sep 24| 2013,4.1,500,9781444761191,English,Fiction / General
Enchanted Objects (YA Witch Series),Kristen Middleton,Kristen Middleton,May 5| 2016,4.8,302,9781524217167,English,Fiction / Fantasy / General
The Return of Ratnavati: Story of the Princess of haunted Bhangarh,Ashita Saxena,Notion Press,2013,4.4,120,9789383416691,English,Fiction / Occult & Supernatural
Dark Dreams - Book 2 (A Vampire & Paranormal Romance),Chrissy Peebles ,Dark Shadows Publishing,Jul 17| 2015,4.7,145,Flowing text, Google-generated PDF,Fiction / Fantasy / Dark Fantasy,Fiction / Fantasy / General
The Demon King (The Seven Realms Series| Book 1),Cinda Williams Chima,HarperCollins UK,Feb 4| 2010,4.4,400,9780007353248,English,Fiction / Classics
Close Remembrance (The Krinar Chronicles: Volume 3),Anna Zaires,Mozaika Publications,Sep 5| 2013,4.2,398,9780988391345,English,Body| Mind & Spirit / Supernatural
Dracula,Bram Stoker,Top Five Books LLC,Nov 14| 2011,4.0,455,9780978927097,English,Fiction / Classics
A Hunger So Wild (A Renegade Angels Novel),Sylvia Day,Hachette UK,Aug 28| 2012,4.6,248,9781472200754,English,Fiction / Fantasy / Paranormal
Awakening,Claire Farrell,Claire Farrell,Jun 30| 2012,4.8,505,Flowing text, Google-generated PDF,Fiction / Fairy Tales, Folk Tales, Legends & Mythology,Fiction / Fantasy / General
Kindling Flames,Julie Wetzel,Crimson Tree Publishing,Aug 4| 2016,4.7,282,9781634220163,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Maximum Ride: The Angel Experiment,James Patterson,Hachette UK,Apr 28| 2011,4.7,356,9780755387229,English,Fiction / Fantasy / Action & Adventure
The Wisdom of Madness,C.J. Archer,C.J. Archer,Jun 5| 2018,4.8,250,Flowing text,Fiction / Alternative History,Fiction / Fantasy / Gaslamp
Frost Burned: Mercy Thompson: Book 7,Patricia Briggs,Hachette UK,Mar 5| 2013,4.4,368,9780748117352,English,Fiction / Fantasy / Contemporary
The Two Lost Mountains: The Brand New Jack West Thriller,Matthew Reilly,Hachette UK,Jan 21| 2021,3.8,432,9781409194422,English,Fiction / Action & Adventure
The Wolf Gift,Anne Rice,Random House,Mar 28| 2013,4.7,592,9781448135318,English,Fiction / Fantasy / General
The Birth of Vengeance,P.A. Ross,Scarlett-Thorn,2012,4.4,186,9781301124954,English,Body| Mind & Spirit / Unexplained Phenomena
The Destiny Thief,Luanne Bennett,The Word Lounge,Jan 22| 2017,4.9,327,Flowing text, Google-generated PDF,Fiction / Fantasy / Contemporary,Fiction / Fantasy / Paranormal
