title, author, publisher, date_published, ratings, pages, isbn, language, genres
Sacred Games,Vikram Chandra,Faber & Faber,Mar 3| 2011,4.5,912,9780571267149,English,Fiction / General
Digital Fortress,Dan Brown,Random House,May 31| 2011,4.3,512,9781409091172,English,Fiction / Thrillers / General
Pet Sematary: Kingâ€™s #1 bestseller â€“ soon to be a major motion picture,Stephen King,Hachette UK,Mar 22| 2010,4.5,300,9781848940857,English,Fiction / Classics
Bad Luck And Trouble,Lee Child,Random House,Sep 4| 2008,4.4,544,9781407037547,English,Fiction / Crime
The Obsession,Nora Roberts,Hachette UK,Apr 14| 2016,4.6,464,9780349407777,English,Fiction / General
Bloodline,Sidney Sheldon,HarperCollins UK,Jun 7| 2012,4.6,480,9780007380893,English,Fiction / Action & Adventure
The Kill List,Frederick Forsyth,Random House,Sep 26| 2013,4.2,400,9781448167548,English,Fiction / Thrillers / General
Silence Of The Lambs: (Hannibal Lecter),Thomas Harris,Random House,Oct 1| 2018,4.3,432,9781446439746,English,Fiction / Crime
The Lost World,Michael Crichton,Random House,Sep 4| 2008,4.4,448,9781407097626,English,Fiction / General
Mean Streak,Sandra Brown,Hachette UK,Aug 19| 2014,4.3,416,9781444791433,English,Fiction / Crime
Sharp Objects: A major HBO & Sky Atlantic Limited Series starring Amy Adams| from the director of BIG LITTLE LIES| Jean-Marc Vallée,Gillian Flynn,Hachette UK,Sep 3| 2009,4.1,336,9780297860242,English,Fiction / Crime
Oppose Any Foe (A Luke Stone Thriller—Book 4),Jack Mars,Jack Mars,Dec 16| 2016,4.6,300,9781632918505,English,Fiction / Thrillers / General
The Whistler: The Number One Bestseller,John Grisham,Hachette UK,Oct 25| 2016,4.2,352,9781444791112,English,Fiction / Thrillers / General
Defending Jacob: Now a major Apple TV series,William Landay,Hachette UK,Mar 15| 2012,4.0,400,9781409115397,English,Fiction / Crime
Near Dark,Brad Thor,Simon and Schuster,Jul 21| 2020,4.5,352,9781982104085,English,Fiction / Political
The Five Greatest Warriors,Matthew Reilly,Hachette UK,Jan 21| 2010,4.4,352,9781409110958,English,Fiction / Thrillers / General
Murder House,James Patterson,Random House,Sep 24| 2015,4.4,560,9781473506169,English,Fiction / Crime
Enemy of the State,Vince Flynn,Simon and Schuster,Sep 5| 2017,4.7,400,9781476783543,English,Fiction / General
The Kind Worth Killing,Peter Swanson,Faber & Faber,Feb 3| 2015,4.3,320,9780571302239,English,Fiction / Crime
The Girl With All The Gifts: The most original thriller you will read this year,M. R. Carey,Hachette UK,Jan 14| 2014,4.3,416,9780748123797,English,Fiction / Dystopian
Dead Eye,Mark Greaney,Hachette UK,Sep 3| 2015,4.6,480,9780751562507,English,Fiction / Thrillers / General
The Secrets She Keeps: Now a major TV series starring Laura Carmichael,Michael Robotham,Hachette UK,Jul 11| 2017,4.6,448,9780751562781,English,Fiction / Crime
Wonderment In Death,J. D. Robb,Hachette UK,Mar 24| 2016,4.7,160,9780751554106,English,Fiction / Crime
Dying Truth,Angela Marsons,Bookouture,May 18| 2018,4.8,350,9781786814746,English,Fiction / Crime
Triple: A Novel,Ken Follett,Penguin,Feb 3| 2015,4.4,368,9780698406292,English,Fiction / Historical / General
The Millennium Trilogy,Stieg Larsson,Hachette UK,Mar 23| 2016,5.0,1888,9780857056481,English,Fiction / General
Unseen,Karin Slaughter,Random House,Jul 4| 2013,4.6,496,9781448107391,English,Fiction / General
The Dante Connection (Book 2),Estelle Ryan,Estelle Ryan,Feb 24| 2013,4.4,365,Flowing text,Fiction / Crime,Fiction / Mystery & Detective / General
Faceless: A dark and pacy crime thriller of betrayal and revenge,Martina Cole,Hachette UK,Sep 4| 2008,4.6,640,9780755350681,English,Fiction / Crime
