title, author, publisher, date_published, ratings, pages, isbn, language, genres
A Little Life: Shortlisted for the Man Booker Prize 2015,Hanya Yanagihara,Pan Macmillan,May 21| 2015,4.3,720,9781447294849,English,Fiction / Friendship
Crazy Rich Asians: The international bestseller| now a major film in 2018,Kevin Kwan,Atlantic Books Ltd,Jul 1| 2013,4.3,300,9781782393313,English,Fiction / Cultural Heritage
As the Crow Flies,Jeffrey Archer,Pan Macmillan,Apr 1| 2011,4.4,200,9780330523837,English,Fiction / General
Wonderment In Death,J. D. Robb,Hachette UK,Mar 24| 2016,4.7,160,9780751554106,English,Fiction / Crime
American Psycho,Bret Easton Ellis,Pan Macmillan,Dec 15| 2014,4.7,400,9781447277712,English,Fiction / Classics
Clash - Book 7,Chrissy Peebles,Dark Shadows Publishing,Aug 15| 2015,4.8,337,Flowing text, Google-generated PDF,Fiction / Fantasy / Dark Fantasy,Fiction / Fantasy / General
The Woman in the Window,A. J. Finn,HarperCollins,Jan 2| 2018,4.2,448,9780008292737,English,Fiction / Mystery & Detective / Amateur Sleuth
Lock Every Door,Riley Sager,Random House,Jul 25| 2019,4.6,384,9781473568051,English,Fiction / City Life
Pale Companion| New Adult Romance (PALE Series),Mac Flynn,Crescent Moon Studios| Inc.,Oct 30| 2015,4.5,89,Flowing text, Original pages,Fiction / Contemporary Women,Fiction / Humorous
I See You: The addictive Number One Sunday Times Bestseller,Clare Mackintosh,Hachette UK,Jul 28| 2016,4.4,384,9780751554137,English,Fiction / Action & Adventure
Archangel's Legion,Nalini Singh,Penguin,Oct 29| 2013,4.7,384,9781101602225,English,Fiction / Romance / Paranormal / General
Crooked House,Agatha Christie,HarperCollins UK,Oct 14| 2010,4.2,256,9780007422234,English,Fiction / Classics
Lords of the Bow (Conqueror| Book 2),Conn Iggulden,HarperCollins UK,Sep 4| 2008,4.4,464,9780007285358,English,Fiction / Fantasy / Epic
Trainspotting,Irvine Welsh,Random House,Dec 5| 2008,4.5,448,9781407019994,English,Fiction / General
Kindling Flames,Julie Wetzel,Crimson Tree Publishing,Aug 4| 2016,4.7,282,9781634220163,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
The Late Show,Michael Connelly,Hachette UK,Jul 11| 2017,4.1,416,9781409147527,English,Fiction / Crime
The Monogram Murders: The New Hercule Poirot Mystery,Sophie Hannah,Harper Collins,Sep 9| 2014,3.9,384,9780007547432,English,Fiction / Mystery & Detective / General
The Cartel 5,Ashley,Urban Books,Dec 1| 2014,4.8,266,9781622862320,English,Fiction / African American / Urban
Taking What's Hers 6,Mia Black,Mahogany Publications,112,4.9,Flowing text, Original pages,Web, Tablet, Phone, eReader,Fiction / African American / Contemporary Women,Fiction / African American / General
Queenie: British Book Awards Book of the Year,Candice Carty-Williams,Hachette UK,Apr 11| 2019,4.4,400,9781409180081,English,Family & Relationships / Dating
New York| Actually: A sparkling romantic comedy from the bestselling Queen of Romance,Sarah Morgan,HarperCollins UK,Jan 26| 2017,4.6,368,9781474057585,English,Fiction / General
Rules of Civility: The stunning debut by the million-copy bestselling author of A Gentleman in Moscow,Amor Towles,Hachette UK,Jul 21| 2011,4.4,300,9781444708868,English,Fiction / Coming of Age
Mr Penumbra's 24-hour Bookstore,Robin Sloan,Atlantic Books Ltd,Dec 20| 2012,4.3,300,9781782391203,English,Fiction / Action & Adventure
Shuggie Bain: Winner of the Booker Prize 2020,Douglas Stuart,Pan Macmillan,Feb 20| 2020,4.8,464,9781529019308,English,Fiction / Coming of Age
Four Idiots:  story of everyone,Sudhanshu Shekhar,Notion Press,Jun 3| 2014,4.8,220,9789384049171,English,Fiction / Urban
The Fear,C.L. Taylor,HarperCollins UK,Mar 22| 2018,4.5,416,9780008118105,English,Fiction / Mystery & Detective / General
The Edge of Never (Edge of Never| Book 1),J. A. Redmerski,HarperCollins UK,Feb 28| 2013,4.5,480,9780007523177,English,Fiction / Coming of Age
Pretty Little Things,T.M.E. Walsh,HarperCollins UK,Jun 4| 2018,4.4,384,9780008238926,English,Fiction / Crime
Devin,Dana Archer,Cherokee House Publishing LLC,Sep 19| 2018,5.0,370,9781946672360,English,Fiction / Dystopian
The Billionaire Shifter's Curvy Match (Billionaire Shifters Club #1)(Shifter Romance),Diana Seere,Diana Seere,237,4.6,Flowing text,Web, Tablet, Phone, eReader,Fiction / Fantasy / Paranormal,Fiction / Fantasy / Urban
Ham On Rye: A Novel,Charles Bukowski,Harper Collins,Oct 13| 2009,4.5,288,9780061851919,English,Fiction / Coming of Age
Decadent,Shayla Black,Penguin,Oct 2| 2007,4.4,352,9781440619380,English,Fiction / Romance / Contemporary
The Prada Plan 4,Ashley Antoinette,Urban Books,Jul 1| 2014,4.8,288,9781622862764,English,Fiction / African American / Urban
Donzela de Aço (Reinos Divididos| Livro 1),Kim Richardson,Riverbend Press,Jan 3| 2016,4.7,277,9781311965332,Portuguese,Fiction / Action & Adventure
Requiem for a Dream: A Novel,Hubert Selby,Open Road Media,Dec 13| 2011,4.7,284,9781453239698,English,Fiction / General
Seduced by a Thug: African American Urban Fiction,Solae Dehvine,Dehvine Publishing,Aug 24| 2018,4.7,97,9781524283520,English,Fiction / African American / General
Interpreter of Maladies,Jhumpa Lahiri,HarperCollins UK,Mar 27| 2014,4.0,208,9780007381647,English,Fiction / Asian American
Honor Thy Thug,Wahida Clark,Simon and Schuster,Apr 23| 2013,4.7,304,9781936399406,English,Fiction / African American / General
Murderville 3,Ashley & JaQuavis,Simon and Schuster,Sep 3| 2013,4.8,256,9781936399109,English,Fiction / African American / General
A Moment of Silence,Sister Souljah,Simon and Schuster,Nov 10| 2015,4.7,544,9781476766003,English,Fiction / African American / Urban
The Nowhere Girl: A completely gripping and emotional page turner,Nicole Trope,Bookouture,Jan 28| 2020,4.9,343,9781838882099,English,Family & Relationships / General
Animal 2: The Omen,K'wan,Simon and Schuster,Nov 19| 2013,4.8,336,9781936399307,English,Fiction / African American / Urban
Love & Deception,Simone Majors,Mahogany Publications,100,4.6,Flowing text, Original pages,Web, Tablet, Phone, eReader,Fiction / African American / General,Fiction / African American / Urban
Rattle: A Serial Killer Thriller That Will Hook You from the Start,Fiona Cummins,Pan Macmillan,Jan 19| 2017,4.4,352,9781509812288,English,Fiction / Crime
Hoes Be Winning,Ms.Bam,A.N.C. Media Publishing,103,4.6,Flowing text, Original pages,Web, Tablet, Phone, eReader,Fiction / African American / General,Fiction / African American / Urban
The Family Business 3,Carl Weber,Urban Books,Feb 1| 2015,4.8,288,9781622863488,English,Fiction / African American / Urban
Outside Looking In: A darkly compelling crime novel with a shocking twist (DCI Matilda Darke Thriller| Book 2),Michael Wood,HarperCollins UK,May 26| 2016,4.6,376,9780008190460,English,Fiction / Mystery & Detective / General
Little Black Girl Lost,Keith Lee Johnson,Urban Renaissance,Jun 1| 2013,4.9,400,9781622861538,English,Fiction / African American / Urban
Tears of a Hustler Pt 3,Silk White,Good2go Publishing,2011,4.6,232,9780578084749,English,Fiction / African American / General
Tainted Love: A gripping thriller with a shocking twist from the No 1 bestseller,Kimberley Chambers,HarperCollins,Feb 11| 2016,4.7,496,9780007521784,English,Fiction / General
