title, author, publisher, date_published, ratings, pages, isbn, language, genres
The Kilkenny Series Bundle,Louis L'Amour,Bantam,Jul 7| 2015,4.6,656,9780804181112,English,Fiction / Action & Adventure
For the Roses,Julie Garwood,Penguin,May 10| 2011,4.7,709,9781101531525,English,Fiction / Action & Adventure
Buckled,Pam Godwin,Heartbound Media| Inc.,Jul 10| 2018,4.8,350,9781722374075,English,Fiction / Romance / Action & Adventure
News of the World: A Novel,Paulette Jiles,HarperCollins,Oct 4| 2016,4.5,304,9780062409225,English,Fiction / Historical / General
All I Need Is You,Johanna Lindsey,Harper Collins,Aug 2| 2011,4.5,416,9780062106438,English,Fiction / Romance / Action & Adventure
Riders of the Dawn: A Western Duo,Louis L’Amour,Blackstone Publishing,Mar 1| 2018,4.6,192,9781538474556,English,Fiction / Westerns
Grant,Jennifer Ashley,Jennifer Ashley,May 5| 2015,4.7,245,9781941229873,English,Fiction / Romance / Contemporary
Strike of the Mountain Man,William W. Johnstone,Pinnacle Books                ,Oct 24| 2011,4.7,352,9780786030422,English,Fiction / Action & Adventure
Warlock,Oakley Hall,New York Review of Books,Aug 5| 2014,4.8,488,9781590178232,English,Fiction / Historical / General
A Real Cowboy Rides a Motorcycle (Wyoming Rebels),Stephanie Rowe,Authenticity Playground| LLC,Apr 6| 2016,4.8,285,9781940968148,English,Fiction / Romance / Contemporary
Raylan: A Novel,Elmore Leonard,Harper Collins,Jan 17| 2012,4.0,288,9780062119483,English,Fiction / Crime
The Honeymoon,Lorhainne Eckhart,Lorhainne Eckhart,Mar 29| 2014,4.2,70,9781928085089,English,Fiction / Romance / Contemporary
The Hostile Trail,Charles G. West,Penguin,Sep 5| 2006,4.8,288,9781101662793,English,Fiction / Action & Adventure
Her Reluctant Rancher,Anne Marie Novark,Anne Marie Novark Books,Mar 4| 2014,4.6,204,Flowing text, Original pages,Fiction / Romance / Contemporary,Fiction / Romance / General
This Love,Kelly Elliott,Hachette UK,Oct 9| 2018,5.0,352,9780349418490,English,Fiction / General
Redemption's Edge,Shirleen Davies,Avalanche Ranch Press LLC,Oct 4| 2014,4.6,432,9781941786079,English,Fiction / Action & Adventure
Give Hope a Chance,SJ McCoy,Xenion| Inc,Jul 11| 2017,4.8,262,9781946220240,English,Fiction / Romance / Contemporary
The Unexpected Bride,Cynthia Woolf,Firehouse Publishing,Oct 24| 2015,4.7,267,9781938887826,English,Fiction / Romance / Western
Jet (The Marked Men| Book 2),Jay Crownover,HarperCollins UK,Jun 13| 2013,4.5,368,9780007536306,English,Fiction / Erotica / Collections & Anthologies
Ralph Compton Showdown At Two-Bit Creek,Joseph A. West,Penguin,Jun 3| 2003,4.6,288,9781440673771,English,Fiction / Action & Adventure
The Orchardist: A Novel,Amanda Coplin,Harper Collins,Aug 21| 2012,4.1,448,9780062188526,English,Fiction / Historical / General
Her Billionaire Rancher Boss,Genevieve Turner,Penny Bright Publishing| LLC,Aug 16| 2015,4.4,220,Flowing text, Google-generated PDF,Fiction / Hispanic & Latino,Fiction / Romance / Contemporary
Rocky Mountain Heat,Vivian Arend,Arend Publishing Inc.,Feb 16| 2017,4.7,215,9781941456187,English,Fiction / Romance / Contemporary
The Wren,Kristy McCaffrey,K. McCaffrey LLC,Sep 22| 2014,4.6,326,9780997665123,English,Fiction / Romance / Historical / General
Lucky in Love,Carolyn Brown,Sourcebooks| Inc.,Sep 1| 2009,4.4,352,9781402228377,English,Fiction / Romance / Contemporary
Loved by You,Cheyenne McCray,Cheyenne McCray LLC,Oct 26| 2017,4.6,42,9781939778376,English,Fiction / Romance / Contemporary
Mail Order Bride: Westward Winds: A Clean Historical Cowboy Romance,Linda Bridey,Gold Crown Publishing,Dec 23| 2014,4.6,160,9781635019698,English,Fiction / Romance / Historical / Victorian
Lonesome Dove,Larry McMurtry,Pan Macmillan,Oct 12| 2011,5.0,960,9781447206149,English,Fiction / Historical / General
Between Hell and Texas,Dusty Richards,Pinnacle Books                ,May 26| 2011,4.4,400,9780786029198,English,Fiction / Action & Adventure
The Searchers,Alan Le May,Pinnacle Books                ,Mar 1| 2013,4.3,352,9780786031436,English,Fiction / Westerns
Loving Lauren,Jill Sanders,Jill Sanders,Mar 25| 2014,4.4,282,9781497346215,English,Fiction / Romance / Contemporary
Texas Mail Order Bride,Linda Broday,Sourcebooks| Inc.,Jan 6| 2015,4.7,416,9781492602828,English,Fiction / Romance / Historical / General
Blood Meridian: Or the Evening Redness in the West,Cormac McCarthy,Vintage,Aug 11| 2010,4.5,368,9780307762528,English,Fiction / Historical / General
Saving Grace,Sandy James,James Gang Publishing,May 30| 2013,4.6,236,9781940295008,English,Fiction / Historical
Walker's Wedding,Lori Copeland,Harvest House Publishers,Jun 1| 2010,4.7,288,9780736939850,English,Fiction / Christian / Romance
Cry of the West: Hallie: Book 1 in Finding Home Series,Verna Clay,M.O.I. Publishing,Jan 4| 2013,4.7,265,Flowing text, Original pages,Fiction / Action & Adventure,Fiction / Historical
The Hunger: "Deeply disturbing| hard to put down" - Stephen King,Alma Katsu,Random House,Mar 6| 2018,3.9,496,9781473542419,English,Fiction / Action & Adventure
The Cold Dish,Craig Johnson,Penguin,Dec 29| 2004,4.4,448,9781101043943,English,Fiction / Mystery & Detective / Police Procedural
Here to Stay (historical western romance),Kristine Raymond,Kristine Raymond,Nov 6| 2013,4.4,244,Flowing text, Google-generated PDF,Fiction / Romance / Historical / General,Fiction / Romance / Western
The Black Hole|This book is a sequel to The Devil's Double| which was made into a feature film of the same name,Latif Yahia,AMG,Mar 31| 2014,4.7,144,Original pages,Antiques & Collectibles / Books,Art / Film & Video
The Border Legion,Zane Grey,The Floating Press,Jun 1| 2011,4.8,320,9781775452928,English,Fiction / Classics
Destiny| Texas,Brett Cogburn,Pinnacle Books,Aug 1| 2015,4.9,320,9780786036707,English,Fiction / Action & Adventure
