title, author, publisher, date_published, ratings, pages, isbn, language, genres
Russian Warships in the Age of Sail 1696–1860: Design| Construction| Careers and Fates,Eduard Sozaev,Seaforth Publishing,Jun 23| 2010,4.0,400,9781473853225,English,History / Military / Naval
The Campaigns of Napoleon,David G. Chandler,Simon and Schuster,Dec 1| 2009,4.8,1216,9781439131039,English,History / General
Women in the Classical World: Image and Text,Elaine Fantham,Oxford University Press,Mar 30| 1995,0,448,9780199762163,English,History / Ancient / General
An Introduction to Native North America -- Pearson eText: Edition 4,Mark Q. Sutton,Routledge,Aug 26| 2015,5.0,432,9781317347200,English,History / Native American
British Warships in the Age of Sail| 1603–1714: Design| Construction| Careers and Fates,Rif Winfield,Pen and Sword,Mar 10| 2010,0,384,9781783469246,English,History / Europe / Great Britain / General
Selling War: The British Propaganda Campaign against American "Neutrality" in World War II,Nicholas John Cull,Oxford University Press,Sep 26| 1996,0,276,9780195354799,English,History / Europe / Great Britain / General
A Reference Grammar of Kotiria (Wanano),Kristine Stenzel,U of Nebraska Press,Jul 1| 2013,3.9,536,9780803246492,English,Foreign Language Study / Native American Languages
A History of the Arab–Israeli Conflict: Edition 8,Ian J. Bickerton,Routledge,Jan 2| 2018,0,588,9781351585514,English,History / Middle East / General
British Warships in the Age of Sail| 1793–1817: Design| Construction| Careers and Fates,Rif Winfield,Pen and Sword,Sep 30| 2014,5.0,432,9781783469260,English,History / Military / Napoleonic Wars
A Casebook on Roman Family Law,Bruce W. Frier,Oxford University Press,Nov 6| 2003,0,506,9780199972432,English,History / Ancient / Rome
The Life and Times of the Shah,Gholam Reza Afkhami,Univ of California Press,Jan 12| 2009,5.0,740,9780520942165,English,History / Middle East / General
Confederate Casualties at Gettysburg: A Comprehensive Record,John W. Busey,McFarland,Jan 25| 2017,5.0,2390,9781476624365,English,History / United States / Civil War Period (1850-1877)
The History and Practice of Ancient Astronomy,James Evans,Oxford University Press,Oct 1| 1998,5.0,496,9780199874453,English,History / Ancient / General
Key Events in African History: A Reference Guide,Toyin Falola,Greenwood Publishing Group,2002,4.5,347,9780313313233,English,History / Africa / General
The China Order: Centralia| World Empire| and the Nature of Chinese Power,Fei-Ling Wang,SUNY Press,Aug 7| 2017,0,342,9781438467504,English,History / Asia / China
The American Irish: A History,Kevin Kenny,Routledge,Jul 22| 2014,3.0,358,9781317889151,English,History / Europe / Ireland
The Executioner's Men: Los Zetas| Rogue Soldiers| Criminal Entrepreneurs| and the Shadow State They Created,George W. Grayson,Transaction Publishers,Aug 14| 2012,4.7,294,9781412846646,English,History / Latin America / General
Ancient Near Eastern History and Culture: Edition 3,William H. Stiebing Jr.,Routledge,Sep 7| 2017,0,468,9781134880836,English,History / Ancient / General
The French Assault on American Shipping| 1793-1813: A History and Comprehensive Record of Merchant Marine Losses,Greg H. Williams,McFarland,Oct 21| 2009,5.0,558,9780786454075,English,History / World
The Periplus Maris Erythraei: Text with Introduction| Translation| and Commentary,Lionel Casson,Princeton University Press,May 5| 2012,4.0,344,9781400843206,English,Business & Economics / International / General
Escoffier: The King of Chefs,Kenneth James,A&C Black,Nov 1| 2002,4.8,319,9780826445438,English,History / General
Handbook of South American Archaeology,Helaine Silverman,Springer Science & Business Media,Apr 6| 2008,4.0,1192,9780387749075,English,History / Ancient / General
The Taiping Heavenly Kingdom: Rebellion and the Blasphemy of Empire,Thomas H. Reilly,University of Washington Press,Jul 1| 2011,0,232,9780295801926,English,History / Asia / China
The Age of Robert Guiscard: Southern Italy and the Northern Conquest,Graham Loud,Routledge,Jul 10| 2014,0,342,9781317900221,English,History / Europe / Italy
Mycenaean Civilization: An Annotated Bibliography through 2002| rev. ed.,Bryan Feuer,McFarland,Dec 31| 2003,0,387,9780786426980,English,History / Ancient / General
The Israel-Palestine Conflict,Neil Caplan,John Wiley & Sons,Sep 19| 2011,5.0,336,9781444357868,English,History / General
Korean War Order of Battle: United States| United Nations| and Communist Ground| Naval| and Air Forces| 1950-1953,Gordon L. Rottman,Greenwood Publishing Group,2002,5.0,229,9780275978358,English,History / Military / Korean War
The Earth and Its Peoples: A Global History: Edition 6,Richard Bulliet,Cengage Learning,Jan 1| 2014,0,1008,9781285965703,English,History / General
The Columbian Exchange: Biological and Cultural Consequences of 1492| 30th Anniversary Edition,Alfred W. Crosby Jr.,ABC-CLIO,Apr 30| 2003,5.0,320,9780313095399,English,History / World
The Young Turks in Opposition,M. Sukru Hanioglu,Oxford University Press,Mar 16| 1995,5.0,408,9780195358025,English,History / Middle East / General
The Martyrs of Karbala: Shi'i Symbols and Rituals in Modern Iran,Kamran Scot Aghaie,University of Washington Press,Dec 1| 2011,5.0,248,9780295800783,English,History / Middle East / General
The Constitution of the Roman Republic,Andrew Lintott,OUP Oxford,Apr 1| 1999,4.0,310,9780191584671,English,History / Ancient / General
Metalwork in Medieval Islamic Art: The Political Economy of Federal District Courts,Eva Baer,SUNY Press,371,0,9780791495575,Original pages,History / Middle East / General,This content is DRM protected.
The Lions of Marash,Stanley Elphinstone Kerr,SUNY Press,Jan 1| 1973,0,318,9781438408828,English,History / Middle East / General
Taming the System: The Control of Discretion in Criminal Justice| 1950-1990,Samuel Walker,Oxford University Press,May 20| 1993,0,208,9780195360158,English,History / United States / 20th Century
Puerto Rico: Culture| Politics| and Identity: Culture| Politics| and Identity,Nancy Morris,ABC-CLIO,Oct 30| 1995,5.0,224,9780313389283,English,History / Latin America / General
A History of the Muslim World to 1750: The Making of a Civilization| Edition 2,Vernon O. Egger,Routledge,Nov 8| 2017,0,568,9781351389075,English,History / Africa / North
The Ancient Maya: New Perspectives,Heather Irene McKillop,ABC-CLIO,2004,3.5,453,9781576076965,English,History / World
The Northern Wars: War| State and Society in Northeastern Europe| 1558 - 1721,Robert I. Frost,Routledge,Sep 25| 2014,4.0,416,9781317898573,English,History / Europe / Baltic States
Encyclopedia of Hair: A Cultural History,Victoria Sherrow,Greenwood Publishing Group,2006,5.0,455,9780313331459,English,Health & Fitness / Beauty & Grooming
Introduction to Homeland Security: Principles of All-Hazards Risk Management| Edition 5,Jane A. Bullock,Butterworth-Heinemann,May 29| 2015,1.0,760,9780128020562,English,Business & Economics / Information Management
Encyclopaedia of the History of Science| Technology| and Medicine in Non-Westen Cultures,Helaine Selin,Springer Science & Business Media,Nov 11| 2013,0,1117,9789401714167,English,History / General
An Introduction to Native North America: Edition 5,Mark Q. Sutton,Routledge,Jul 28| 2016,0,430,9781317219644,English,History / Native American
British Warships in the Age of Sail| 1714–1792: Design| Construction| Careers and Fates,Rif Winfield,Pen and Sword,Dec 12| 2007,1.0,400,9781783469253,English,History / Military / Naval
Fundamentals of Music Processing: Audio| Analysis| Algorithms| Applications,Meinard Müller,Springer,Jul 21| 2015,0,487,9783319219455,English,Computers / Computer Vision & Pattern Recognition
The Ancient Indus Valley: New Perspectives,Jane McIntosh,ABC-CLIO,2008,0,441,9781576079072,English,History / World
Medieval Warfare: A History,Maurice Keen,OUP Oxford,Aug 26| 1999,4.7,354,9780191647383,English,History / Europe / General
The Great Ming Code / Da Ming lu,,University of Washington Press,Sep 1| 2012,1.0,416,9780295804002,English,History / Asia / China
British Warships in the Age of Sail| 1817–1863: Design| Construction| Careers and Fates,Rif Winfield,Seaforth Publishing,Apr 30| 2014,0,414,9781473837430,English,History / Europe / Great Britain / General
Chivalry and Violence in Medieval Europe,Richard Kaeuper,OUP Oxford,Sep 30| 1999,5.0,350,9780191542756,English,History / Europe / General
