title, author, publisher, date_published, ratings, pages, isbn, language, genres
Multiliteracies for a Digital Age,Stuart Selber,SIU Press,Jan 23| 2004,0,288,9780809388684,English,Language Arts & Disciplines / General
The Mechanics of Writing,Dona J. Young,Dog Ear Publishing,Apr 2009,5.0,232,9781598588170,English,Language Arts & Disciplines / General
College Writing and Beyond: A New Framework for University Writing Instruction,Anne Beaufort,University Press of Colorado,Feb 6| 2008,0,232,9780874216639,English,Education / Teaching Methods & Materials / Arts & Humanities
Practical Composition: Exercises for the English Classroom from Working Instructors,Russell Brickey|,McFarland,Jul 18| 2014,0,248,9781476615479,English,Education / General
An Introduction to English Grammar: Edition 4,Gerald Nelson,Routledge,Mar 29| 2018,4.4,350,9781317518587,English,Language Arts & Disciplines / General
The Meaningful Writing Project: Learning| Teaching and Writing in Higher Education,Michele Eodice,University Press of Colorado,Mar 1| 2017,0,182,9781607325802,English,Language Arts & Disciplines / Composition & Creative Writing
CliffsTestPrep CSET: English,Emily M Hutchinson,Houghton Mifflin Harcourt,Nov 8| 2011,3.0,240,9780544185807,English,Study Aids / Professional
The Least You Should Know about English: Writing Skills| Form B: Edition 11,Paige Wilson,Cengage Learning,Jan 1| 2012,5.0,336,9781133713630,English,Language Arts & Disciplines / General
English Grammar for Today: A new introduction,Geoffrey N. Leech,Macmillan International Higher Education,Oct 1| 1982,4.2,224,9781349168781,English,Language Arts & Disciplines / General
The Least You Should Know About English: Writing Skills: Edition 12,Paige Wilson,Cengage Learning,Jan 1| 2014,0,336,9781305156227,English,Language Arts & Disciplines / General
Rhetoric and Reality: Writing Instruction in American Colleges| 1900 - 1985,James A. Berlin,SIU Press,Feb 26| 1987,0,240,9780809386857,English,Language Arts & Disciplines / Composition & Creative Writing
Accessing the WAN| CCNA Exploration Companion Guide: Acce WAN CCNA Expl Comp Gd_1,Bob Vachon,Cisco Press,Apr 28| 2008,3.7,704,9780132877572,English,Computers / Networking / Vendor Specific
English Grammar: A University Course| Edition 3,Angela Downing,Routledge,Dec 17| 2014,3.7,530,9781317610960,English,Language Arts & Disciplines / General
Rewriting: How to Do Things with Texts| Second Edition,Joseph Harris,University Press of Colorado,Aug 1| 2017,0,170,9781607326878,English,Language Arts & Disciplines / Composition & Creative Writing
Academic Writing: A Handbook for International Students| Edition 5,Stephen Bailey,Routledge,Dec 6| 2017,0,314,9781351690577,English,Education / General
"Wide Sargasso Sea" by Jean Rhys as a postcolonial response to "Jane Eyre" by Charlotte Bronte,Malgorzata Swietlik,GRIN Verlag,Apr 18| 2011,1.3,14,9783640896264,English,Language Arts & Disciplines / Linguistics / General
Readings for Writers: Edition 15,Jo Ray McCuen-Metherell,Cengage Learning,Jan 2| 2015,5.0,560,9781305537286,English,Education / Language Experience Approach
Digital SLR Cameras & Photography For Dummies: Edition 5,David D. Busch,John Wiley & Sons,Sep 15| 2014,4.2,352,9781118971833,English,Photography / Techniques / Cinematography & Videography
Band 9 - IELTS Writing Task 2 - Real Tests,Nathan Dixon,Nathan Dixon,Nov 18| 2015,4.2,68,Flowing text, Google-generated PDF,Education / Bilingual Education,This content is DRM protected.
Teaching English to Second Language Learners in Academic Contexts: Reading| Writing| Listening| and Speaking,Jonathan M. Newton,Routledge,Feb 7| 2018,0,286,9781317236542,English,Foreign Language Study / English as a Second Language
Reading| Thinking| and Writing About History: Teaching Argument Writing to Diverse Learners in the Common Core Classroom| Grades 6-12,Chauncey Monte-Sano,Teachers College Press,2014,0,228,9780807772874,English,Education / Curricula
The best preparation for IELTS: Writing academic module band 9,Ryan Wright,Ryan Wright,Nov 19| 2015,4.8,105,Flowing text, Google-generated PDF,Education / Bilingual Education,Juvenile Nonfiction / Language Arts / Handwriting
Jazz Composition: Theory and Practice,Ted Pease,Hal Leonard Corporation,Aug 1| 2003,3.7,256,9781476866857,English,Music / Genres & Styles / Jazz
Garden History Reference Encyclopedia: Historic books etc on garden design and landscape architecture,Tom Turner,Gardenvisit.com,4877,3.5,Original pages,Web, Tablet,Gardening / Garden Design,This content is DRM protected.
Writing for Science Students,Jennifer Boyle,Macmillan International Higher Education,Apr 6| 2017,0,212,9781137571526,English,Education / General
The Writer's Workshop: Imitating Your Way to Better Writing,Gregory L. Roper,Open Road Media,Apr 29| 2014,0,300,9781497644359,English,Language Arts & Disciplines / Composition & Creative Writing
Hildegard von Bingen's Physica: The Complete English Translation of Her Classic Work on Health and Healing,,Simon and Schuster,Sep 1| 1998,5.0,256,9781594777752,English,Body| Mind & Spirit / Healing / Prayer & Spiritual
Composition-Rhetoric: Backgrounds| Theory| and Pedagogy,Robert Connors,University of Pittsburgh Pre,Jun 5| 1997,0,384,9780822971825,English,Language Arts & Disciplines / Composition & Creative Writing
Conquering the College Admissions Essay in 10 Steps| Second Edition: Crafting a Winning Personal Statement,Alan Gelb,Ten Speed Press,Jun 25| 2013,0,224,9781607743675,English,Education / Higher
The Call to Write: Edition 6,John Trimbur,Cengage Learning,Jan 1| 2013,4.0,688,9781285630823,English,Language Arts & Disciplines / General
A Law Dictionary Containing Definitions of the Terms and Phrases of American and English Jurisprudence| Ancient and Modern ...,Henry Campbell Black,The Lawbook Exchange| Ltd.,1995,4.1,1314,9781886363106,English,Law / Jurisprudence
The Art of Writing About Art: Edition 2,Suzanne Hudson,Cengage Learning,Jan 1| 2014,0,208,9781305179905,English,Education / General
Fundamental College Composition,William P. DeFeo,Universal-Publishers,Nov 1| 2017,0,172,9781627346870,English,Language Arts & Disciplines / Composition & Creative Writing
Art of War,Niccolò Machiavelli,University of Chicago Press,Jan 24| 2009,4.1,312,9780226500324,English,History / Military / General
The Chinese Written Character as a Medium for Poetry: A Critical Edition,Ernest Fenollosa,Fordham Univ Press,Aug 25| 2009,5.0,240,9780823228706,English,Literary Collections / Essays
The Handy English Grammar Answer Book,Christine A. Hult,Visible Ink Press,Aug 17| 2015,5.0,432,9781578595716,English,Foreign Language Study / English as a Second Language
A Place to Stand,Jimmy Santiago Baca,Open Road + Grove/Atlantic,Dec 1| 2007,4.6,272,9781555848903,English,Biography & Autobiography / Cultural| Ethnic & Regional / Hispanic & Latino
CSET English Subtests I-IV Book + Online: Edition 3,John Allen,Research & Education Assoc.,Dec 22| 2015,0,415,9780738687445,English,Education / General
Medieval Writers and their Work: Middle English Literature 1100-1500| Edition 2,J. A. Burrow,OUP Oxford,Feb 8| 2008,0,176,9780191538544,English,Literary Collections / Essays
Why They Can't Write: Killing the Five-Paragraph Essay and Other Necessities,John Warner,JHU Press,Dec 3| 2018,3.0,288,9781421427119,English,Education / Higher
Music Theory and Composition: A Practical Approach,Stephen C. Stone,Rowman & Littlefield,Jan 26| 2018,4.0,546,9781538101247,English,Music / Instruction & Study / Theory
The Locations of Composition,Christopher J. Keller,SUNY Press,Jul 5| 2007,0,325,9780791479810,English,Education / Higher
Writing Science in the Twenty-First Century,Christopher Thaiss,Broadview Press,Jul 31| 2019,0,347,9781770487086,English,Language Arts & Disciplines / Rhetoric
The Meaning of Mariah Carey,Mariah Carey,Andy Cohen Books,Sep 29| 2020,4.8,368,9781250164698,English,Biography & Autobiography / Music
The Broadview Guide to Writing: A Handbook for Students - Sixth Edition: Edition 6,Corey Frost,Broadview Press,May 30| 2017,0,720,9781770485839,English,Language Arts & Disciplines / Composition & Creative Writing
Writing Assessment and the Revolution in Digital Texts and Technologies,Michael R. Neal,Teachers College Press,Apr 17| 2015,0,153,9780807770757,English,Education / General
Rhetorics| Poetics| and Cultures: Refiguring College English Studies,James A. Berlin,Parlor Press LLC,2003,0,245,9780972477284,English,Literary Criticism / Books & Reading
Business and Professional Writing: A Basic Guide - Second Edition: Edition 2,Paul MacRae,Broadview Press,May 1| 2019,0,434,9781770487062,English,Business & Economics / Business Communication / General
The Object-Oriented Thought Process: Edition 3,Matt Weisfeld,Pearson Education,Aug 25| 2008,4.3,360,9780132704687,English,Computers / Programming / Microsoft
Integrated Korean: Beginning 2| Third Edition,Young-mee Cho,University of Hawaii Press,Jul 31| 2020,0,296,9780824889265,English,Foreign Language Study / Korean
